,https://roic.ai/company/LYRA,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,1244000,- -,- -,285000
2,COGS,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -
5,Research and Development Exp.,4975000,12032000,12522000,29694000
6,General and Administrative Exp.,3528000,4487000,9687000,14206000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3528000,4487000,9687000,14206000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,8503000,16519000,22209000,43900000
11,COGS and Expenses,8503000,16519000,22209000,- -
12,Interest Income ,- -,- -,82000,102000
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,82000,27000,95000,- -
15,EBITDA,-5947000,-16492000,-22114000,-43513000
16,EBITDA ratio,-4.7805,-Infinity,-Infinity,-152.6772
17,Operating Income,-7259000,-16519000,-22209000,-43615000
18,Operating Income ratio,-5.8352,-Infinity,-Infinity,-153.0351
19,Total Other Income Expenses (Gains),1230000,213000,82000,102000
20,Income Before Tax,-6029000,-16306000,-22127000,-43513000
21,Income Before Tax Ratio,-4.8465,-Infinity,-Infinity,-152.6772
22,Income Tax expense (Gain),- -,- -,- -,- -
23,Net Income,-6029000,-16306000,-22127000,-43513000
24,Net Income ratio,-4.8465,-Infinity,-Infinity,-152.6772
25,EPS,-0.98,-2.65,-2.59,-3.35
26,EPS Diluted,-0.98,-2.65,-2.59,-3.35
27,Weighted Average Shares Outstanding,6266472,6266472,8590205,13001514
28,Weighted Average Shares Outstanding Diluted,6266472,6266472,8590205,13001514
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1327273/000156459021011767/0001564590-21-011767-index.htm,https://www.sec.gov/Archives/edgar/data/1327273/000156459022009187/0001564590-22-009187-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,23888000,9808000,74593000,45747000
32,Short-Term Investments,- -,- -,- -,- -
