,https://roic.ai/company/CR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1098800000,1204200000,1284000000,1313100000,1455600000,1438200000,1302500000,1307000000,1310200000,1653500000,1782300000,1847700000,2036800000,2268500000,1553700000,1491190000,1587180000,1516347000,1635991000,1890335000,2061249000,2256889000,2619171000,2604307000,2196343000,2217825000,2545867000,2579068000,2595281000,2924997000,2740500000,2748000000,2786000000,3345500000,3283100000,2936900000,3180000000
2,COGS,854700000,932000000,993200000,1030700000,1136100000,1099700000,1002800000,1006000000,1016500000,1253400000,1316300000,1344700000,1477000000,1624700000,1052800000,988518000,1045710000,1154551000,1106166000,1338874000,1418662000,1525633000,1776157000,1751036000,1466030000,1472602000,1683093000,1709949000,1711759000,1908694000,1786100000,1758300000,1770900000,2156200000,2104100000,1930700000,1938900000
3,Gross Profit,244100000,272200000,290800000,282400000,319500000,338500000,299700000,301000000,293700000,400100000,466000000,503000000,559800000,643800000,500900000,502672000,541470000,361796000,529825000,551461000,642587000,731256000,843014000,853271000,730313000,745223000,862774000,869119000,883522000,1016303000,954400000,989700000,1015100000,1189300000,1179000000,1006200000,1241100000
4,Gross Profit Ratio,0.2222,0.2260,0.2265,0.2151,0.2195,0.2354,0.2301,0.2303,0.2242,0.2420,0.2615,0.2722,0.2748,0.2838,0.3224,0.3371,0.3412,0.2386,0.3239,0.2917,0.3117,0.3240,0.3219,0.3276,0.3325,0.3360,0.3389,0.3370,0.3404,0.3475,0.3483,0.3602,0.3644,0.3555,0.3591,0.3426,0.3903
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,143000000,153200000,158100000,167000000,193200000,195200000,192400000,187800000,178400000,245500000,274300000,287400000,307800000,343400000,270100000,263365000,295176000,322125000,360813000,405157000,428965000,483320000,579603000,615079000,516801000,503385000,578863000,540215000,535646000,605223000,566500000,597000000,592400000,721000000,698000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",143000000,153200000,158100000,167000000,193200000,195200000,192400000,187800000,178400000,245500000,274300000,287400000,307800000,343400000,270100000,263365000,295176000,322125000,360813000,405157000,428965000,483320000,579603000,615079000,516801000,503385000,578863000,540215000,535646000,605223000,566500000,597000000,592400000,721000000,698000000,698100000,738800000
9,Other Expenses,30700000,27600000,28300000,19700000,21300000,30100000,28400000,28500000,29400000,44700000,48800000,49400000,55400000,61500000,61300000,55281000,74610000,- -,- -,-40000000,- -,1525680000,390150000,- -,- -,- -,- -,- -,- -,55800000,- -,192400000,- -,- -,18900000,- -,- -
