,https://roic.ai/company/CRSP,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,247000,5164000,40997000,3124000,289590000,719000,914963000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1513000,12573000,42238000,69800000,113773000,179362000,266946000,438633000
6,General and Administrative Exp.,5114000,13403000,31056000,35845000,48294000,63488000,88208000,102802000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5114000,13403000,31056000,35845000,48294000,63488000,88208000,102802000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,6627000,25976000,73294000,105645000,162067000,242850000,355154000,541435000
11,COGS and Expenses,6627000,25976000,73294000,105645000,162067000,242850000,355154000,541435000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,108000,8050000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,38000,127000,925000,3024000,3519000,4725000,9184000,17953000
15,EBITDA,-6825000,-25586000,-13743000,-63584000,-160909000,72031000,-338872000,397484000
16,EBITDA ratio,-Infinity,-103.5870,-2.6613,-1.5509,-51.5074,0.2487,-471.3102,0.4344
17,Operating Income,-6627000,-25729000,-68130000,-64648000,-158943000,46740000,-354435000,373528000
18,Operating Income ratio,-Infinity,-104.1660,-13.1933,-1.5769,-50.8780,0.1614,-492.9555,0.4082
19,Total Other Income Expenses (Gains),-236000,-92000,45412000,-1960000,-5485000,20566000,6379000,6003000
20,Income Before Tax,-6863000,-25821000,-22718000,-66608000,-164428000,67306000,-348056000,379531000
21,Income Before Tax Ratio,-Infinity,-104.5385,-4.3993,-1.6247,-52.6338,0.2324,-484.0834,0.4148
22,Income Tax expense (Gain),-63000,7000,484000,1749000,553000,448000,809000,1870000
23,Net Income,-6800000,-25828000,-23202000,-68357000,-164981000,66858000,-348865000,377661000
24,Net Income ratio,-Infinity,-104.5668,-4.4930,-1.6674,-52.8108,0.2309,-485.2086,0.4128
25,EPS,-0.23,-1.26,-1.89,-1.71,-3.44,1.23,-5.29,4.97
26,EPS Diluted,-0.23,-1.26,-1.89,-1.71,-3.44,1.17,-5.29,4.70
27,Weighted Average Shares Outstanding,29297808,20241365,12257483,40057365,47964368,54392304,65949672,75948686
28,Weighted Average Shares Outstanding Diluted,29297808,20241365,12257483,40057365,47964368,56932798,65949672,80393496
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1674416/000156459017003977/0001564590-17-003977-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459018004920/0001564590-18-004920-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459019004115/0001564590-19-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459020004355/0001564590-20-004355-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000156459021006074/0001564590-21-006074-index.htm,https://www.sec.gov/Archives/edgar/data/1674416/000095017022001282/0000950170-22-001282-index.htm
30,BALANCE SHEET, , , , , , , , 
