,https://roic.ai/company/SHC,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,746149000,778327000,818158000,931478000
2,COGS,388897000,382896000,374586000,412806000
3,Gross Profit,357252000,395431000,443572000,518672000
4,Gross Profit Ratio,0.4788,0.5081,0.5422,0.5568
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,133363000,147480000,178525000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",133363000,147480000,178525000,198158000
9,Other Expenses,57975000,58562000,59029000,63781000
10,Operating Expenses,191338000,206042000,237554000,261939000
11,COGS and Expenses,580235000,588938000,612140000,674745000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),143326000,157729000,215259000,74192000
14,Depreciation and Amortization,146816000,146719000,143563000,- -
15,EBITDA,314370000,303107000,318836000,249908000
16,EBITDA ratio,0.4213,0.3894,0.3897,0.2683
17,Operating Income,80847000,183597000,206018000,256733000
18,Operating Income ratio,0.1084,0.2359,0.2518,0.2756
19,Total Other Income Expenses (Gains),-56625000,-184513000,-244878000,-81017000
20,Income Before Tax,24222000,-916000,-38860000,175716000
21,Income Before Tax Ratio,0.0325,-0.0012,-0.0475,0.1886
22,Income Tax expense (Gain),30098000,19509000,-1369000,58595000
23,Net Income,-5870000,-20850000,-38617000,117121000
24,Net Income ratio,-0.0079,-0.0268,-0.0472,0.1257
25,EPS,-0.02,-0.08,-0.16,0.41
26,EPS Diluted,-0.02,-0.08,-0.16,0.41
27,Weighted Average Shares Outstanding,246152000,246152000,237696000,279228000
28,Weighted Average Shares Outstanding Diluted,246152000,246152000,237696000,279382000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1822479/000182247921000018/0001822479-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1822479/000182247922000014/0001822479-22-000014-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,96272000,62863000,102447000,106924000
32,Short-Term Investments,- -,- -,13457000,- -
33,Cash and Short-Term Investments,96272000,62863000,115904000,106924000
34,Net Receivables,141612000,111582000,131019000,108183000
35,Inventory,37599000,37396000,34093000,54288000
36,Other Current Assets,37379000,40513000,33999000,76566000
37,Total Current Assets,312862000,252354000,315015000,345961000
38,PP&E,586436000,581954000,655777000,690743000
39,Goodwill,1023314000,1035865000,1115936000,1120320000
40,Intangible Assets,766054000,696006000,643366000,598844000
41,Intangible Assets,1789368000,1731871000,1759302000,1719164000
42,Investments,- -,- -,13457000,- -
43,Tax Assets,15764000,2252000,8424000,134501000
44,Other Non-Current Assets,4154000,12243000,9304000,-100867000
45,Total Non-Current Assets,2395722000,2328320000,2446264000,2443541000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,2708584000,2580674000,2761279000,2789502000
48,Accounts Payable,46355000,42004000,52400000,- -
49,Short-Term Debt,15343000,16331000,1173000,- -
50,Tax Payable,- -,- -,10448000,- -
51,Deferred Revenue,4615000,3631000,6056000,- -
52,Other Current Liabilities,77061000,62024000,80969000,161161000
53,Total Current Liabilities,143374000,123990000,140598000,161161000
54,Long-Term Debt,2189563000,2800873000,1824789000,1743534000
55,Deferred Revenue,20955000,21375000,21255000,134501000
56,Deferred Tax Liabilities,171482000,137235000,121816000,134501000
57,Other Non-Current Liabilities,137719000,138333000,198247000,29709000
58,Total Non-Current Liabilities,2519719000,3097816000,2166107000,2042245000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,32887000,31171000,84436000,- -
61,Total Liabilities,2663093000,3221806000,2306705000,2203406000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,2324000,2324000,2860000,- -
64,Retained Earnings,-10417000,-550511000,-589128000,- -
65,Other Comprehensive Income/Loss,-110000000,-94000000,-93842000,- -
66,Other Total Stockholders Equity,162452000,-387000,1132412000,586096000
67,Total Stockholders Equity,44359000,-642574000,452302000,586096000
68,Total Liabilities And Stockholders Equity,2707452000,2579232000,2759007000,2789502000
69,Minority Interest,1132000,1442000,2272000,- -
70,Total Liabilities & Equity,2708584000,2580674000,2761279000,2789502000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1822479/000182247921000018/0001822479-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1822479/000182247922000014/0001822479-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-5870000,-20850000,-38617000,117121000
74,Depreciation and Amortization,146816000,146719000,143563000,- -
75,Deferred Income Tax,-45317000,-18993000,-23360000,- -
76,Stock Based Compensation,6943000,6882000,10987000,- -
77,Change in Working Capital,4035000,46053000,29282000,-18899000
78,Accounts Receivable,-2906000,11764000,1942000,- -
79,Inventory,-7041000,-282000,3784000,- -
80,Accounts Payable,15125000,-8968000,-6022000,14524000
81,Other Working Capital,128364000,174417000,203699000,184800000
82,Other Non-Cash Items,12956000,-10770000,-1270000,183323000
83,Cash Provided by Operating Activities,119563000,149041000,120585000,281545000
84,CAPEX,-72613000,-57257000,-53507000,-102162000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
