,https://roic.ai/company/SAMG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,32534000,36831000,42787000,51690000,60051000,69472000,75138000,80262000,91358000,98673000,102152000,107983000,- -
2,COGS,- -,16528000,- -,19108000,30322000,40290000,42856000,49009000,54143000,57938000,60038000,62379000,- -
3,Gross Profit,32534000,20303000,42787000,32582000,29729000,29182000,32282000,31253000,37215000,40735000,42114000,45604000,- -
4,Gross Profit Ratio,1.0000,0.5512,1.0000,0.6303,0.4951,0.4201,0.4296,0.3894,0.4074,0.4128,0.4123,0.4223,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,28636000,9459000,28341000,13680000,13197000,13860000,15325000,16617000,16846000,19583000,23241000,23323000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",28636000,9459000,28341000,13680000,13197000,13860000,15325000,16617000,16846000,19583000,23241000,23323000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,28636000,9459000,28341000,13680000,13197000,13860000,15325000,16617000,16846000,19583000,23241000,23323000,- -
11,COGS and Expenses,28636000,25987000,28341000,32788000,43519000,54150000,58181000,65626000,70989000,77521000,83279000,85702000,- -
12,Interest Income ,213000,231000,187000,145000,92000,69000,72000,61000,47000,274000,169000,13000,7000
13,Interest Expense (Gain),467000,241000,164000,304000,447000,381000,261000,228000,112000,62000,481000,563000,- -
14,Depreciation and Amortization,1531000,1379000,1469000,1918000,1944000,1968000,2359000,2664000,2801000,2432000,3191000,3968000,- -
15,EBITDA,9763000,13219000,16808000,22999000,18229000,13510000,14913000,12593000,21984000,17582000,17496000,19885000,- -
16,EBITDA ratio,0.3001,0.3589,0.3928,0.4449,0.3036,0.1945,0.1985,0.1569,0.2406,0.1782,0.1713,0.1841,- -
17,Operating Income,2207000,10844000,14446000,18902000,16532000,15322000,16957000,14636000,20369000,21152000,18873000,22281000,98544000
18,Operating Income ratio,0.0678,0.2944,0.3376,0.3657,0.2753,0.2205,0.2257,0.1824,0.2230,0.2144,0.1848,0.2063,Infinity
19,Total Other Income Expenses (Gains),5558000,755000,729000,1875000,2784000,1772000,1097000,32000,5896000,1674000,1717000,591000,- -
20,Income Before Tax,7765000,11599000,15175000,20777000,19316000,17094000,18054000,14668000,26265000,22826000,20590000,22872000,- -
21,Income Before Tax Ratio,0.2387,0.3149,0.3547,0.4020,0.3217,0.2461,0.2403,0.1828,0.2875,0.2313,0.2016,0.2118,- -
22,Income Tax expense (Gain),-321000,657000,566000,8311000,2148000,6386000,6969000,4686000,13734000,5458000,5178000,5394000,- -
23,Net Income,8086000,10942000,14609000,12466000,13690000,4775000,5324000,5015000,5337000,9630000,8646000,9960000,14693000
24,Net Income ratio,0.2485,0.2971,0.3414,0.2412,0.2280,0.0687,0.0709,0.0625,0.0584,0.0976,0.0846,0.0922,Infinity
25,EPS,0.74,0.97,1.34,1.11,1.68,0.63,0.68,0.62,0.66,1.16,0.98,1.05,1.52
26,EPS Diluted,0.72,0.96,1.31,1.09,1.63,0.63,0.68,0.62,0.66,1.16,0.98,1.05,1.52
27,Weighted Average Shares Outstanding,10932565,11254952,10932565,11254952,8145476,7600739,7855038,8031161,8110128,8298354,8797118,9503197,9673597
28,Weighted Average Shares Outstanding Diluted,11169654,11398647,11169654,11398647,8374025,7600739,7855038,8038177,8117407,8302768,8799643,9510720,9690309
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549966/000156459014000921/samg-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1549966/000156459015001666/samg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1549966/000156459016014433/0001564590-16-014433-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459017003855/0001564590-17-003855-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459018005134/0001564590-18-005134-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459019006824/0001564590-19-006824-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459020008978/0001564590-20-008978-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459021010956/0001564590-21-010956-index.htm,https://www.sec.gov/Archives/edgar/data/1549966/000095017022002690/0000950170-22-002690-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,7354000,13443000,27122000,30820000,31562000,37517000,53822000,69283000,52832000,62498000,85744000
32,Short-Term Investments,- -,- -,1128000,1980000,103000,1307000,32000,335000,626000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,8482000,15423000,27225000,32127000,31594000,37852000,54448000,69283000,52832000,62498000,85744000
34,Net Receivables,- -,- -,4281000,5297000,8058000,8331000,8832000,9146000,10530000,9255000,10655000,9359000,9278000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1731000,-561000,5786000,1402000,3817000,3744000,719000,2629000,3132000,3563000,2678000
37,Total Current Assets,- -,- -,14494000,20159000,41069000,41860000,44243000,50742000,65697000,81167000,66619000,75420000,97700000
38,PP&E,- -,- -,2275000,2061000,1913000,2354000,2425000,2411000,2453000,3436000,39698000,35845000,- -
39,Goodwill,- -,- -,14683000,15891000,20031000,20008000,24682000,25168000,25168000,25168000,63675000,63675000,- -
40,Intangible Assets,- -,- -,13810000,12363000,12589000,11167000,15331000,13404000,11578000,9893000,29286000,26553000,- -
41,Intangible Assets,- -,- -,28493000,28254000,32620000,31175000,40013000,38572000,36746000,35061000,92961000,90228000,- -
42,Investments,- -,- -,- -,1980000,103000,1307000,32000,335000,626000,1493000,1781000,914000,- -
43,Tax Assets,- -,- -,- -,- -,25022000,23000000,21498000,20221000,11838000,12206000,13190000,11397000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131618000
45,Total Non-Current Assets,- -,- -,30768000,32295000,59658000,57836000,63968000,61539000,51663000,52196000,147630000,138384000,131618000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360936000
47,Total Assets,- -,- -,45262000,52454000,100727000,99696000,108211000,112281000,117360000,133363000,214249000,213804000,229318000
48,Accounts Payable,- -,- -,- -,4513000,6587000,3291000,4031000,4485000,3506000,2947000,18527000,18040000,- -
49,Short-Term Debt,- -,- -,- -,- -,3000000,24000,4514000,2486000,740000,- -,16200000,12600000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,15751000,- -,- -,- -,-4514000,-2486000,-740000,- -,- -,- -,28845000
53,Total Current Liabilities,- -,- -,15751000,4513000,9587000,3315000,4031000,4485000,3506000,2947000,34727000,30640000,28845000
54,Long-Term Debt,- -,- -,- -,3315000,8303000,4124000,4514000,2486000,740000,- -,16200000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,565000,15506000,16138000,15391000,14993000,9248000,9322000,9419000,9530000,- -
57,Other Non-Current Liabilities,- -,- -,85177000,104531000,19166000,23057000,22638000,24233000,31747000,38695000,56096000,70235000,- -
58,Total Non-Current Liabilities,- -,- -,85177000,108411000,42975000,43319000,42543000,41712000,41735000,48017000,81715000,79765000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83665000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40044000,36386000,- -
61,Total Liabilities,- -,- -,100928000,112924000,52562000,46634000,46574000,46197000,45241000,50964000,116442000,110405000,112510000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,120000,124000,126000,129000,130000,133000,142000,142000,- -
64,Retained Earnings,- -,- -,- -,- -,2099000,3217000,4758000,5916000,7359000,12330000,15648000,19498000,- -
65,Other Comprehensive Income/Loss,- -,- -,-4889000,-5360000,-5783000,-6329000,-7035000,-7772000,-8656000,-8298000,-8811000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,44786000,45504000,47986000,49032000,50262000,51882000,58057000,51039000,- -
67,Total Stockholders Equity,- -,- -,-55666000,- -,41222000,42516000,45835000,47305000,49095000,56047000,65036000,70679000,116808000
68,Total Liabilities And Stockholders Equity,- -,- -,45262000,112924000,93784000,89150000,92409000,93502000,94336000,107011000,181478000,181084000,229318000
69,Minority Interest,- -,- -,- -,-60470000,6943000,10546000,15802000,18779000,23024000,26352000,32771000,32720000,- -
70,Total Liabilities & Equity,- -,- -,45262000,52454000,100727000,99696000,108211000,112281000,117360000,133363000,214249000,213804000,229318000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1549966/000156459014000921/samg-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1549966/000156459015001666/samg-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1549966/000156459016014433/0001564590-16-014433-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459017003855/0001564590-17-003855-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459018005134/0001564590-18-005134-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459019006824/0001564590-19-006824-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459020008978/0001564590-20-008978-index.html,https://www.sec.gov/Archives/edgar/data/1549966/000156459021010956/0001564590-21-010956-index.htm,https://www.sec.gov/Archives/edgar/data/1549966/000095017022002690/0000950170-22-002690-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,8086000,10942000,14609000,12466000,13690000,4775000,5324000,5015000,5337000,9630000,8646000,9960000,14693000
74,Depreciation and Amortization,1531000,1379000,1469000,1918000,1944000,1968000,2359000,2664000,2801000,2432000,3191000,3968000,- -
75,Deferred Income Tax,293000,-174000,-275000,22000,283000,3600000,2324000,1739000,3347000,600000,1375000,2043000,- -
76,Stock Based Compensation,- -,583000,977000,1354000,1962000,1013000,1524000,3228000,3248000,3275000,2272000,659000,- -
