,https://roic.ai/company/IMAC,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,15000,786025,6701071,15126026,12835198
2,COGS,4266,63216,933907,2540323,- -
3,Gross Profit,10734,722809,5767164,12585703,12835198
4,Gross Profit Ratio,0.7156,0.9196,0.8606,0.8321,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,204781,1452114,7808303,15980063,4556554
7,Selling and Marketing Exp.,25000,119867,859191,1238352,933338
8,"Selling, General and Administrative Exp.",229781,1571981,8667494,17218415,5489892
9,Other Expenses,- -,65895,651066,1552919,13817820
10,Operating Expenses,229781,1637876,9318560,18771334,19307712
11,COGS and Expenses,234047,1701092,10252467,21311657,19307712
12,Interest Income ,4,14821,7541,7794,6073
13,Interest Expense (Gain),- -,27151,153824,897694,563067
14,Depreciation and Amortization,- -,65895,651067,1552919,1722465
15,EBITDA,-380797,35865,-2248852,-4046617,-3256906
16,EBITDA ratio,-25.3865,0.0456,-0.3356,-0.2675,-0.2537
17,Operating Income,-219047,-915067,-3551396,-6185631,-6472514
18,Operating Income ratio,-14.6031,-1.1642,-0.5300,-0.4089,-0.5043
19,Total Other Income Expenses (Gains),-178393,-1465,-233477,-765958,930076
20,Income Before Tax,-397440,-916532,-3784873,-6951589,-5542438
21,Income Before Tax Ratio,-26.4960,-1.1660,-0.5648,-0.4596,-0.4318
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-380797,-57181,-3053743,-6497230,-5542438
24,Net Income ratio,-25.3865,-0.0727,-0.4557,-0.4295,-0.4318
25,EPS,-0.05,-0.01,-0.42,-0.84,-0.45
26,EPS Diluted,-0.05,-0.01,-0.42,-0.84,-0.45
27,Weighted Average Shares Outstanding,7243024,7243024,7243024,7753642,11050144
28,Weighted Average Shares Outstanding Diluted,7243024,7243024,7243024,7753642,11050144
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1729944/000149315220004759/0001493152-20-004759-index.html,https://www.sec.gov/Archives/edgar/data/1729944/000149315221005333/0001493152-21-005333-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,876205,127788,194316,373689,2623952
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,876205,127788,194316,373689,2623952
34,Net Receivables,722603,487634,303630,1258325,1513683
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,2743,93041,170163,945561,619734
37,Total Current Assets,1601551,708463,668109,2577575,4757369
38,PP&E,- -,542791,3333638,7411410,1777042
39,Goodwill,- -,- -,2042125,2040696,2040696
40,Intangible Assets,- -,- -,4257435,7169072,6611551
41,Intangible Assets,- -,- -,6299560,9209768,8652247
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,27828,773481,1219325,- -
45,Total Non-Current Assets,- -,570619,10406679,17840503,10429289
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1601551,1279082,11074788,20418078,15186658
48,Accounts Payable,2991,56665,1261582,2909666,1692283
49,Short-Term Debt,- -,190752,4856003,2545235,3623673
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,130906,454380,189691,- -
52,Other Current Liabilities,48099,95501,7259208,421044,634446
53,Total Current Liabilities,51090,473824,13831173,6065636,5950402
54,Long-Term Debt,500000,456152,317291,2109065,- -
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,177675,858483,4306085,- -
58,Total Non-Current Liabilities,500000,633827,1175774,6415150,- -
59,Other Liabilities,- -,- -,- -,- -,5982450
60,Capital Lease Obligations,- -,120742,677232,4769939,4651156
61,Total Liabilities,551090,1107651,15006947,12480786,11932852
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,6493,6583,6583,8907,339375
64,Retained Earnings,-433896,-491076,-3544820,-10042050,- -
65,Other Comprehensive Income/Loss,- -,-65895,-449283,-1693736,- -
