,https://roic.ai/company/EOLS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,34925000,56540000,99673000
2,COGS,- -,- -,- -,- -,8014000,18299000,43534000
3,Gross Profit,- -,- -,- -,- -,26911000,38241000,56139000
4,Gross Profit Ratio,- -,- -,- -,- -,0.7705,0.6764,0.5632
5,Research and Development Exp.,20681000,12607000,6689000,6487000,3973000,1722000,2064000
6,General and Administrative Exp.,9883000,7033000,4819000,29146000,113593000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9883000,7033000,4819000,29146000,113593000,- -,112068000
9,Other Expenses,- -,- -,- -,9000,4132000,105217000,29946000
10,Operating Expenses,30564000,19640000,11508000,35642000,121698000,106939000,144078000
11,COGS and Expenses,30980000,19966000,11726000,35642000,129712000,125238000,187612000
12,Interest Income ,- -,- -,- -,203000,1839000,635000,1000
13,Interest Expense (Gain),- -,- -,- -,863000,7953000,10503000,-1396000
14,Depreciation and Amortization,416000,326000,218000,9000,5005000,7681000,6
15,EBITDA,-30564000,-19640000,-11508000,-35633000,-92103000,-144752000,-48163994
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-2.6372,-2.5602,-0.4832
17,Operating Income,-30980000,-19966000,-11726000,-46142000,-98947000,-153068000,-44405000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-2.8331,-2.7073,-0.4455
19,Total Other Income Expenses (Gains),-39000,-6000,-5000,-660000,-6114000,-9868000,-2363000
20,Income Before Tax,-31019000,-19972000,-11731000,-46802000,-105061000,-162936000,-46768000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.0082,-2.8818,-0.4692
22,Income Tax expense (Gain),93000,93000,-7251000,65000,-15027000,77000,42000
23,Net Income,-31112000,-20065000,-4480000,-46867000,-90034000,-163013000,-46810000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-2.5779,-2.8831,-0.4696
25,EPS,-1.67,-1.08,-0.19,-1.92,-3.19,-4.83,-0.94
26,EPS Diluted,-1.67,-1.08,-0.19,-1.92,-3.19,-4.83,-0.94
27,Weighted Average Shares Outstanding,18592875,18592875,23592875,24402000,28238000,33738000,49773101
28,Weighted Average Shares Outstanding Diluted,18592875,18592875,23592875,24402000,28238000,33738000,49773101
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1570562/000157056218000013/0001570562-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056219000038/0001570562-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056220000061/0001570562-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056221000093/0001570562-21-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056222000067/0001570562-22-000067-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,93162000,109892000,102562000,146256000
32,Short-Term Investments,- -,- -,- -,- -,19911000,5000000,146256000
33,Cash and Short-Term Investments,- -,- -,- -,93162000,129803000,107562000,292512000
34,Net Receivables,- -,- -,72639000,- -,10661000,9680000,14657000
35,Inventory,- -,- -,- -,- -,6407000,3354000,1762000
36,Other Current Assets,4017000,211000,185000,1177000,5326000,7016000,-162675000
37,Total Current Assets,4017000,211000,72824000,94339000,152197000,127612000,146256000
38,PP&E,- -,- -,- -,- -,4970000,4711000,4093000
39,Goodwill,21208000,21208000,21208000,21208000,21208000,21208000,21208000
40,Intangible Assets,56076000,56076000,56076000,56076000,59638000,55297000,50625000
41,Intangible Assets,77284000,77284000,77284000,77284000,80846000,76505000,71833000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2125000,221000,2429000,240000,2758000
45,Total Non-Current Assets,77284000,77284000,79409000,77505000,88245000,81456000,78684000
46,Other Assets,- -,- -,- -,- -,- -,- -,189911000
47,Total Assets,81301000,77495000,152233000,171844000,240442000,209068000,257483000
48,Accounts Payable,230000,2877000,445000,1558000,5796000,9615000,6091000
49,Short-Term Debt,46167000,59760000,211326000,- -,1200000,94664000,71222000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,3081000,- -
52,Other Current Liabilities,1704000,675000,977000,3718000,17443000,72888000,-19650000
53,Total Current Liabilities,48101000,63312000,212748000,5276000,24439000,180248000,57663000
54,Long-Term Debt,- -,- -,- -,16904000,91453000,43653000,2256000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,21152000,21245000,14990000,15055000,- -,25000,40000
57,Other Non-Current Liabilities,46000,44000,38000,50225000,45093000,58100000,115648000
58,Total Non-Current Liabilities,21198000,21289000,15028000,82184000,136546000,101778000,117944000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5093000,4359000,- -
61,Total Liabilities,69299000,84601000,227776000,87460000,160985000,282026000,175607000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,1000,1000
64,Retained Earnings,-46741000,-66806000,-75543000,-123025000,-213059000,-376072000,-422882000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,6000,- -,- -
66,Other Total Stockholders Equity,58743000,59700000,- -,207408000,292509000,303113000,504758000
67,Total Stockholders Equity,12002000,-7106000,-75543000,84384000,79457000,-72958000,81876000
68,Total Liabilities And Stockholders Equity,81301000,77495000,152233000,171844000,240442000,209068000,257483000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,81301000,77495000,152233000,171844000,240442000,209068000,257483000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1570562/000157056218000013/0001570562-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056219000038/0001570562-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056220000061/0001570562-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056221000093/0001570562-21-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056222000067/0001570562-22-000067-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-31112000,-20065000,-4480000,-46867000,-90034000,-163013000,-46810000
74,Depreciation and Amortization,416000,326000,218000,9000,5005000,7681000,6
75,Deferred Income Tax,93000,93000,-7251000,65000,-15055000,25000,0
76,Stock Based Compensation,1513000,957000,586000,6971000,9518000,10584000,10
77,Change in Working Capital,-7294000,-19017000,-76823000,228987000,38695000,-180394000,141229000
78,Accounts Receivable,- -,- -,- -,- -,-11048000,-1085000,-6
79,Inventory,- -,- -,- -,- -,-4482000,4542000,-3
80,Accounts Payable,-1373000,2647000,-2432000,1275000,183000,2320000,-1
81,Other Working Capital,-44084000,-63101000,-139924000,89063000,127758000,-52636000,88593000
82,Other Non-Cash Items,- -,24439000,74715000,-214832000,-41512000,267246000,-94419049
83,Cash Provided by Operating Activities,-36384000,-13267000,-13035000,-25667000,-93383000,-57871000,-33
84,CAPEX,- -,- -,- -,-9000,-4567000,-3138000,-1
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-113867000,-74668000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,95000000,90000000,5
88,Other Investing Activites,- -,- -,- -,- -,-4222000,-2323000,4029995
89,Cash Used for Investing Activites,- -,- -,- -,-9000,-23434000,12194000,4030000
90,Debt Repayment,- -,- -,- -,-5000000,-1044000,-522000,-76
91,Common Stock Issued,- -,- -,- -,124010000,73315000,- -,1
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,36384000,13267000,13035000,-172000,61276000,38869000,73052076
95,Cash Used/Provided by Financing Activities,36384000,13267000,13035000,118838000,133547000,38347000,73052000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,16730000,-7330000,43694000
98,Cash at the End of Period,- -,- -,- -,93162000,109892000,102562000,146256000
99,Cash at the Beginning of Period,- -,- -,- -,- -,93162000,109892000,102562000
100,Free Cash Flow,-36384000,-13267000,-13035000,-25676000,-97950000,-61009000,-34
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1570562/000157056218000013/0001570562-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056219000038/0001570562-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056220000061/0001570562-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056221000093/0001570562-21-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1570562/000157056222000067/0001570562-22-000067-index.htm
102,false,,,,,,,
