,https://roic.ai/company/CNDT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,6879000000,6938000000,6662000000,6408000000,6022000000,5393000000,4467000000,4163000000,4140000000
2,COGS,5640000000,5800000000,5977000000,5498000000,4977000000,4182000000,3494000000,3209000000,3138000000
3,Gross Profit,1239000000,1138000000,685000000,910000000,1045000000,1211000000,973000000,954000000,1002000000
4,Gross Profit Ratio,0.1801,0.1640,0.1028,0.1420,0.1735,0.2246,0.2178,0.2292,0.2420
5,Research and Development Exp.,40000000,46000000,52000000,31000000,13000000,11000000,8000000,1000000,4000000
6,General and Administrative Exp.,661000000,659000000,699000000,686000000,615000000,560000000,479000000,468000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",661000000,659000000,699000000,686000000,615000000,560000000,479000000,468000000,544000000
9,Other Expenses,240000000,250000000,250000000,280000000,243000000,460000000,459000000,459000000,352000000
10,Operating Expenses,941000000,955000000,1001000000,997000000,871000000,1031000000,946000000,928000000,900000000
11,COGS and Expenses,6581000000,6755000000,6978000000,6495000000,5848000000,5213000000,4440000000,4137000000,4038000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),109000000,118000000,61000000,40000000,137000000,112000000,78000000,60000000,55000000
14,Depreciation and Amortization,734000000,787000000,600000000,613000000,497000000,460000000,459000000,459000000,352000000
15,EBITDA,1097000000,800000000,9000000,-574000000,622000000,177000000,-1569000000,380000000,382000000
16,EBITDA ratio,0.1595,0.1153,0.0014,-0.0896,0.1033,0.0328,-0.3512,0.0913,0.0923
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-91000000,-173000000,-258000000,-1140000000,-190000000,-575000000,-2133000000,-165000000,- -
