,https://roic.ai/company/COGT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2986000,6355000,8360000,9734000,22499000,7871000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,7871,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,6852000,21992000,29832000,38285000,43709000,72648000,55913000
6,General and Administrative Exp.,2726000,3433000,4680000,7454000,10968000,17422000,19638000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2726000,3433000,4680000,7454000,10968000,17422000,19638000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9578000,25425000,34512000,45739000,54677000,90070000,75551000
11,COGS and Expenses,9578000,25425000,34512000,45739000,54677000,90070000,- -
12,Interest Income ,- -,265000,386000,1153000,267000,144000,467000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,179000,830000,1171000,1321000,1293000,720000,- -
15,EBITDA,-6413000,-17294000,-24321000,-33211000,-30540000,-74088000,-75551000
16,EBITDA ratio,-2.1477,-2.7213,-2.9092,-3.4119,-1.3574,-9.4128,-Infinity
17,Operating Income,-6592000,-19070000,-26152000,-36005000,-32178000,-82199000,-75551000
18,Operating Income ratio,-2.2076,-3.0008,-3.1282,-3.6989,-1.4302,-10.4433,-Infinity
19,Total Other Income Expenses (Gains),- -,946000,660000,1473000,345000,7391000,3278000
20,Income Before Tax,-6592000,-18124000,-25492000,-34532000,-31833000,-74808000,-72273000
21,Income Before Tax Ratio,-2.2076,-2.8519,-3.0493,-3.5476,-1.4149,-9.5043,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6592000,-18124000,-25492000,-34532000,-31833000,-74808000,-72273000
24,Net Income ratio,-2.2076,-2.8519,-3.0493,-3.5476,-1.4149,-9.5043,-Infinity
25,EPS,-1.13,-3.11,-4.36,-5.56,-4.16,-16.17,-1.81
26,EPS Diluted,-1.13,-3.11,-4.36,-5.56,-4.16,-16.17,-1.81
27,Weighted Average Shares Outstanding,5855292,5855292,5855292,6223917,7620082,11081257,39848943
28,Weighted Average Shares Outstanding Diluted,7396416,7396416,5855292,6223917,7620082,11081257,39848943
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1622229/000119312519089299/0001193125-19-089299-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459020013188/0001564590-20-013188-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459021013325/0001564590-21-013325-index.htm,https://www.sec.gov/Archives/edgar/data/1622229/000156459022010238/0001564590-22-010238-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,41321000,28270000,55671000,37424000,242190000,219684000
32,Short-Term Investments,- -,27187000,12691000,22923000,- -,- -,- -
33,Cash and Short-Term Investments,- -,68508000,40961000,78594000,37424000,242190000,219684000
34,Net Receivables,- -,928000,830000,1668000,2000000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,296000,588000,740000,1167000,2722000,2949000
37,Total Current Assets,- -,69732000,42379000,81002000,40591000,244912000,222633000
38,PP&E,- -,4563000,4108000,3251000,7150000,4749000,4477000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1255000,2628000,1674000,1682000,1255000,4982000
45,Total Non-Current Assets,- -,5818000,6736000,4925000,8832000,6004000,9459000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,75550000,49115000,85927000,49423000,250916000,232092000
48,Accounts Payable,- -,1454000,1346000,1519000,3183000,732000,3483000
49,Short-Term Debt,- -,- -,- -,- -,1619000,2052000,2324000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
