,https://roic.ai/company/FDUS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,14183741,17984758,23390000,33850000,41790000,46116000,54269000,60229000,68615000,76425000,77106000,39970000,129465000
2,COGS,4084496,4144546,11360000,16330000,19980000,19445000,24709000,30554000,31992000,37718000,41768000,- -,- -
3,Gross Profit,10099245,13840212,12030000,17520000,21810000,26671000,29560000,29675000,36623000,38707000,35338000,- -,- -
4,Gross Profit Ratio,0.7120,0.7696,0.5143,0.5176,0.5219,0.5783,0.5447,0.4927,0.5337,0.5065,0.4583,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,430608,627437,470000,1830000,2270000,3007000,2677000,2649000,2636000,2929000,2869000,5158000,4493000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",430608,627437,470000,1830000,2270000,3007000,2677000,2649000,2636000,2929000,2869000,5158000,4493000
9,Other Expenses,-1115066,-708427,2259807,830000,851000,1182000,1255000,1337000,1433000,1343000,3405000,2147000,6302000
10,Operating Expenses,-684458,-80990,2729807,2660000,3121000,4189000,3932000,3986000,4069000,4272000,6274000,7305000,10795000
11,COGS and Expenses,3400038,4063556,11830000,18160000,22250000,22452000,27386000,33203000,34718000,40944000,45036000,- -,- -
12,Interest Income ,3688066,4961565,5487640,32905000,40114000,40324000,50646000,52879000,62290000,67606000,71394000,78164000,77380000
13,Interest Expense (Gain),3688066,4961565,3850000,3720000,8400000,-3779000,-555000,15174000,12478000,15449000,17017000,17407000,16949000
14,Depreciation and Amortization,- -,- -,- -,- -,22190000,- -,10086000,- -,- -,- -,- -,- -,- -
15,EBITDA,2095936,9985278,19260000,23130000,58530000,16106000,35859000,57374000,58853000,66379000,66104000,50072000,135619000
16,EBITDA ratio,0.1478,0.5552,0.8234,0.6833,1.4006,0.3492,0.6608,0.9526,0.8577,0.8686,0.8573,1.2527,1.0475
17,Operating Income,7095637,8959637,11532938,15691000,19542000,23664000,26883000,27026000,33897000,- -,- -,- -,- -
