,https://roic.ai/company/HSDT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,478000,1496000,661000,522000
2,COGS,- -,- -,- -,- -,- -,- -,- -,846000,388000,298000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,650000,273000,224000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.4345,0.4130,0.4291
5,Research and Development Exp.,- -,4250000,171781,3828775,4723000,14387000,9939000,8061000,4582000,5990000
6,General and Administrative Exp.,- -,4267850,895503,4261507,5651000,8466000,17214000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,774400,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4267850,895503,5035907,5651000,8466000,17214000,- -,- -,12176000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,16585000,10077000,200000
10,Operating Expenses,- -,8517850,1067284,8864682,10374000,22853000,27153000,24646000,14659000,18366000
11,COGS and Expenses,- -,8517850,1067284,8864682,10374000,22853000,27153000,25492000,15047000,18664000
12,Interest Income ,- -,- -,- -,20074,111000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,176488,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,17000,59000,191000,482000,- -
15,EBITDA,- -,-8517850,-1067284,-8844608,-8597000,-22836000,-28564000,-9590000,-13648000,-18132000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-59.7573,-6.4104,-20.6475,-34.7356
17,Operating Income,- -,-8517850,-1067284,-8864682,-10374000,-22853000,-26675000,-23996000,-14386000,-18142000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-55.8054,-16.0401,-21.7640,-34.7548
19,Total Other Income Expenses (Gains),- -,- -,- -,-29873,-1666000,-5171000,-1948000,14215000,256000,10000
20,Income Before Tax,- -,-8517850,-1067284,-8894555,-12040000,-28024000,-28623000,-9781000,-14130000,-18132000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-59.8808,-6.5381,-21.3767,-34.7356
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-1067284,-8894555,-12040000,-28024000,-28623000,-9781000,-14130000,-18132000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-59.8808,-6.5381,-21.3767,-34.7356
25,EPS,- -,-1.35,-0.89,-0.16,-0.14,-0.30,-1.26,-0.37,-0.34,-7.79
