,https://roic.ai/company/FRZT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,580000,870000,640000,760000,450000,150000,53680,43970,138720,2217980,2113150,2083461,1779733,2136358
2,COGS,330000,740000,460000,370000,440000,1220000,165770,369050,235150,309470,282630,286985,248279,276098
3,Gross Profit,250000,130000,180000,390000,10000,-1070000,-112090,-325080,-96430,1908510,1830520,1796476,1531454,1860260
4,Gross Profit Ratio,0.4310,0.1494,0.2813,0.5132,0.0222,-7.1333,-2.0881,-7.3932,-0.6951,0.8605,0.8663,0.8623,0.8605,0.8708
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,330000,320000,340000,520000,840000,462755,566290,551210,554770,1904040,1825830,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,7245,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",330000,320000,340000,520000,840000,470000,566290,551210,554770,1904040,1825830,1898987,1782173,1694072
9,Other Expenses,10000,5250,-3611,48633,95170,29038,12427,-1,3,-5,-1,- -,- -,276098
10,Operating Expenses,340000,325250,336389,568633,935170,499038,578717,551209,554773,1904035,1825829,1898987,1782173,1970170
11,COGS and Expenses,670000,1070000,790000,940000,1410000,3600000,744490,920260,789930,11733850,2108460,2185972,2030452,1970170
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,4571,- -,- -,- -,- -
13,Interest Expense (Gain),-40000,- -,- -,18551,- -,- -,- -,- -,- -,4891,57295,40465,44931,48815
14,Depreciation and Amortization,90000,169641,231451,13943,26709,346617,12429,- -,- -,38851,94811,94968,102659,102830
15,EBITDA,-80000,-60359,71451,-167506,-993291,-3203383,-1341031,-1870280,-2127140,-9519078,99496,-6394,-121992,443438
16,EBITDA ratio,-0.1379,-0.0694,0.1116,-0.2204,-2.2073,-21.3559,-24.9819,-42.5354,-15.3341,-4.2918,0.0471,-0.0031,-0.0685,0.2076
17,Operating Income,-90000,-202732,-150766,-208706,-925861,-1573372,-690808,-876287,-651206,-9515872,4685,-102511,-250719,166188
18,Operating Income ratio,-0.1552,-0.2330,-0.2356,-0.2746,-2.0575,-10.4891,-12.8690,-19.9292,-4.6944,-4.2903,0.0022,-0.0492,-0.1409,0.0778
