,https://roic.ai/company/MRZM,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,11171,31565,38462,13876,27707226,25806976,- -,- -,407708,291135,101175,20187,- -,0,0
2,COGS,- -,16278,28828,6770,4231,14082494,14349245,- -,- -,230348,208392,86907,20074,- -,0,0
3,Gross Profit,- -,-5107,2737,31692,9645,13624732,11457731,- -,- -,177360,82743,14268,113,- -,0,0
4,Gross Profit Ratio,- -,-0.4572,0.0867,0.8240,0.6951,0.4917,0.4440,- -,- -,0.4350,0.2842,0.1410,0.0056,- -,0.7043,0.4092
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2
6,General and Administrative Exp.,- -,23570,- -,46083,19494,5307493,10295981,1197934,577784,908845,21583,48154,247242,110964,1,3
7,Selling and Marketing Exp.,- -,4391,- -,4870,8131,10610545,12102534,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,27961,100404,50953,27625,15918038,22398515,1197934,577784,908845,21583,48154,247242,110964,5346989,3
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,989427,648573,459209,242978,91025,- -,947075,-5346983,4
10,Operating Expenses,- -,27961,100404,50953,27625,15918038,22398515,2187361,1226357,1368054,264561,139179,247242,1058039,6,9
11,COGS and Expenses,- -,44239,129232,57723,31856,30000532,36747760,2187361,1226357,1598402,472953,226086,267316,1058039,6,9
12,Interest Income ,- -,- -,- -,- -,- -,16804,3027,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,471282,453386,- -,- -,- -,- -,- -,- -,- -,45450,0
14,Depreciation and Amortization,- -,- -,- -,- -,- -,4036047,4816098,34795,100000,230000,- -,- -,- -,- -,1970,0
15,EBITDA,- -,-25437,-97667,-19261,-17980,5972733,325878,-2152566,-1126357,-8817999,-872712,-570506,-248743,-1058039,47414,-11
16,EBITDA ratio,- -,-2.2771,-3.0942,-0.5008,-1.2958,0.2156,0.0126,-Infinity,-Infinity,-21.6282,-2.9976,-5.6388,-12.3219,-Infinity,240514.9488,-51.7023
17,Operating Income,- -,-33068,-97667,-19261,-17980,-2293558,-10940783,-2187360,-1226356,-1190695,-181818,-124912,-247129,-1058039,-5799603,-9
18,Operating Income ratio,- -,-2.9602,-3.0942,-0.5008,-1.2958,-0.0828,-0.4239,-Infinity,-Infinity,-2.9205,-0.6245,-1.2346,-12.2420,-Infinity,-29419299.3669,-42.5416
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,1939343,5355894,-242624,-9009475,-7857304,-690894,-445595,-1614,- -,5799597,-2
20,Income Before Tax,- -,- -,- -,- -,- -,-354215,-5584889,-2429984,-10235831,-9047999,-872712,-570507,-248743,-1058039,-6,-11
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.0128,-0.2164,-Infinity,-Infinity,-22.1924,-2.9976,-5.6388,-12.3219,-Infinity,-29.6499,-52.3016
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,3283091,-1384965,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-25437,-97667,-19261,-17980,-1817687,-3558641,-2429984,-10235831,-9047999,-872712,-570506,-248743,-1058039,-6,-11
24,Net Income ratio,- -,-2.2771,-3.0942,-0.5008,-1.2958,-0.0656,-0.1379,-Infinity,-Infinity,-22.1924,-2.9976,-5.6388,-12.3219,-Infinity,-29.6499,-52.3016
25,EPS,- -,-0.12,-0.26,-0.06,-0.03,-2.34,-3.57,-2.32,-9.37,-8.21,-0.78,-0.52,-0.04,-0.05,-0.22,-0.00
26,EPS Diluted,- -,-0.12,-0.26,-0.06,-0.03,-2.34,-3.57,-2.32,-9.37,-8.21,-0.78,-0.52,-0.04,-0.05,-0.22,-0.00
27,Weighted Average Shares Outstanding,- -,207445,377754,414791,421888,777384,1015926,1053086,1092615,1101017,1101017,1101017,6671262,19805959,26373982,26373982
28,Weighted Average Shares Outstanding Diluted,- -,207445,377754,414791,421888,777384,1015926,1053086,1092615,1101017,1101017,1101017,6671262,19805959,26373982,26373982
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413754/000107878218001376/0001078782-18-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000107878219000201/0001078782-19-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000107878220000251/0001078782-20-000251-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000149315221008936/0001493152-21-008936-index.htm,https://www.sec.gov/Archives/edgar/data/1413754/000149315222008531/0001493152-22-008531-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,418,6237,944,507,8530864,1154602,860,874,14369,11883,51608,104,90,3,4
