,https://roic.ai/company/TMHC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1297867000,1370187000,1435721000,2323237000,2708432000,2976820000,3550029000,3885290000,4227393000,4762059000,6129320000,7501265000
2,COGS,1020500000,1090454000,1124675000,1817948000,2142186000,2408905000,2869750000,3146361000,3489200000,3937969000,10037290000,5953384000
3,Gross Profit,277367000,279733000,311046000,505289000,566246000,567915000,680279000,738929000,738193000,824090000,-3907970000,1547881000
4,Gross Profit Ratio,0.2137,0.2042,0.2166,0.2175,0.2091,0.1908,0.1916,0.1902,0.1746,0.1731,-0.6376,0.2063
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,66232000,68626000,60444000,90743000,81153000,95235000,122207000,130777000,138488000,169851000,194879000,267966000
7,Selling and Marketing Exp.,85141000,76442000,80907000,142848000,168897000,198676000,239556000,259663000,278455000,320420000,377496000,400376000
8,"Selling, General and Administrative Exp.",151373000,145068000,141351000,233591000,250050000,293911000,361763000,390440000,416943000,490271000,572375000,668342000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,151373000,145068000,141351000,233591000,250050000,293911000,361763000,390440000,416943000,490271000,572375000,668342000
11,COGS and Expenses,1171873000,1235522000,1266026000,2051539000,2392236000,2702816000,3231513000,3536801000,3906143000,4428240000,10609665000,6621726000
12,Interest Income ,-40238000,2926000,2446000,476000,-1160000,192000,184000,577000,1639000,2673000,1606000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3792000
14,Depreciation and Amortization,3242000,4219000,4370000,3462000,4090000,4107000,3972000,3953000,26391000,31424000,37336000,39980000
15,EBITDA,88731000,100618000,174893000,51950000,151954000,155157000,164231000,274179000,295791000,353434000,361453000,887539000
16,EBITDA ratio,0.0684,0.0734,0.1218,0.0224,0.0561,0.0521,0.0463,0.0706,0.0700,0.0742,0.0590,0.1183
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-37270000,-32966000,856000,-173762000,-14202000,-13017000,-4310000,7167000,-47734000,-11547000,- -,-16431000
20,Income Before Tax,88724000,101699000,170551000,97936000,301994000,260987000,314206000,355656000,273516000,322272000,324117000,863108000
21,Income Before Tax Ratio,0.0684,0.0742,0.1188,0.0422,0.1115,0.0877,0.0885,0.0915,0.0647,0.0677,0.0529,0.1151
22,Income Tax expense (Gain),-1878000,24912000,-260297000,3068000,76395000,90001000,107643000,179006000,63036000,67358000,74590000,180741000
23,Net Income,87367000,71487000,430820000,45420000,71469000,61049000,52616000,91220000,206364000,254652000,249527000,663026000
