,https://roic.ai/company/TWLO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,49920000,88846000,166919000,277335000,399020000,650067000,1134468000,1761776000,2841839000
2,COGS,25868000,41423000,74454000,120520000,182895000,300841000,525551000,846115000,1451126000
3,Gross Profit,24052000,47423000,92465000,156815000,216125000,349226000,608917000,915661000,1390713000
4,Gross Profit Ratio,0.4818,0.5338,0.5540,0.5654,0.5416,0.5372,0.5367,0.5197,0.4894
5,Research and Development Exp.,13959000,21824000,42559000,77926000,120739000,171358000,391355000,530548000,789219000
6,General and Administrative Exp.,15012000,18960000,35991000,51077000,59619000,110427000,218268000,310607000,472460000
7,Selling and Marketing Exp.,21931000,33322000,49308000,65267000,100669000,175555000,369079000,567407000,1044618000
8,"Selling, General and Administrative Exp.",36943000,52282000,85299000,116344000,160288000,285982000,587347000,878014000,1517078000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,50902000,74106000,127858000,194270000,281027000,457340000,978702000,1408562000,2306297000
11,COGS and Expenses,76770000,115529000,202312000,314790000,463922000,758181000,1504253000,2254677000,3757423000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,610000,1756000,4226000,8315000,18764000,26095000,133623000,149660000,258378000
15,EBITDA,-26244000,-24989000,-31156000,-32683000,-44239000,-95063000,-228593000,-354766000,-702551000
16,EBITDA ratio,-0.5257,-0.2813,-0.1867,-0.1178,-0.1109,-0.1462,-0.2015,-0.2014,-0.2472
17,Operating Income,-26850000,-26683000,-35393000,-41315000,-66074000,-115235000,-369785000,-492901000,-915584000
18,Operating Income ratio,-0.5379,-0.3003,-0.2120,-0.1490,-0.1656,-0.1773,-0.3260,-0.2798,-0.3222
19,Total Other Income Expenses (Gains),-4000,-62000,11000,317000,3071000,-5923000,7569000,-11525000,-45345000
20,Income Before Tax,-26854000,-26745000,-35382000,-40998000,-63003000,-121158000,-362216000,-504426000,-960929000
21,Income Before Tax Ratio,-0.5379,-0.3010,-0.2120,-0.1478,-0.1579,-0.1864,-0.3193,-0.2863,-0.3381
22,Income Tax expense (Gain),- -,13000,122000,326000,705000,791000,-55153000,-13447000,-11029000
23,Net Income,-26854000,-26758000,-35504000,-41324000,-63708000,-121949000,-307063000,-490979000,-949900000
24,Net Income ratio,-0.5379,-0.3012,-0.2127,-0.1490,-0.1597,-0.1876,-0.2707,-0.2787,-0.3343
25,EPS,-0.45,-0.37,-0.54,-0.78,-0.70,-1.26,-2.36,-3.35,-6.47
26,EPS Diluted,-0.45,-0.37,-0.54,-0.78,-0.70,-1.26,-2.36,-3.35,-6.47
27,Weighted Average Shares Outstanding,59398525,71991639,72254967,53116675,91224607,97130339,130083046,146708663,146708663
28,Weighted Average Shares Outstanding Diluted,59398525,71991639,72254967,53116675,91224607,97130339,130083046,146708663,146708663
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1447669/000104746917000800/0001047469-17-000800-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000104746918001207/0001047469-18-001207-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000104746919000807/0001047469-19-000807-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000144766920000045/0001447669-20-000045-index.html,https://www.sec.gov/Archives/edgar/data/1447669/000144766921000070/0001447669-21-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1447669/000144766922000049/0001447669-22-000049-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,32627000,108835000,305665000,115286000,487215000,253660000,933885000,1479452000
32,Short-Term Investments,- -,- -,- -,- -,175587000,261128000,1599033000,2105906000,3878430000
33,Cash and Short-Term Investments,- -,32627000,108835000,305665000,290873000,748343000,1852693000,3039791000,5357882000
34,Net Receivables,- -,9264000,19094000,26203000,43113000,97712000,154067000,251167000,388215000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,4458000,8546000,21512000,19279000,26893000,54571000,81377000,186131000
37,Total Current Assets,- -,46349000,136475000,353380000,353265000,872948000,2061331000,3372335000,5932228000
38,PP&E,- -,6751000,14058000,37552000,50541000,63534000,297997000,441849000,489900000
39,Goodwill,- -,- -,3165000,3565000,17851000,38165000,2296784000,4595394000,5263166000
40,Intangible Assets,- -,510000,2292000,10268000,20064000,27558000,460849000,966573000,1050012000
41,Intangible Assets,- -,510000,5457000,13833000,37915000,65723000,2757633000,5561967000,6313178000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1364000,1526000,7929000,8061000,26505000,33555000,111282000,263292000
45,Total Non-Current Assets,- -,8625000,21041000,59314000,96517000,155762000,3089185000,6115098000,7066370000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,54974000,157516000,412694000,449782000,1028710000,5150516000,9487433000,12998598000
48,Accounts Payable,- -,1227000,2299000,4174000,11116000,18495000,39099000,60042000,93333000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,34080000,57400000,64695000
50,Tax Payable,- -,10312000,17634000,28795000,20877000,25848000,33430000,48390000,61975000
51,Deferred Revenue,- -,4173000,6146000,10222000,13797000,19557000,26362000,87031000,140389000
52,Other Current Liabilities,- -,17798000,31998000,59308000,53614000,99758000,147681000,243833000,405133000
53,Total Current Liabilities,- -,23198000,40443000,73704000,78527000,137810000,247222000,448306000,703550000
54,Long-Term Debt,- -,- -,- -,- -,- -,434496000,458190000,549829000,1222292000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,2452000,5181000,7535000,13684000,- -
57,Other Non-Current Liabilities,- -,582000,448000,9543000,8957000,12988000,158158000,22949000,41290000
58,Total Non-Current Liabilities,- -,582000,448000,9543000,11409000,452665000,623883000,586462000,1263582000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2170000,182026000,305161000,301080000
61,Total Liabilities,- -,23780000,40891000,83247000,89936000,590475000,871105000,1034768000,1967132000
62,Preferred Stock,- -,111691000,239911000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,17000,17000,87000,94000,100000,138000,164000,180000
64,Retained Earnings,- -,-89434000,-145406000,-186730000,-250438000,-371674000,-678812000,-1169791000,-2119691000
