,https://roic.ai/company/MLSS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,300000,2900000,8800000,2855463,5674351,4093710,4074006,3971707,4751186,6433148,5844177,6390713,6623807,8549060,9749968,8378094,8648242,10011420,10333090,9491569,10482005,11281886,9622076,8374501,5437236,10304711
2,COGS,- -,1600000,9600000,839462,2908166,1973156,1980949,2003139,2415826,2521022,3035646,2898048,2681116,3458279,3531452,3016642,3055991,3198908,3630765,3048260,4175533,4312507,5190775,2656142,1815924,3992811
3,Gross Profit,300000,1300000,-800000,2016001,2766185,2120554,2093057,1968568,2335360,3912126,2808531,3492665,3942691,5090781,6218516,5361452,5592251,6812512,6702325,6443309,6306472,6969379,4431301,5718359,3621312,6311900
4,Gross Profit Ratio,1.0000,0.4483,-0.0909,0.7060,0.4875,0.5180,0.5138,0.4956,0.4915,0.6081,0.4806,0.5465,0.5952,0.5955,0.6378,0.6399,0.6466,0.6805,0.6486,0.6788,0.6016,0.6177,0.4605,0.6828,0.6660,0.6125
5,Research and Development Exp.,200000,1000000,400000,455332,386250,49943,147709,131015,187992,286260,1005285,397354,168516,241318,270494,140053,181979,191345,88243,100856,1270471,272746,245636,189923,307850,878210
6,General and Administrative Exp.,2200000,7700000,9300000,7009543,8497955,5271032,3588836,3569604,5155569,6794032,5326031,6335556,5502762,6952976,6648859,6445001,5930625,5534463,7404258,9399201,11549961,11930951,10645206,9527429,10766580,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2200000,7700000,9300000,7009543,8497955,5271032,3588836,3569604,5155569,6794032,5326031,6335556,5502762,6952976,6648859,6445001,5930625,5534463,7404258,9399201,11549961,11930951,10645206,9527429,10766580,12738362
9,Other Expenses,200000,300000,500000,732857,718620,- -,26067,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73836
10,Operating Expenses,2600000,9000000,10200000,8197732,9602825,5320975,3762612,3700619,5343561,7080292,6331317,6732910,5671278,7194294,6919353,6585054,6112604,5725808,7492501,9500057,12820432,12203697,10890842,9717352,11074430,13690408
11,COGS and Expenses,2600000,10600000,19800000,9037194,12510991,7294131,5743561,5703758,7759387,9601314,9366963,9630958,8352394,10652573,10450805,9601696,9168595,8924716,11123266,12548317,16995965,16516204,16081617,12373494,12890354,17683219
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9023,3146,587,35,34,115,5057,3838,1285,9298,7447,1543,6709,- -
