,https://roic.ai/company/ARCW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3012266,2926728,4567531,18480000,30940000,32575000,30596000,37365000,39657000,6470000,8048000,7257000,4404000,3966000,3313000,- -,68486000,82926000,112505000,103840000,99069000,82438000,79832000,48526000
2,COGS,1660552,1922522,3368876,15311000,24886000,26493000,25612000,30581000,32180000,5021000,5267000,4943000,2959000,2526000,2137000,- -,50194000,58693000,87057000,83677000,89247000,78416000,77865000,41724000
3,Gross Profit,1351714,1004206,1198655,3169000,6054000,6082000,4984000,6784000,7477000,1449000,2781000,2314000,1445000,1440000,1176000,- -,18292000,24233000,25448000,20163000,9822000,4022000,1967000,6802000
4,Gross Profit Ratio,0.4487,0.3431,0.2624,0.1715,0.1957,0.1867,0.1629,0.1816,0.1885,0.2240,0.3456,0.3189,0.3281,0.3631,0.3550,- -,0.2671,0.2922,0.2262,0.1942,0.0991,0.0488,0.0246,0.1402
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1080641,1301421,1201018,4396000,6388000,5821000,5457000,6190000,6445000,3112000,4171000,4404000,2477000,1954000,1860000,- -,- -,15731000,19172000,18008000,19263000,13634000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1080641,1301421,1201018,4396000,6388000,5821000,5457000,6190000,6445000,3112000,4171000,4404000,2477000,1954000,1860000,- -,11620000,15731000,19172000,18008000,19263000,13634000,12830000,8436000
9,Other Expenses,- -,- -,114481,678000,2277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1080641,1301421,1315499,5074000,8665000,5821000,5457000,6190000,6445000,3112000,4171000,4404000,2477000,1954000,1860000,- -,11620000,15731000,19172000,18008000,19263000,13634000,12830000,8436000
11,COGS and Expenses,2741193,3223943,4684375,20385000,33551000,32314000,31069000,36771000,38625000,8133000,9438000,9347000,5436000,4480000,3997000,- -,61814000,74424000,106229000,101685000,108510000,92050000,90695000,50160000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,83774,- -,48000,241000,207000,190000,300000,284000,124000,24000,45000,11000,3000,- -,- -,1142000,1399000,4848000,4451000,4008000,3625000,3723000,3556000
14,Depreciation and Amortization,54735,115372,114481,678000,1260000,308000,286000,251000,227000,162000,181000,223000,219000,198000,184000,- -,3393000,4385000,9459000,9529000,9930000,10223000,10146000,6114000
15,EBITDA,257388,-178345,-122534,-1108000,-1182000,872000,257000,1292000,1511000,-723000,-504000,-1575000,-715000,-251000,-462000,- -,8296000,12711000,15604000,11747000,1108000,633000,-10755000,4245000
16,EBITDA ratio,0.0854,-0.0609,-0.0268,-0.0600,-0.0382,0.0268,0.0084,0.0346,0.0381,-0.1117,-0.0626,-0.2170,-0.1624,-0.0633,-0.1395,- -,0.1211,0.1533,0.1387,0.1131,0.0112,0.0077,-0.1347,0.0875
17,Operating Income,271073,-297215,-116844,-1905000,-2611000,261000,-473000,594000,1032000,-1663000,-1390000,-2090000,- -,- -,-684000,- -,5035000,7966000,6089000,2155000,-12744000,-9612000,-16286000,-1634000
18,Operating Income ratio,0.0900,-0.1016,-0.0256,-0.1031,-0.0844,0.0080,-0.0155,0.0159,0.0260,-0.2570,-0.1727,-0.2880,- -,- -,-0.2065,- -,0.0735,0.0961,0.0541,0.0208,-0.1286,-0.1166,-0.2040,-0.0337
19,Total Other Income Expenses (Gains),-68420,-80276,-120171,71000,-72000,96000,254000,147000,-32000,-210000,681000,338000,91000,65000,- -,- -,-709000,-811000,-4582000,-4280000,-4061000,-3327000,-3848000,-3594000
20,Income Before Tax,202653,-377491,-237015,-1834000,-2683000,357000,-219000,741000,1000000,-1873000,-709000,-1752000,-941000,- -,- -,- -,4326000,7155000,1507000,-2125000,-16805000,-12939000,-20134000,-5228000
21,Income Before Tax Ratio,0.0673,-0.1290,-0.0519,-0.0992,-0.0867,0.0110,-0.0072,0.0198,0.0252,-0.2895,-0.0881,-0.2414,-0.2137,- -,- -,- -,0.0632,0.0863,0.0134,-0.0205,-0.1696,-0.1570,-0.2522,-0.1077
22,Income Tax expense (Gain),68153,-132765,335373,7000,118000,50000,66000,53000,-292000,-267000,-6000,- -,- -,- -,- -,- -,722000,2411000,1509000,81000,-2631000,-35000,-681000,-138000
23,Net Income,134500,-244726,-572388,-1841000,-2801000,307000,-285000,688000,1292000,-742000,-703000,-1843000,-945000,-452000,-646000,- -,3039000,4516000,-212000,-2314000,-10199000,-13180000,-23943000,-5287000
24,Net Income ratio,0.0447,-0.0836,-0.1253,-0.0996,-0.0905,0.0094,-0.0093,0.0184,0.0326,-0.1147,-0.0874,-0.2540,-0.2146,-0.1140,-0.1950,- -,0.0444,0.0545,-0.0019,-0.0223,-0.1029,-0.1599,-0.2999,-0.1090
25,EPS,0.07,-0.13,-0.39,-0.39,-0.74,0.08,-0.08,0.16,0.31,-0.19,-0.18,-0.47,-0.23,-0.11,-0.16,- -,0.22,0.31,-0.01,-0.13,-0.56,-0.66,-1.03,-0.23
26,EPS Diluted,0.07,-0.13,-0.39,-0.39,-0.74,0.08,-0.08,0.16,0.31,-0.19,-0.18,-0.47,-0.23,-0.11,-0.16,- -,0.22,0.31,-0.01,-0.13,-0.56,-0.66,-1.03,-0.23
27,Weighted Average Shares Outstanding,1886521,1924860,2064383,3227886,3829469,3956596,3673062,4433450,4162803,3977216,3982372,3983660,3983660,3983660,3983660,- -,13814941,14667012,15539684,18219178,18238113,19936074,23357403,23357403
28,Weighted Average Shares Outstanding Diluted,1886521,1924860,2064383,3227886,3829469,3956596,3673062,4433450,4472114,3977216,3982372,3983660,3983660,3983660,3983660,- -,13814941,14667012,15539684,18219178,18238113,19936074,23357403,23357403
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/826326/000100544499000056/0001005444-99-000056-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/826326/000105050207000098/0001050502-07-000098-index.html,https://www.sec.gov/Archives/edgar/data/826326/000100009608000088/0001000096-08-000088-index.htm,https://www.sec.gov/Archives/edgar/data/826326/000143774909000315/0001437749-09-000315-index.html,https://www.sec.gov/Archives/edgar/data/826326/000143774910000739/0001437749-10-000739-index.html,https://www.sec.gov/Archives/edgar/data/826326/000143774911001804/arc_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/826326/000114420412014885/0001144204-12-014885-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/826326/000144530514005019/arcw2014063010k.htm,https://www.sec.gov/Archives/edgar/data/826326/000110465915067381/0001104659-15-067381-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837016008278/0001558370-16-008278-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837017007160/0001558370-17-007160-index.html,https://www.sec.gov/Archives/edgar/data/826326/000155837018007587/0001558370-18-007587-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,61642,17555,177679,1078000,345000,265000,227000,321000,167000,15720000,14941000,12943000,11785000,11643000,11048000,- -,3601000,9384000,4821000,3620000,593000,365000,263000,3942000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,61642,17555,177679,1078000,345000,265000,227000,321000,167000,15720000,14941000,12943000,11785000,11643000,11048000,- -,3601000,9384000,4821000,3620000,593000,365000,263000,3942000
34,Net Receivables,327685,336732,324481,4235000,5901000,6155000,4791000,4833000,8472000,620000,1173000,867000,476000,385000,740000,- -,10636000,15337000,15385000,14913000,10488000,11251000,10649000,5876000
35,Inventory,508554,300366,579713,4733000,5938000,5397000,6081000,5624000,6107000,788000,1179000,1107000,1019000,548000,185000,- -,10780000,15231000,16386000,17613000,14369000,12327000,11902000,5530000
36,Other Current Assets,174469,21938,139,727000,117000,131000,117000,209000,7216000,416000,109000,65000,36000,29000,17000,- -,1274000,2606000,3002000,4856000,4604000,2955000,1410000,2410000
37,Total Current Assets,1072350,676591,1082012,10773000,12301000,11948000,11216000,10987000,21962000,17544000,17402000,14982000,13316000,12605000,11990000,- -,26291000,42558000,39594000,41002000,30054000,26898000,24224000,17758000
38,PP&E,407355,404814,369381,509000,729000,505000,531000,527000,433000,297000,365000,381000,358000,272000,227000,- -,24051000,45268000,43813000,41981000,41349000,39980000,34371000,24067000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,10824000,- -,- -,- -,- -,- -,- -,- -,11497000,16357000,14801000,14801000,6412000,6412000,6412000,6412000
40,Intangible Assets,- -,40539,40491,14357000,10907000,10934000,10934000,10937000,103000,98000,106000,124000,122000,114000,116000,- -,4622000,30825000,26441000,23066000,19624000,16270000,7655000,6012000
41,Intangible Assets,41245,40539,40491,14357000,10907000,10934000,10934000,10937000,10927000,98000,106000,124000,122000,114000,116000,- -,16119000,47182000,41242000,37867000,26036000,22682000,14067000,12424000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,95509,335373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10612,23588,16085,50000,64000,68000,59000,42000,168000,36000,39000,33000,52000,2000,7000,- -,211000,1381000,1374000,948000,2184000,373000,153000,32000
45,Total Non-Current Assets,554721,804314,425957,14916000,11700000,11507000,11524000,11506000,11528000,431000,510000,538000,532000,388000,350000,- -,40381000,93831000,86429000,80796000,69569000,63035000,48591000,36523000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1627071,1480905,1507969,25689000,24001000,23455000,22740000,22493000,33490000,17975000,17912000,15520000,13848000,12993000,12340000,- -,66672000,136389000,126023000,121798000,99623000,89933000,72815000,54281000
48,Accounts Payable,415377,351793,357474,5904000,5273000,4166000,3300000,2253000,11310000,790000,631000,832000,504000,212000,293000,- -,5496000,9430000,7338000,9286000,8681000,11704000,10721000,2804000
49,Short-Term Debt,351025,243166,202263,322000,925000,3732000,449000,555000,2079000,32000,1492000,86000,110000,95000,49000,- -,7410000,15543000,6852000,16755000,3171000,3150000,2659000,8337000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1103000,1016000,991000,1457000,1165000,825000,640000,14000
52,Other Current Liabilities,183152,238004,70528,508000,514000,548000,418000,890000,757000,1043000,286000,909000,518000,404000,362000,- -,2292000,8305000,7317000,5463000,4768000,3033000,2420000,3320000
53,Total Current Liabilities,949554,832963,630265,6734000,6712000,8446000,4167000,3698000,14146000,1865000,2409000,1827000,1132000,711000,704000,- -,16301000,34294000,22498000,32961000,17785000,18712000,16440000,14475000
54,Long-Term Debt,197560,122345,131764,1500000,2642000,5000,3704000,3243000,2469000,- -,- -,- -,- -,- -,- -,- -,24654000,62757000,51971000,37857000,42822000,37013000,46277000,23991000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2029000,1407000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,170975,- -,- -,- -,- -,97000,90000,39000,23000,83000,77000,13000,- -,- -,- -,- -,7997000,2784000,5030000,4349000,2044000,1605000,11842000
58,Total Non-Current Liabilities,197560,293320,131764,1500000,2642000,5000,3801000,3333000,2534000,23000,83000,77000,13000,- -,- -,- -,24654000,70754000,56784000,44294000,47171000,39057000,47882000,35833000
