,https://roic.ai/company/BXC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4224935000,3768700000,3734029000,4271842000,3672820000,5622071000,4899400000,3833900000,- -,2779700000,1646100000,1755431000,1907800000,- -,2152000000,1979393000,1881000000,1815535000,2862850000,2637268000,- -,3097328000
2,COGS,3880766000,3395184000,3370995000,3814375000,3339590000,5109632000,4419600000,3442000000,- -,2464800000,1452900000,1545282000,1677800000,- -,1923500000,1750289000,1653637000,1584506000,2530996000,2280353000,- -,2619594000
3,Gross Profit,344169000,373516000,363034000,457467000,333230000,512439000,479800000,391900000,- -,314900000,193200000,210149000,230000000,- -,228500000,229104000,227363000,231029000,331854000,356915000,- -,477734000
4,Gross Profit Ratio,0.0815,0.0991,0.0972,0.1071,0.0907,0.0911,0.0979,0.1022,- -,0.1133,0.1174,0.1197,0.1206,- -,0.1062,0.1157,0.1209,0.1273,0.1159,0.1353,- -,0.1542
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,301349000,298576000,295492000,346585000,248291000,378008000,381600000,372800000,- -,305300000,220600000,207857000,226400000,- -,245900000,206095000,204312000,198709000,293914000,304611000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",301349000,298576000,295492000,346585000,248291000,378008000,381600000,372800000,- -,305300000,220600000,207857000,226400000,- -,245900000,206095000,204312000,198709000,293914000,304611000,- -,- -
9,Other Expenses,30393000,26747000,21757000,19476000,10132000,18770000,20700000,20800000,- -,18600000,-11100000,10562000,-1900000,- -,3900000,9473000,9342000,2332000,49026000,17150000,- -,350030000
10,Operating Expenses,331742000,325323000,317249000,366061000,258423000,396778000,402300000,393600000,- -,323900000,209500000,218419000,224500000,- -,249800000,215568000,213654000,201041000,342940000,321761000,- -,350030000
11,COGS and Expenses,4212508000,3720507000,3688244000,4180436000,3598013000,5506410000,4821900000,3835600000,- -,2788700000,1662400000,1763701000,1902300000,- -,2173300000,1965857000,1867291000,1785547000,2873936000,2602114000,- -,2969624000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,42311000,-46164000,-43660000,- -,-38547000,-32456000,30510000,30510000,- -,28157000,26771000,24898000,21225000,47301000,-54218000,- -,47414000
14,Depreciation and Amortization,30393000,26747000,21757000,19476000,12455000,22399000,23352000,23355000,- -,20519000,16984000,10562000,8565000,- -,9117000,9473000,9342000,9032000,25826000,30232000,- -,28901000
15,EBITDA,37632000,56022000,67194000,110506000,56142000,137874000,3337000,-65282000,- -,-66162000,-72408000,3467000,17037000,- -,-2940000,22684000,51446000,39842000,12920000,-45594000,- -,171396000
16,EBITDA ratio,0.0089,0.0149,0.0180,0.0259,0.0153,0.0245,0.0007,-0.0170,- -,-0.0238,-0.0440,0.0020,0.0089,- -,-0.0014,0.0115,0.0274,0.0219,0.0045,-0.0173,- -,0.0553
17,Operating Income,12427000,48193000,45785000,91406000,74807000,115661000,77529000,-1732000,- -,-8989000,-16265000,-8270000,5509000,- -,-21301000,13536000,41849000,29988000,-13286000,35154000,- -,142241000
18,Operating Income ratio,0.0029,0.0128,0.0123,0.0214,0.0204,0.0206,0.0158,-0.0005,- -,-0.0032,-0.0099,-0.0047,0.0029,- -,-0.0099,0.0068,0.0222,0.0165,-0.0046,0.0133,- -,0.0459
