,https://roic.ai/company/ESNT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,6300000,14388000,48716000,131403000,239467000,353290000,458258000,576511000,719353000,867567000,955154000,1028510000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955154000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,17337000,24011000,31624000,46971000,64286000,72229000,84044000,90964000,90084000,93660000,- -,101339000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17337000,24011000,31624000,46971000,64286000,72229000,84044000,90964000,90084000,93660000,93066000,101339000
9,Other Expenses,- -,- -,- -,- -,39714000,52771000,61956000,82036000,71916000,104340000,362934000,- -
10,Operating Expenses,- -,- -,- -,- -,104000000,125000000,146000000,173000000,162000000,198000000,456000000,- -
11,COGS and Expenses,33928000,48838000,62592000,73376000,103540000,124892000,146376000,177943000,172654000,208506000,465058000,206196000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,5178000,10179000,10151000,9074000,8282000
14,Depreciation and Amortization,6636000,13591000,15156000,2252000,2464000,3219000,4064000,3923000,3404000,3769000,3328000,3379000
15,EBITDA,-20992000,-20859000,1280000,60279000,138391000,231617000,315946000,407669000,560282000,672981000,502498000,833975000
16,EBITDA ratio,-3.3321,-1.4497,0.0263,0.4587,0.5779,0.6556,0.6895,0.7071,0.7789,0.7757,0.5261,0.8109
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
