,https://roic.ai/company/MIXT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,28425292,62123419,100963865,113793668,129807588,132789649,126765852,119917393,114401508,98009925,114441702,144550576,136150826,145650000,126894000
2,COGS,12410118,25229750,41466630,45708069,49803957,50968919,45940015,39797821,37025238,29389511,37064711,49545537,45192254,53015000,43865000
3,Gross Profit,16015174,36893669,59497235,68085599,80003631,81820730,80825837,80119572,77376270,68620415,77376991,95005039,90958572,92635000,83029000
4,Gross Profit Ratio,0.5634,0.5939,0.5893,0.5983,0.6163,0.6162,0.6376,0.6681,0.6764,0.7001,0.6761,0.6572,0.6681,0.6360,0.6543
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5467000,- -
6,General and Administrative Exp.,6733266,12389712,24413483,46393955,51437891,50960835,46797471,50192608,51191006,45766902,53669353,61605360,53947786,58263000,53487000
7,Selling and Marketing Exp.,- -,- -,5980662,7027824,12123470,12687535,14375590,13957537,14158193,13632015,13494769,15613990,13726898,13324000,11344000
8,"Selling, General and Administrative Exp.",6733266,12389712,30394145,53421779,63561362,63648370,61173061,64150145,65349200,59398917,67164123,77219349,67674684,71587000,64831000
9,Other Expenses,2682484,13462763,14871464,-209448,-714041,-913703,- -,- -,-0,- -,- -,17979,3032,-5467000,- -
10,Operating Expenses,9415750,25852475,45265608,53212331,62847321,62734668,61173061,64150145,65349200,59398917,67164123,77237329,67677716,71587000,64831000
11,COGS and Expenses,21825868,51082225,86732238,98920400,112651278,113703586,107113076,103947965,102374438,88788427,104228833,126782865,112869970,124602000,108696000
12,Interest Income ,49984,152941,107799,496204,321077,311869,193479,404547,707630,487835,1044204,718160,707951,67000,- -
13,Interest Expense (Gain),895309,2066183,2840277,2706988,1994835,686451,309372,239994,172173,112124,171582,196169,340194,- -,- -
14,Depreciation and Amortization,- -,- -,- -,6820136,8613586,8681089,10624707,8753684,8842736,8203480,10644312,18221667,17113402,19972000,16559000
15,EBITDA,6667585,12207463,14242902,22117987,26090973,28079021,30397921,29000655,28055616,27710521,21833837,36551126,40902517,40788000,33788000
16,EBITDA ratio,0.2346,0.1965,0.1411,0.1944,0.2010,0.2115,0.2398,0.2418,0.2452,0.2827,0.1908,0.2529,0.3004,0.2800,0.2663
17,Operating Income,6617600,12054522,14231627,14873268,17156310,19086063,19607219,16172267,12339550,9304722,10244524,18144095,23353415,21048000,18198000
18,Operating Income ratio,0.2328,0.1940,0.1410,0.1307,0.1322,0.1437,0.1547,0.1349,0.1079,0.0949,0.0895,0.1255,0.1715,0.1445,0.1434
19,Total Other Income Expenses (Gains),-845324,-1913242,-2829002,-2282405,-1673758,-374582,-143919,3834239,6651258,10056878,772155,-5824,95505,-232000,-969000
20,Income Before Tax,5772276,10141280,11402625,12590864,15482552,18711481,19463300,20006507,18990808,19361600,11016680,18138270,23448920,20816000,17229000
21,Income Before Tax Ratio,0.2031,0.1632,0.1129,0.1106,0.1193,0.1409,0.1535,0.1668,0.1660,0.1975,0.0963,0.1255,0.1722,0.1429,0.1358
22,Income Tax expense (Gain),2166669,3109311,4122796,3643209,5014099,5251053,5561994,5712130,6720835,7152949,1992400,2843772,9506550,9829000,2634000
23,Net Income,3605607,7031969,7279830,8947654,10468453,13460428,13901847,14294848,12319871,12241967,9025543,15289518,13942370,10987000,14595000
24,Net Income ratio,0.1268,0.1132,0.0721,0.0786,0.0806,0.1014,0.1097,0.1192,0.1077,0.1249,0.0789,0.1058,0.1024,0.0754,0.1150
25,EPS,28.23,36.63,0.28,0.34,0.40,0.51,0.53,0.50,0.39,0.40,0.35,0.68,0.62,0.75,0.75
26,EPS Diluted,28.23,36.63,0.28,0.34,0.40,0.51,0.51,0.47,0.39,0.38,0.35,0.68,0.60,0.75,0.75
27,Weighted Average Shares Outstanding,95873,176484,25996680,26280000,26280000,26280000,26338240,29286840,31572640,31005560,25185040,22443520,22477880,22146120,21976600
28,Weighted Average Shares Outstanding Diluted,95873,176484,25996680,26318960,26334640,26280000,26990880,30732240,32175400,31336560,25272760,22959240,23345880,22715160,22424960
