,https://roic.ai/company/UAMY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5010913,4309101,3142776,4710278,5016661,3436564,3473897,3221750,3122892,3564030,4395368,5259127,5275987,4103340,9073324,13118090,12042702,11020829,10772192,13109003,11890135,10229978,9034403,8268005,5235530,7747506
2,COGS,4832200,3500410,2747880,4198587,4410105,3117882,3138486,2932467,2381009,2875374,3605029,5287430,5014007,3580876,7699592,11443892,11007802,11061799,11111533,13521363,11353484,10068578,9032860,9084256,5029832,6908901
3,Gross Profit,178713,808691,394896,511691,606556,318682,335411,289283,741883,688656,790339,-28303,261980,522464,1373732,1674198,1034900,-40970,-339341,-412360,536651,161400,1543,-816251,205698,838605
4,Gross Profit Ratio,0.0357,0.1877,0.1257,0.1086,0.1209,0.0927,0.0966,0.0898,0.2376,0.1932,0.1798,-0.0054,0.0497,0.1273,0.1514,0.1276,0.0859,-0.0037,-0.0315,-0.0315,0.0451,0.0158,0.0002,-0.0987,0.0393,0.1082
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,595803,505161,- -,1353587,1297201,1248998,1453577,1473502,1121099,1535431,1429773,1221474,942060
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153418,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,749221,505161,- -,1353587,1297201,1248998,1453577,1473502,1121099,1535431,1429773,1221474,942060
9,Other Expenses,333303,244553,307554,732013,1371661,1057609,663775,909598,810553,1212401,1127736,635602,575481,58529,245700,782667,- -,- -,- -,- -,- -,- -,119076,88347,2288966,556802
10,Operating Expenses,333303,244553,307554,732013,1371661,1057609,663775,909598,810553,1212401,1127736,635602,575481,807750,750861,782667,1353587,1297201,1248998,1453577,1473502,1121099,1654507,1518120,3510440,1498862
11,COGS and Expenses,5165503,3744963,3055434,4930600,5781766,4175491,3802261,3842065,3191562,4087775,4732765,5923032,5589488,4388626,8450453,12226559,12361389,12359000,12360531,14974940,12826986,11189677,10687367,10602376,8540272,8407763
12,Interest Income ,10680,- -,23270,- -,8459,5229,3728,10711,3629,- -,- -,- -,- -,- -,- -,5205,8049,3923,7916,6383,1437,873,864,- -,- -,- -
13,Interest Expense (Gain),284927,- -,216318,- -,157145,152070,80462,82855,112663,122021,127294,45444,- -,5605,- -,- -,2691,4529,1118,- -,160795,106975,99970,78344,17991,5539
14,Depreciation and Amortization,192445,170095,157812,130714,152377,137084,97084,96542,119824,135429,133464,165414,215728,262452,355876,405746,472990,688738,780782,932786,999737,968888,904844,895990,885843,880880
15,EBITDA,-537583,832869,-94297,434729,241823,-687683,-182843,-619237,139323,-318316,-23900,-412834,548092,-26786,668089,1148276,84252,-718452,-813555,94255,149470,-58531,1545707,-2698557,-2382970,825950
16,EBITDA ratio,-0.1073,0.1933,-0.0300,0.0923,0.0482,-0.2001,-0.0526,-0.1922,0.0446,-0.0893,-0.0054,-0.0785,0.1039,-0.0065,0.0736,0.0875,0.0070,-0.0652,-0.0755,0.0072,0.0126,-0.0057,0.1711,-0.3264,-0.4552,0.1066
