,https://roic.ai/company/MITT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,148940946,-7532052,129669180,34412738,84075608,128537074,14802000,117683000,-391590000,99796000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,37580000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0960,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,400200,251447,291131,164487,298592,300688,1801000,1926000,1906000,6814000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1512898,6813643,10940172,10380370,10135774,10108019,10135781,11345000,11751000,9087000,6814000
9,Other Expenses,1672366,-67813643,12328618,-15380370,74864226,4891981,-44135781,69655000,-40751000,431913000,- -
10,Operating Expenses,3185264,-61000000,23268790,-5000000,85000000,15000000,-34000000,81000000,-29000000,441000000,- -
11,COGS and Expenses,3185264,- -,23268790,- -,- -,- -,- -,- -,- -,14513000,- -
12,Interest Income ,1696344,96376692,151000673,141573188,141273414,123006112,128844959,156475000,171660000,74525000,70662000
13,Interest Expense (Gain),1696344,15010444,25553273,26497398,31230369,33785031,43722014,72058000,90108000,36945000,27250000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,2336000,- -,-5212000,6082000
15,EBITDA,- -,149946361,-2983747,135813052,45048906,97467802,162279624,75962000,183030000,-389186000,137518000
16,EBITDA ratio,- -,1.0068,0.3961,1.0474,1.3091,1.1593,1.2625,5.1319,1.5553,0.9939,1.3780
17,Operating Income,-3185264,- -,-23268790,- -,- -,- -,- -,- -,- -,-421585000,104186000
18,Operating Income ratio,-Infinity,- -,3.0893,- -,- -,- -,- -,- -,- -,1.0766,1.0440
19,Total Other Income Expenses (Gains),5103635,- -,-7532052,- -,- -,- -,- -,- -,- -,1629000,-31889000
20,Income Before Tax,- -,134935917,-30800842,105630844,10420320,62163909,105936149,-14025000,89694000,-419956000,72297000
21,Income Before Tax Ratio,- -,0.9060,4.0893,0.8146,0.3028,0.7394,0.8242,-0.9475,0.7622,1.0724,0.7244
22,Income Tax expense (Gain),- -,- -,3041616,-79914,- -,- -,- -,- -,- -,- -,- -
23,Net Income,18970696,134935917,-31578636,109395568,13818537,63682771,118557610,1568000,92922000,-420919000,104186000
24,Net Income ratio,Infinity,0.9060,4.1926,0.8437,0.4016,0.7574,0.9224,0.1059,0.7896,1.0749,1.0440
25,EPS,9.60,21.60,-4.83,10.14,0.03,5.40,11.31,-1.26,7.17,-36.72,6.48
26,EPS Diluted,9.60,21.54,-4.83,10.11,0.03,5.40,11.31,-1.26,7.17,-36.72,6.48
27,Weighted Average Shares Outstanding,1977944,6055736,9340845,9459917,9466229,9317385,9288757,9463990,10730655,11730321,16077000
28,Weighted Average Shares Outstanding Diluted,1977974,6075680,9340845,9474713,9469959,9317694,9294364,9463990,10734322,11730321,16077000
