,https://roic.ai/company/ACRX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,1072000,2394000,29502000,5217000,19263000,17357000,7995000,2151000,2289000,5416000,2818000
2,COGS,- -,- -,- -,- -,- -,- -,- -,1770000,12315000,10659000,3976000,6806000,6032000,3753000
3,Gross Profit,- -,- -,- -,1072000,- -,29502000,- -,17493000,5042000,-2664000,-1825000,-4517000,-616000,-935000
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,1.0000,- -,0.9081,0.2905,-0.3332,-0.8484,-1.9734,-0.1137,-0.3318
5,Research and Development Exp.,18325000,15502000,8193000,13624000,24908000,26292000,24520000,22488000,21402000,19409000,13137000,4661000,4017000,4095000
6,General and Administrative Exp.,2365000,3529000,3993000,6800000,7199000,9877000,18346000,14203000,15597000,16609000,20765000,45027000,36330000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2365000,3529000,3993000,6800000,7199000,9877000,18346000,14203000,15597000,16609000,20765000,45027000,36330000,30935000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3753000
10,Operating Expenses,20690000,19031000,12186000,20424000,32107000,36169000,42866000,36691000,36999000,36018000,33902000,49688000,40347000,38783000
11,COGS and Expenses,20690000,19031000,12186000,20424000,32107000,36169000,42866000,38461000,49314000,46677000,37878000,56494000,46379000,38783000
12,Interest Income ,484000,33000,4000,52000,-1367000,-15241000,6935000,1720000,918000,510000,1138000,2166000,3893000,- -
13,Interest Expense (Gain),404000,1242000,1397000,2309000,2283000,16759000,2639000,5405000,12152000,14037000,12558000,1198000,3305000,-2291000
14,Depreciation and Amortization,383000,481000,479000,513000,605000,593000,866000,1984000,2052000,1744000,575000,1668000,1853000,- -
15,EBITDA,-19823000,-18517000,-10942000,-17279000,-30475000,-6074000,-29848000,-16250000,-28987000,-36428000,-34014000,-50371000,-35217000,-37385000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-16.1185,-12.7297,-0.2059,-5.7213,-0.8436,-1.6700,-4.5563,-15.8131,-22.0057,-6.5024,-13.2665
17,Operating Income,-20690000,-19031000,-12186000,-19352000,-29713000,-6667000,-37649000,-19954000,-31957000,-38682000,-35727000,-54205000,-40963000,-35965000
