,https://roic.ai/company/THCT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,240352,364699,552830,273276,92848,276158,744484,24234371,1298296,466832
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,240352,364699,552830,273276,92848,276158,744484,24234371,1298296,466832
9,Other Expenses,353,8410,68790,114411,23572,- -,- -,- -,- -,- -,- -,25434,25558,20114,473145
10,Operating Expenses,353,8410,68790,124411,23572,240352,364699,- -,- -,- -,- -,769918,24259929,1318410,939977
11,COGS and Expenses,- -,10000,70000,120000,23570,240350,364700,552830,273276,92848,429018,6124150,19075430,1318410,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,83,201,1200,1200,5485,46306,11023,11283,164270,101692,303586,487700,551750
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152860,25434,25558,20114,277845
15,EBITDA,- -,-10000,-70000,-40000,-25970,-242750,-1138150,-554913,-273276,-92848,-276158,-6098720,-19049870,-892034,-662132
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-153,-8410,- -,-124411,-23572,-240352,-364699,-552830,-273276,-92848,-429018,-5991918,-26689910,-1318410,-939977
18,Operating Income ratio,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-1590,- -,84411,-1198,-1198,-768431,-23216,-11023,850,-15169404,-147482,3382850,-606769,-945468
20,Income Before Tax,- -,-10000,-70000,-40000,-24770,-241550,-1133130,-576046,-284299,-91998,-15598422,-6139400,-23307060,-1925179,-1885445
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-10000,-70000,-40000,-24770,-241550,-1133130,-576046,-284299,-91998,-15598422,-6139400,-23307060,-1925179,-1885445
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.01,-0.12,-0.04,-0.01,-0.19,-2.80,-1.06,-0.52,-0.20,-2.40,-0.50,-1.74,-0.12,-0.11
26,EPS Diluted,-0.00,-0.01,-0.12,-0.04,-0.01,-0.19,-2.80,-1.06,-0.52,-0.20,-2.40,-0.50,-1.74,-0.12,-0.11
27,Weighted Average Shares Outstanding,589355,588890,588890,1108923,1954444,1292329,461384,541539,543126,569794,6592293,12054775,13376774,16551334,16551334
28,Weighted Average Shares Outstanding Diluted,589355,588890,588890,1108923,1954444,1292329,461384,541539,543126,569794,6592293,12054775,13376774,16551334,16551334
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1404935/000001315608000184/0000013156-08-000184-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404935/000125529412000779/0001255294-12-000779-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000160680814000019/0001606808-14-000019-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404935/000147793219006627/0001477932-19-006627-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000147793220006275/0001477932-20-006275-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000147793222001755/0001477932-22-001755-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,10000,- -,10980,- -,56450,15200,5888,6469,296,187,- -,317550,43239,296130
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20000,10000,- -,10980,- -,56450,15200,5888,6469,296,187,- -,317550,43239,296130
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,830
36,Other Current Assets,- -,- -,- -,- -,- -,13940,2570,484,484,484,78765,- -,140250,- -,4586
37,Total Current Assets,20000,10000,- -,10980,- -,70390,17770,6372,6953,780,78952,- -,457800,43239,301546
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57377,60000,37140,21446,9480
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,525000,175000,175000,175000,175000,4019763,30000,25080,20661,16257
41,Intangible Assets,- -,- -,- -,- -,- -,525000,175000,175000,175000,175000,5019763,30000,25080,20661,16257
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3208,2430000,- -,- -,152785
45,Total Non-Current Assets,- -,- -,- -,- -,- -,525000,175000,175000,175000,175000,5080348,2520000,62220,42107,178522
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,10000,- -,10980,- -,595390,192770,181372,181953,175780,5159300,2520000,520020,85346,480068
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7859,180000,158740,499249,- -
49,Short-Term Debt,- -,1000,1000,20000,20000,- -,57983,157470,169970,181115,82739,176200,177553,430041,561346
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,69000,31150,44940,214380,87727,212419,289442,139122,220291,223800,933137,934707,2296048
53,Total Current Liabilities,- -,1000,70000,51150,64940,214380,145710,369889,459412,320237,310889,580000,1269430,1863997,2857394
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,175000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,175000,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,70000,51150,64940,389380,145710,369889,459412,320237,310889,580000,1269430,1863997,2857394
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2165,2225,217,218,- -
63,Common Stock,10000,10000,20000,54720,54720,63040,74040,76037,76037,8631,118778,10000,14430,21462,- -
64,Retained Earnings,- -,-10000,-90000,-122600,-147370,-388920,-1522050,-2098095,-2382394,-2474392,-18281752,-9390000,-32701140,- -,-36517980
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2623,- -,- -,- -,- -
66,Other Total Stockholders Equity,6072,7582,1490,27716,27714,531892,1495063,1833541,2028898,2321304,23011843,11315865,31937087,-1800331,34040654
67,Total Stockholders Equity,16072,7582,-68510,-40164,-64936,206012,47053,-188517,-277459,-144457,4848411,1938090,-749406,-1778651,-2477326
68,Total Liabilities And Stockholders Equity,20000,10000,1490,10986,4,595392,192763,181372,181953,175780,5159300,2518090,520024,85346,380068
69,Minority Interest,- -,- -,-1490,-6,-4,-2,7,- -,- -,- -,- -,1910,-4,- -,100000
70,Total Liabilities & Equity,20000,10000,- -,10980,- -,595390,192770,181372,181953,175780,5159300,2520000,520020,85346,480068
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1404935/000001315608000184/0000013156-08-000184-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404935/000125529412000779/0001255294-12-000779-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000160680814000019/0001606808-14-000019-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404935/000147793219006627/0001477932-19-006627-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000147793220006275/0001477932-20-006275-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000147793222001755/0001477932-22-001755-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,-10000,-70000,-40000,-24770,-241550,-1133130,-576046,-284299,-91998,-15598422,-6139400,-23307060,-1925179,-1885445
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152860,25434,25558,20114,277845
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,214167,340476,195357,- -,97427,466645,23822476,438434,115692
77,Change in Working Capital,- -,-11000,-79000,29830,-24770,-79050,16050,-235577,-88942,133002,87520,-348063,-231630,-1009128,-735090
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-830
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23656,106106,226858,217332,-86239
81,Other Working Capital,20000,9000,-70000,-40170,-64940,-143990,-127940,-363517,-452459,-319457,-231937,-580000,-811630,-1820758,-2555848
82,Other Non-Cash Items,147,13003,141563,-65485,38557,62100,791667,379365,165965,-58322,15103882,5805219,-639147,1887826,1838521
83,Cash Provided by Operating Activities,147,-7997,-7437,-75655,-10983,-258500,-111246,-91782,-11919,-17318,-156733,-190165,-329803,-587933,-388477
84,CAPEX,- -,- -,- -,- -,- -,-175000,- -,- -,- -,- -,-20000,-532,-1195,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-175000,- -,- -,- -,- -,- -,- -,-1195,- -,-152785
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-175000,- -,- -,- -,- -,-20000,-532,-1195,- -,-152785
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49938,-116181,-240953,-266414,- -
91,Common Stock Issued,15925,- -,- -,65000,- -,- -,- -,- -,- -,- -,- -,65000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1000,- -,- -,20000,- -,-10054,70000,82470,12500,11145,226613,244660,886533,580035,794153
95,Cash Used/Provided by Financing Activities,16925,- -,- -,85000,- -,489946,70000,82470,12500,11145,176675,193479,645580,313621,794153
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16925,-7997,-7437,9345,- -,489946,-41246,-9312,581,-6173,-58,2782,314582,-274312,252891
98,Cash at the End of Period,17072,9075,1638,10983,- -,56446,15200,5888,6469,296,187,2969,317551,43239,296130
99,Cash at the Beginning of Period,- -,17072,9075,1638,10983,- -,56446,15200,5888,6469,245,187,2969,317551,43239
100,Free Cash Flow,147,-7997,-7437,-75655,-10983,-433500,-111246,-91782,-11919,-17318,-176733,-190697,-330998,-587933,-388477
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1404935/000001315608000184/0000013156-08-000184-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404935/000125529412000779/0001255294-12-000779-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000160680814000019/0001606808-14-000019-index.htm,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404935/000147793219006627/0001477932-19-006627-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000147793220006275/0001477932-20-006275-index.htm,https://www.sec.gov/Archives/edgar/data/1404935/000147793222001755/0001477932-22-001755-index.htm
102,false,,,,,,,,,,,,,,,
