,https://roic.ai/company/SMIT,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2500000,4400000,7100000,10500000,10600000,8000000,8854256,7580154,6874659,7419521,7924766,10530429,11503360,11882076,11421257,9501208,6805748,11492859,14437022,12452252,12134506,13069091,11685353,12397643,13888063,13810161,4189924,7864350
2,COGS,1000000,1500000,2100000,3600000,4300000,3800000,3627765,5176508,2844937,3490239,3405761,4460769,5029714,5254205,5305144,5361088,3763756,5887207,8094386,6357452,6508360,6928394,6818058,7511836,7822749,8836856,2239376,4593588
3,Gross Profit,1500000,2900000,5000000,6900000,6300000,4200000,5226491,2403646,4029722,3929282,4519005,6069660,6473646,6627871,6116113,4140120,3041992,5605652,6342636,6094800,5626146,6140697,4867295,4885807,6065314,4973305,1950548,3270762
4,Gross Profit Ratio,0.6000,0.6591,0.7042,0.6571,0.5943,0.5250,0.5903,0.3171,0.5862,0.5296,0.5702,0.5764,0.5628,0.5578,0.5355,0.4357,0.4470,0.4878,0.4393,0.4895,0.4636,0.4699,0.4165,0.3941,0.4367,0.3601,0.4655,0.4159
5,Research and Development Exp.,- -,- -,- -,100000,400000,500000,380601,327474,217444,192686,30370,42395,81815,88425,628150,1019440,584582,504251,317993,573461,475430,378305,287672,256164,327317,129040,68849,83130
6,General and Administrative Exp.,- -,- -,- -,4300000,4300000,3800000,3809976,4297130,3856354,4139013,4051369,4813805,4658235,4770996,4628003,5033617,4184100,5297083,5967359,6083611,5663121,5826851,6016097,5618327,5582625,5951765,4061621,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1100000,2000000,3000000,4300000,4300000,3800000,3809976,4297130,3856354,4139013,4051369,4813805,4658235,4770996,4628003,5033617,4184100,5297083,5967359,6083611,5663121,5826851,6016097,5618327,5582625,5951765,4061621,12045174
9,Other Expenses,- -,200000,400000,300000,300000,300000,267580,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
