,https://roic.ai/company/SCYYF,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2307,1728
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2307,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,2100000,1090000,340000,493110,997680,509850,312190,331320,119500,- -,- -
6,General and Administrative Exp.,50000,- -,8917594,4594899,2540788,2283450,2478226,958626,1172082,1681971,1457350,2602550,2564949,1826397,1656152,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50000,- -,8917594,4594899,2540788,2283450,2478226,958626,1172082,1681971,1457350,2602550,2564949,1826397,1656152,- -
9,Other Expenses,50000,5480000,1432406,175101,1059212,406550,191774,51374,3828,3829,241520,970,1041,2313,80782,1589225
10,Operating Expenses,100000,5480000,10350000,4770000,3600000,4790000,3760000,1350000,1669020,2683480,2208720,2915710,2897310,1948210,1736934,1589225
11,COGS and Expenses,100000,5480000,10350000,4770000,3600000,4790000,3760000,1350000,1669020,2683480,2208720,2915710,2897310,1948210,1739241,1590953
12,Interest Income ,- -,- -,291800,62723,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-80000,- -,729809,- -,- -,218421,732712,508919,114986,226141,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,230935,528845,600415,1168537,321209,196695,21974,3834,3833,2850,971,1050,2307,2307,1728
15,EBITDA,-260000,-5270000,-9750000,-4220000,-2470000,-4460000,-5720000,-1330000,-1665190,-2679650,-2205870,-2914740,-2896260,-1945900,-1736934,-1613146
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-100000,-5651556,-10350000,-4770000,-3709326,-4641874,-3763305,-1301502,-1669023,-2683480,-2208720,-2915710,-2897310,-1948210,-1739241,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),-80000,1391556,-2360000,-12340000,-4150674,-2848126,-1206695,-538498,-180637,-260420,-23840,51630,-63800,280,351401,- -
20,Income Before Tax,-180000,-4260000,-12710000,-17110000,-7860000,-7490000,-4970000,-1840000,-1849660,-2943900,-2232560,-2864080,-2961110,-1947930,-1387840,-1567032
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-1030000,-1800000,-1590000,-240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-180000,-3240000,-10910000,-15520000,-7620000,-7490000,-4970000,-25690000,-1849660,-2770430,-2108430,-2790590,-2961110,-1947930,-1387840,-1567032
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.28,-0.20,-0.22,-0.06,-0.05,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00
26,EPS Diluted,-0.01,-0.28,-0.20,-0.22,-0.06,-0.05,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,12260000,12258573,47848760,77757882,121344723,150404210,155653130,165358337,184252595,211264568,225047200,230206639,301187498,310561693,312605335,316169361
28,Weighted Average Shares Outstanding Diluted,12260000,12258573,47848760,77757882,121344723,150404210,155653130,165358337,184252595,211264568,225047200,230206639,301187498,310561693,312605335,316169361
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408146/000106299312000517/0001062993-12-000517-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299313001460/0001062993-13-001460-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000113717115000005/0001137171-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000106299315002265/0001062993-15-002265-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000106299316008361/0001062993-16-008361-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299317001409/0001062993-17-001409-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299318001011/0001062993-18-001011-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299319001141/0001062993-19-001141-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000165495420002062/0001654954-20-002062-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000165495421002194/0001654954-21-002194-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000165495422003025/0001654954-22-003025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3190000,24670000,1420000,560000,4140000,790000,190000,790000,417390,2249680,615230,343430,284760,115570,170284,93894
32,Short-Term Investments,- -,790000,880000,190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3190000,25460000,2300000,750000,4140000,790000,190000,790000,417390,2249680,615230,343430,284760,115570,170284,93894
34,Net Receivables,10000,220000,980000,100000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1390000,200000,160000,100000,190000,110000,120000,57430,107530,51230,45990,38950,45760,42430,- -
37,Total Current Assets,3200000,27070000,3480000,1010000,4490000,980000,300000,910000,474820,2357210,666460,389420,323710,161330,212714,- -
38,PP&E,8470000,26200000,80890000,43610000,41740000,30760000,30950000,1620000,3019170,945330,706970,706000,713330,711020,708713,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,5000000,4570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,5000000,4570000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,2320000,2550000,6850000,1700000,1550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-1270000,1680000,-6340000,-1670000,-1560000,160000,160000,160000,- -,- -,- -,- -,11440,11450,11444,- -
45,Total Non-Current Assets,9520000,30430000,81400000,48640000,46300000,30920000,31110000,1780000,3019170,945330,706970,706000,724770,722470,720157,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847365
47,Total Assets,12720000,57500000,84880000,49650000,50790000,31900000,31410000,2690000,3493990,3302540,1373430,1095420,1048480,883800,932871,847365
48,Accounts Payable,- -,- -,- -,180000,- -,- -,- -,- -,21900,11010,13700,32040,- -,269170,451932,- -
49,Short-Term Debt,8550000,2335426,2355242,- -,499920,518856,6542061,1854875,2500000,- -,- -,- -,- -,- -,2500000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,510000,4004574,2414758,740000,420080,541144,657939,245125,51350,196320,27650,34150,146590,269050,-1797544,- -
53,Total Current Liabilities,9060000,6340000,4770000,920000,920000,1060000,7200000,2100000,2573250,207330,41350,66190,146590,538220,1154388,- -
54,Long-Term Debt,- -,- -,3770000,4250000,3760000,3740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,3280000,2560000,6860000,1700000,1550000,- -,- -,- -,- -,-966590,-1090720,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,3280000,2560000,10630000,5950000,5310000,3740000,- -,- -,- -,-966590,-1090720,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1727714
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12340000,8900000,15400000,6870000,6230000,4800000,7200000,2100000,2573250,-759260,-1049370,66190,146590,538220,1154388,1727714
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000000,43300000,77030000,77940000,88520000,86900000,87310000,87310000,89186470,91142340,91142340,106468870,108244310,109375660,109627071,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-2840000,-86720000,-88567750,-91338180,-93446610,-107939530,-110900640,-112848570,-114236410,- -
65,Other Comprehensive Income/Loss,- -,-250000,-750000,-1410000,-1700000,-1820000,- -,- -,- -,- -,- -,- -,- -,-2310,-853400,-853400
66,Other Total Stockholders Equity,- -,5853681,-6826521,-33556468,-42411426,-58026862,-60261932,-6654,302021,4257636,4727072,2499891,3558223,3820791,5241222,- -
67,Total Stockholders Equity,380000,48903681,69453479,42973532,44408574,27053138,24208068,583346,920741,4061796,2422802,1029231,901893,345571,-221517,-880349
68,Total Liabilities And Stockholders Equity,12720000,57803681,84853479,49843532,50638574,31853138,31408068,2683346,3493991,3302536,1373432,1095421,1048483,883791,932871,847365
69,Minority Interest,- -,-303681,26521,-193532,151426,46862,1932,6654,-1,4,-2,-1,-3,9,- -,- -
70,Total Liabilities & Equity,12720000,57500000,84880000,49650000,50790000,31900000,31410000,2690000,3493990,3302540,1373430,1095420,1048480,883800,932871,847365
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408146/000106299312000517/0001062993-12-000517-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299313001460/0001062993-13-001460-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000113717115000005/0001137171-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000106299315002265/0001062993-15-002265-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000106299316008361/0001062993-16-008361-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299317001409/0001062993-17-001409-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299318001011/0001062993-18-001011-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000106299319001141/0001062993-19-001141-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000165495420002062/0001654954-20-002062-index.html,https://www.sec.gov/Archives/edgar/data/1408146/000165495421002194/0001654954-21-002194-index.htm,https://www.sec.gov/Archives/edgar/data/1408146/000165495422003025/0001654954-22-003025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-180000,-3240000,-10910000,-15520000,-7620000,-7490000,-4970000,-25690000,-1849660,-2770430,-2108430,-2790590,-2961110,-1947930,-1387840,-1567032
74,Depreciation and Amortization,- -,230935,528845,600415,1168537,321209,196695,21974,3834,3833,2850,971,1050,2307,2307,- -
75,Deferred Income Tax,- -,-1111784,-1579101,-1735247,-242549,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,1627030,1734172,795141,286875,331800,74609,311288,673224,469434,1283830,1078664,431133,684055,- -
77,Change in Working Capital,70000,26590000,-22020000,1380000,3480000,-3650000,-6820000,5710000,-908430,4248310,-1524770,-301880,-146110,-554010,-564784,580714
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-5860000,20730000,-1290000,90000,3570000,-80000,-6900000,-1190000,-2098430,2149880,625110,323230,177120,-376890,-941674,- -
82,Other Non-Cash Items,110000,-26976890,25002377,10855960,1219954,6585738,7757775,17731887,804043,-4168532,1529631,258469,233544,938832,1184281,986318
83,Cash Provided by Operating Activities,- -,-4507739,-7350850,-2684700,-1198917,-3946178,-3503730,-2151530,-1638925,-2013595,-1631285,-1549200,-1793962,-1129668,-81981,- -
84,CAPEX,- -,- -,-23936945,-815929,-879508,-217765,-38338,-1108484,-1399520,- -,-3157,- -,-8377,- -,- -,- -
85,Acquisitions Net,- -,-5476380,2788588,196752,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-804772,-2874105,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,797979,151804,- -,- -,2251,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-9408358,2660,-46023,-447654,348684,- -,5000000,149868,2070000,- -,- -,-11444,- -,- -,- -
