,https://roic.ai/company/DSNY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,85544,345653,769326,1133098,751914,769067,884082,875544,1578888,2560447,3771382,4007230,3983789,3679029,3572376,3323537,3337813,3445014,3606471,3809092,3824565,4172473
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310032,318633,393925
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,2560447,3771382,4007230,3983789,3679029,3572376,3323537,- -,3445014,- -,3499060,3505932,3778548
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,1.0000,- -,0.9186,0.9167,0.9056
5,Research and Development Exp.,8984,29300,244074,367598,258361,383547,384061,909041,1392245,893715,1193618,1563690,1889450,1207700,1062668,1376386,1292996,1304742,1122590,1141380,1343084,1194976
6,General and Administrative Exp.,1096859,1548826,- -,- -,- -,- -,- -,- -,- -,760045,1049368,763872,587731,890415,1351991,2269503,802433,985362,838196,766039,785376,644883
7,Selling and Marketing Exp.,339259,51211,- -,- -,- -,- -,- -,- -,- -,821925,786228,823729,697724,1221160,1378335,290139,1260384,54857,888204,908951,1084364,1433232
8,"Selling, General and Administrative Exp.",1436118,1600037,- -,- -,- -,- -,- -,- -,- -,1581970,1835596,1587601,1285455,2111575,2730326,2559642,2062817,1040219,1726400,1674990,1869740,2078115
9,Other Expenses,202179,259606,1083389,- -,- -,- -,- -,- -,- -,39981,53106,58339,89206,123875,148165,184522,- -,825619,- -,96846,135385,105357
10,Operating Expenses,1647281,1888943,1327463,- -,- -,- -,- -,- -,- -,2515666,3082320,3209630,3264111,3443150,3941159,4120550,3355813,3170580,2848990,2913216,3348209,3378448
11,COGS and Expenses,1647281,1888943,1327463,1217790,1256580,1301691,1404667,2994612,3983821,2515666,3082320,3209630,3264111,3443150,3941159,4120550,3547196,3170580,2954859,3223248,3666842,3772373
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,3107,3359,11508,48052,78135,61366,42787,21132,14314,10597,27188,24415,4031
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,4692,2477,691,1185,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,197368,256573,101437,47874,42638,56878,26435,29326,44861,39981,53106,58339,89206,123875,148165,182863,191383,153385,105869,96846,135385,105357
15,EBITDA,-1383361,-1300296,-276251,-46398,-376798,-490586,-458900,-2067648,-2248317,205504,863656,870538,861394,437889,-159234,-571783,3132,442166,762139,707624,304800,487886
16,EBITDA ratio,-16.1713,-3.7619,-0.3591,-0.0409,-0.5011,-0.6379,-0.5191,-2.3616,-1.4240,0.0803,0.2290,0.2172,0.2162,0.1190,-0.0446,-0.1720,0.0009,0.1283,0.2113,0.1858,0.0797,0.1169
17,Operating Income,-1595583,-1543290,-558137,-84692,-504666,-532624,-520585,-2119068,-2404933,44781,689062,797600,719678,235879,-368783,-797013,-209383,274434,649406,581125,144979,378498
18,Operating Income ratio,-18.6522,-4.4649,-0.7255,-0.0747,-0.6712,-0.6926,-0.5888,-2.4203,-1.5232,0.0175,0.1827,0.1990,0.1807,0.0641,-0.1032,-0.2398,-0.0627,0.0797,0.1801,0.1526,0.0379,0.0907
19,Total Other Income Expenses (Gains),-33846,-28749,180155,- -,79221,- -,57308,892,111741,116050,119011,13908,51325,78135,61384,42367,21132,14347,6864,29653,24436,4031
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,160831,808073,811508,771003,314014,-307399,-754646,-188251,288781,656270,610778,169415,382529
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0628,0.2143,0.2025,0.1935,0.0854,-0.0860,-0.2271,-0.0564,0.0838,0.1820,0.1603,0.0443,0.0917
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-450000,-878000,173000,208000,88000,17000,842000,- -,- -,- -,- -,- -,- -
23,Net Income,-1580729,-1556869,-377688,-94272,-419436,-547464,-485335,-2096974,-2293178,610831,1686073,638508,563003,226014,-324399,-1596646,-188251,288781,656270,610778,169415,382529
24,Net Income ratio,-18.4785,-4.5041,-0.4909,-0.0832,-0.5578,-0.7119,-0.5490,-2.3951,-1.4524,0.2386,0.4471,0.1593,0.1413,0.0614,-0.0908,-0.4804,-0.0564,0.0838,0.1820,0.1603,0.0443,0.0917
25,EPS,-0.35,-0.30,-0.05,-0.01,-0.05,-0.05,-0.05,-0.20,-0.25,0.05,0.15,0.05,0.05,0.02,-0.05,-0.15,-0.02,0.05,0.05,0.06,0.02,0.04
26,EPS Diluted,-0.35,-0.30,-0.05,-0.01,-0.05,-0.05,-0.05,-0.20,-0.25,0.05,0.15,0.05,0.05,0.02,-0.05,-0.15,-0.02,0.05,0.05,0.06,0.02,0.04
27,Weighted Average Shares Outstanding,4302430,5013605,5617417,6429796,6940979,7236708,7798211,9152375,10027374,10303085,10327584,10110577,10247490,10401291,10497280,10598774,10947583,11002774,11002774,11002589,10602346,10415105
28,Weighted Average Shares Outstanding Diluted,4302430,5013605,5617417,6429796,6940979,7236708,7798211,9152375,10027374,10317026,10454883,10186369,10354765,10593161,10497280,10598774,10947583,11002774,11002774,11002589,10602346,10491849
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099369/000106299319004514/0001062993-19-004514-index.html,https://www.sec.gov/Archives/edgar/data/1099369/000106299320005782/0001062993-20-005782-index.htm,https://www.sec.gov/Archives/edgar/data/1099369/000106299321011409/0001062993-21-011409-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,6123,17523,30576,156337,1215183,91369,253100,491012,1238173,1275423,1521552,990007,387316,662743,1342956,1097434,2512138,1841340,2752662
32,Short-Term Investments,- -,- -,- -,8091,8661,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1151952,380056,781490,- -
33,Cash and Short-Term Investments,- -,- -,- -,14214,26184,30576,156337,1215183,91369,253100,491012,1238173,1275423,1521552,990007,387316,662743,1342956,2249386,2892194,2622830,2752662
34,Net Receivables,- -,- -,- -,169402,67484,46437,130537,265849,336734,502275,588548,448408,592617,535982,738113,512799,757020,615693,419703,346511,452915,453405
35,Inventory,- -,- -,- -,4305,3480,2246,1059,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1712,18846,2327,9022,194116,73171,524321,412282,319806,285059,159653,147206,36042,61525,55099,57252,77067,78562,103463
37,Total Current Assets,- -,- -,- -,189633,115994,81586,296955,1675148,501274,1279696,1491842,2006387,2153099,2217187,1875326,936157,1481288,2013748,2726341,3315772,3154307,3309530
38,PP&E,- -,- -,- -,54733,73572,65863,60973,111907,111300,123770,129479,144401,287958,234969,315180,401461,284968,116208,160273,260907,598238,333740
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,30929,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86824,41472,24695,- -,187622
41,Intangible Assets,- -,- -,- -,- -,- -,- -,30929,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86824,41472,24695,22952,187622
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000,869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,28009,87055,58693,- -,- -,48863,22478,9496,38349,1351945,1205500,1210700,199572,84620,27923,34336,33716,34316,35556
45,Total Non-Current Assets,- -,- -,- -,82742,160627,124556,91902,111907,160163,146248,1086975,1051750,1639903,1440469,1525880,601033,369588,230955,236081,319318,655506,556918
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,272375,276621,206142,388857,1787055,661437,1425944,2578817,3058137,3793002,3657656,3401206,1537190,1850876,2244703,2962422,3635090,3809813,3866448
48,Accounts Payable,- -,- -,- -,543281,440997,277512,180308,132245,382606,349164,220538,293552,199930,79622,172617,139879,108157,127444,141273,132451,119399,202722
49,Short-Term Debt,- -,- -,- -,10825,20564,337773,17142,- -,44152,78037,10759,4035,- -,- -,- -,5205,5240,6246,2363,- -,238261,226978
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,64013,62305,32329,10469,9984,21311,17198,25018,37954,55671,70415,22589,24712,23563,23685,23286,23388,19638,8511
52,Other Current Liabilities,- -,- -,- -,- -,- -,91573,148465,193197,245977,176624,259388,316731,256466,224612,203353,252889,219039,194523,278724,350244,353235,309839
53,Total Current Liabilities,- -,- -,- -,618119,523866,739187,356384,335426,694046,621023,515703,652272,512067,374649,398559,422685,355999,351898,445646,506083,730533,748050
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,173071,158594,133968,100000,100000,13987,3745,- -,- -,- -,- -,12071,6472,- -,- -,- -,219063,- -
58,Total Non-Current Liabilities,- -,- -,- -,100000,173071,158594,133968,100000,100000,13987,3745,- -,- -,- -,- -,12071,6472,- -,- -,- -,219063,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,100000,100000,100000,23343,14504,4035,- -,- -,- -,17276,11712,6246,2363,- -,457324,226978
61,Total Liabilities,- -,- -,- -,718119,696937,897781,490352,435426,794046,635010,519448,652272,512067,374649,398559,434756,362471,351898,445646,506083,949596,748050
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,33005,35318,36436,41938,49938,51092,51725,51145,50613,52091,51982,52994,52994,55014,55014,55014,11001,10451,10266
64,Retained Earnings,- -,- -,- -,-3669058,-4088494,-4635958,-5121293,-7218267,-9511445,-8900614,-7214541,-6576033,-6013030,-5787016,-6111415,-7708061,-7896312,-7607531,-6951261,-6340483,-6171068,-5788539
65,Other Comprehensive Income/Loss,- -,- -,- -,-55770,-55348,-114240,-111900,35727,119613,147655,173457,223317,232917,88657,-257,-364631,-336377,-266891,-353642,-391859,-345456,-261133
66,Other Total Stockholders Equity,- -,- -,- -,3246079,3688208,4022123,5089760,8484231,9208131,9492168,9049308,8707968,9008957,8929384,9061325,9122132,9666080,9712213,9766665,9850348,9366290,- -
67,Total Stockholders Equity,- -,- -,- -,-445744,-420316,-691639,-101495,1351629,-132609,790934,2059369,2405865,3280935,3283007,3002647,1102434,1488405,1892805,2516776,3129007,2860217,3118398
68,Total Liabilities And Stockholders Equity,- -,- -,- -,272375,276621,206142,388857,1787055,661437,1425944,2578817,3058137,3793002,3657656,3401206,1537190,1850876,2244703,2962422,3635090,3809813,3866448
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,272375,276621,206142,388857,1787055,661437,1425944,2578817,3058137,3793002,3657656,3401206,1537190,1850876,2244703,2962422,3635090,3809813,3866448
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099369/000106299319004514/0001062993-19-004514-index.html,https://www.sec.gov/Archives/edgar/data/1099369/000106299320005782/0001062993-20-005782-index.htm,https://www.sec.gov/Archives/edgar/data/1099369/000106299321011409/0001062993-21-011409-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1580729,-1556869,-377688,-94272,-419436,-547464,-485335,-2096974,-2293178,610831,1686073,638508,563003,226014,-324399,-1596646,-188251,288781,656270,610778,169415,382529
74,Depreciation and Amortization,197368,256573,101437,47874,42638,56878,26435,29326,44861,39981,53106,58339,89206,123875,148165,182863,191383,153385,105869,96846,135385,105357
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-450000,-878000,173000,208000,88000,17000,842000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,84670,47970,8983,42797,20080,32948,60807,49608,46133,54452,41675,48615,51734
77,Change in Working Capital,46254,490883,90536,-226396,-40844,-91909,-139902,-345333,339990,-198169,-81213,255360,-43297,10370,-169077,345923,-172023,230716,268734,96464,-90538,9625
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172814,-22340,196666,-58405,-5880,-139888,54412,-223238,120514,108367,63202,-108795,46200
79,Inventory,- -,- -,- -,-4024,1049,1553,1302,1047,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4795,-146431,55772,-88142,-113442,96580,18497,-31251,8962,14165,49570,-81904,90792
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-902,- -,- -,- -,- -,17886,18801,55120,6676,-1328,-899,45898,524,-4046,-11753
82,Other Non-Cash Items,109882,389516,-32557,160524,210092,-4637,60589,770211,201158,-13056,13908,4880,-837097,49228,-41460,95491,-43536,-23412,8923,-5229,9336,-20323
83,Cash Provided by Operating Activities,-1227225,-419897,-218272,-112270,-207550,-587132,-538213,-1642770,-1707169,74257,841844,1139070,22612,517567,-336823,-69562,-162819,695603,1094248,840534,272213,528922
84,CAPEX,-79468,-10276,-20478,-938,-10904,-7591,-14859,-77849,-44619,-27649,-54250,-63289,-231581,-86366,-236871,-338091,-73097,-63340,-116540,-162979,-64065,-214132
85,Acquisitions Net,250719,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-7070,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1177518,- -,-369794,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754600,- -,- -
88,Other Investing Activites,-1392,-23218,-10431,-10489,-83639,- -,- -,- -,1053,-12348,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,635653
89,Cash Used for Investing Activites,162789,-33494,-30909,-11427,-94543,-7591,-14859,-77849,-43566,-39997,-54250,-63289,-231581,-86366,-236871,-338091,-73097,-63340,-1294058,591621,-433859,590885
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-183562,-80987,-11450,-3910,- -,- -,-2240,-6417,- -,- -,- -,- -,- -
91,Common Stock Issued,1079999,394250,54000,116000,310625,293177,712550,2647940,523896,- -,- -,- -,- -,- -,111970,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-450855,-19080,-99762,- -,- -,- -,- -,- -,-2005,-533223,-260405
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,101385,- -,191241,1312,9014,306353,-62303,-16944,44152,301456,-491410,100000,278750,- -,-11965,- -,496360,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,1181384,394250,245241,117312,319639,599530,650247,2630996,568048,117894,-572397,-362305,255760,-99762,100005,-2240,489943,- -,- -,-2005,-533223,-260405
96,Effect of Forex Changes on Cash,- -,-8344,-5506,-8489,-6146,8246,28586,148469,58873,9577,22715,33685,-9541,-85310,-57856,-192798,21400,47950,-45712,-15446,24071,51920
97,Net Change In Cash,116948,-67485,-9446,-14874,11400,13053,125761,1058846,-1123814,161731,237912,747161,37250,246129,-531545,-602691,275427,680213,-245522,1414704,-670798,911322
98,Cash at the End of Period,97928,30443,20997,6123,17523,30576,156337,1215183,91369,253100,491012,1238173,1275423,1521552,990007,387316,662743,1342956,1097434,2512138,1841340,2752662
99,Cash at the Beginning of Period,-19020,97928,30443,20997,6123,17523,30576,156337,1215183,91369,253100,491012,1238173,1275423,1521552,990007,387316,662743,1342956,1097434,2512138,1841340
100,Free Cash Flow,-1306693,-430173,-238750,-113208,-218454,-594723,-553072,-1720619,-1751788,46608,787594,1075781,-208969,431201,-573694,-407653,-235916,632263,977708,677555,208148,314790
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099369/000106299319004514/0001062993-19-004514-index.html,https://www.sec.gov/Archives/edgar/data/1099369/000106299320005782/0001062993-20-005782-index.htm,https://www.sec.gov/Archives/edgar/data/1099369/000106299321011409/0001062993-21-011409-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
