,https://roic.ai/company/TDS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,119100000,155000000,174600000,196300000,239700000,294600000,354000000,456100000,590700000,730800000,954400000,1214600000,1471500000,1805700000,1963100000,2326856000,2588542000,2985366000,3445216000,3720389000,3960069000,4364518000,4828984000,5092019000,5020674000,4986829000,5180471000,5345277000,4901236000,5009438000,5176241000,5104000000,5044000000,5109000000,5176000000,5225000000,5329000000
2,COGS,34000000,50500000,52700000,122200000,158300000,184600000,236700000,303100000,393500000,460200000,621300000,828900000,1173600000,1417100000,1252300000,1507647000,2152387000,2599011000,1182885000,1304171000,1420315000,1541541000,1696459000,1853686000,1864426000,1911554000,2041142000,2272570000,2225316000,2511469000,2414941000,2429000000,2359000000,2336000000,2337000000,2354000000,2472000000
3,Gross Profit,85100000,104500000,121900000,74100000,81400000,110000000,117300000,153000000,197200000,270600000,333100000,385700000,297900000,388600000,710800000,819209000,436155000,386355000,2262331000,2416218000,2539754000,2822977000,3132525000,3238333000,3156248000,3075275000,3139329000,3072707000,2675920000,2497969000,2761300000,2675000000,2685000000,2773000000,2839000000,2871000000,2857000000
4,Gross Profit Ratio,0.7145,0.6742,0.6982,0.3775,0.3396,0.3734,0.3314,0.3355,0.3338,0.3703,0.3490,0.3176,0.2024,0.2152,0.3621,0.3521,0.1685,0.1294,0.6567,0.6495,0.6413,0.6468,0.6487,0.6360,0.6287,0.6167,0.6060,0.5748,0.5460,0.4987,0.5335,0.5241,0.5323,0.5428,0.5485,0.5495,0.5361
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",39100000,36200000,45700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1298294000,1420967000,1508964000,1672722000,1797551000,1921430000,1966707000,2011772000,2011861000,2033901000,1947778000,1865807000,1780463000,1759000000,1686000000,1694000000,1717000000,1681000000,1677000000
9,Other Expenses,20800000,41300000,45500000,44100000,53300000,62900000,76800000,99000000,127500000,161800000,201100000,231600000,301600000,409500000,353300000,399143000,1263000,- -,648493000,774500000,632783000,737478000,807076000,750077000,749970000,761748000,765776000,813626000,1018077000,836532000,844361000,850000000,844000000,883000000,932000000,909000000,895000000
10,Operating Expenses,59900000,77500000,91200000,44100000,53300000,62900000,76800000,99000000,127500000,161800000,201100000,231600000,301600000,409500000,353300000,399143000,1263000,- -,1946787000,2195467000,2141747000,2410200000,2604627000,2671507000,2716677000,2773520000,2777637000,2847527000,2965855000,2702339000,2624824000,2609000000,2530000000,2577000000,2649000000,2590000000,2572000000
11,COGS and Expenses,93900000,128000000,143900000,166300000,211600000,247500000,313500000,402100000,521000000,622000000,822400000,1060500000,1475200000,1826600000,1605600000,1906790000,2153650000,2599011000,3129672000,3499638000,3562062000,3951741000,4301086000,4525193000,4581103000,4685074000,4818779000,5120097000,5191171000,5213808000,5039765000,5038000000,4889000000,4913000000,4986000000,4944000000,5044000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39131000,11121000,10508000,9145000,9248000,9092000,16957000,38783000,62000000,15000000,26000000,29000000,15000000,11000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137899000,124557000,115220000,118201000,86745000,98811000,111397000,141719000,170000000,170000000,172000000,165000000,168000000,232000000
14,Depreciation and Amortization,20800000,34000000,38600000,44100000,53300000,62900000,76800000,99000000,127500000,161800000,201100000,231600000,301600000,409500000,353300000,399143000,450019000,510445000,595732000,667956000,677443000,737478000,752219000,750077000,749970000,761748000,765776000,813626000,1018077000,836532000,844361000,850000000,844000000,883000000,932000000,909000000,895000000
15,EBITDA,32900000,52400000,59300000,62700000,72300000,106500000,112800000,159600000,187900000,262300000,386100000,483300000,320700000,543200000,811500000,2785626000,207056000,-1050926000,737114000,795611000,1040559000,1015696000,1407385000,1011610000,1201805000,1113107000,1198046000,1055814000,1384858000,806642000,1377109000,1103000000,888000000,1236000000,1282000000,1322000000,1316000000
16,EBITDA ratio,0.2762,0.3381,0.3396,0.3194,0.3016,0.3615,0.3186,0.3499,0.3181,0.3589,0.4045,0.3979,0.2179,0.3008,0.4134,1.1972,0.0800,-0.3520,0.2140,0.2139,0.2628,0.2327,0.2914,0.1987,0.2394,0.2232,0.2313,0.1975,0.2826,0.1610,0.2660,0.2161,0.1761,0.2419,0.2477,0.2530,0.2470
17,Operating Income,25200000,27000000,30700000,30000000,28100000,47100000,40500000,54000000,69700000,108800000,132000000,154100000,-3700000,-20900000,357500000,420066000,434892000,386355000,315544000,220751000,398007000,412777000,527898000,128154000,407806000,289992000,362502000,183863000,235359000,-189864000,397071000,60000000,-105000000,205000000,179000000,259000000,261000000
