,https://roic.ai/company/QTNT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,10034000,12219000,14371000,19755000,18408000,18522000,22227000,24732000,29134000,32656000,43379000
2,COGS,5628000,6749000,7169000,8406000,9763000,9658000,10844000,10471000,17230000,17800000,20074000
3,Gross Profit,4406000,5470000,7202000,11349000,8645000,8864000,11383000,14261000,11904000,14856000,23305000
4,Gross Profit Ratio,0.4391,0.4477,0.5011,0.5745,0.4696,0.4786,0.5121,0.5766,0.4086,0.4549,0.5372
5,Research and Development Exp.,1703000,1749000,2617000,8066000,19216000,28781000,57064000,51202000,50677000,53744000,54168000
6,General and Administrative Exp.,5346000,6011000,6824000,9470000,16393000,26098000,22718000,25700000,31545000,31950000,41796000
7,Selling and Marketing Exp.,1456000,1674000,2252000,2705000,2750000,3073000,5660000,7347000,8637000,9853000,9849000
8,"Selling, General and Administrative Exp.",6802000,7685000,9076000,12175000,19143000,29171000,28378000,33047000,40182000,41803000,51645000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8505000,9434000,11693000,20241000,38359000,57952000,85442000,84249000,90859000,95547000,105813000
11,COGS and Expenses,14133000,16183000,18862000,28647000,48122000,67610000,96286000,94720000,108089000,113347000,125887000
12,Interest Income ,- -,87000,57000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),312000,427000,291000,1076000,2315000,4151000,9903000,15365000,20018000,23859000,25918000
14,Depreciation and Amortization,980000,989000,691000,622000,1676000,2945000,9461000,10405000,12767000,12276000,8620000
15,EBITDA,-3329000,-3057000,-3732000,-8467000,-55068000,-26782000,-65705000,-57217000,-72557000,-65977000,-72006000
16,EBITDA ratio,-0.3318,-0.2502,-0.2597,-0.4286,-2.9915,-1.4460,-2.9561,-2.3135,-2.4905,-2.0204,-1.6599
