,https://roic.ai/company/ATMS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,346,- -,- -,2693,608000,955000,1626000,2002000,2890000,2158000,3335000,2812000,3748000,1061000,1288000,244000,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,402,134000,413000,784000,863000,1108000,504000,373000,454000,893000,517000,564000,40000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,346,- -,- -,2291,474000,542000,842000,1139000,1782000,1654000,2962000,2358000,2855000,544000,724000,204000,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,- -,0.8507,0.7796,0.5675,0.5178,0.5689,0.6166,0.7665,0.8882,0.8385,0.7617,0.5127,0.5621,0.8361,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,809,1184000,775000,875000,1186000,1308000,1747000,868000,160000,444000,408000,303000,48000,- -,89000,309000,246000,- -,- -,- -
6,General and Administrative Exp.,- -,15782,- -,- -,2129,2290000,1829000,2128000,3255000,2972000,908000,656000,1221000,1520000,666000,567000,463000,164000,166000,730000,526000,168000,167000,154000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,912000,430000,890000,1160000,432000,205000,43000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15701,15782,24996,30085,2129,2290000,1829000,2128000,3255000,2972000,1820000,1086000,2111000,2680000,1098000,772000,506000,164000,166000,730000,526000,168000,167000,154000
9,Other Expenses,5859,5730,1433,- -,- -,- -,- -,46000,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
