,https://roic.ai/company/LOWLF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,9819,22644,10356,87,- -,- -,- -,- -,- -,- -,- -,- -,- -,37045000,42618000,53723000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46279000,23530000,51246000
3,Gross Profit,- -,11445,- -,10356,87,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9234000,19088000,2477000
4,Gross Profit Ratio,- -,1.1656,- -,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2493,0.4479,0.0461
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,79158,31572,- -,708159,647486,277459,168218,159486,136205,231514,23473000,11762000,13907000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8029000,5169000,8559000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,79158,31572,- -,708159,647486,277459,168218,159486,136205,231514,31502000,16931000,22466000
9,Other Expenses,9898,180825,155366,229938,- -,- -,821258,- -,5139,7712,51158,39452,33782,23990,3322000,3671000,1313000
10,Operating Expenses,9898,180825,155366,229938,79158,31572,821258,708159,652625,285171,219376,198938,169987,255504,34824000,20602000,23779000
11,COGS and Expenses,9898,180825,155366,229938,79158,31572,821258,708159,652625,285171,219376,198938,169987,255504,81103000,44132000,75025000
12,Interest Income ,- -,- -,- -,10356,87,- -,8119,12158,3895,101,32,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,724,836,3272,4483,2152000,3331000,-4492000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,5139,7712,51158,39452,33782,23990,3914000,3912000,4236000
15,EBITDA,-9898,-171006,-132722,-219583,-79071,-31572,-821258,-693559,-590779,-40729,-159894,-150615,-126911,-231514,-44481000,-149000,-24719000
16,EBITDA ratio,-Infinity,-17.4159,-5.8614,-21.2038,-909.8352,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2007,-0.0035,-0.4601
17,Operating Income,-9898,-171006,-132722,-219583,-79071,-31572,-821258,-710602,-716587,-539027,-269453,-198938,-169987,-255504,-46399000,-1514000,-21302000
18,Operating Income ratio,-Infinity,-17.4159,-5.8614,-21.2038,-909.8352,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2525,-0.0355,-0.3965
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,11149,17227,7600,8034,6022,-125422,-4148000,-5878000,-3161000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-710602,-705438,-521800,-261853,-190904,-163965,-380926,-50547000,-7392000,-24463000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3645,-0.1734,-0.4554
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000,224000,213000
23,Net Income,-9898,-171006,-132722,-219583,-79071,-31572,-770880,-710602,-705438,-521800,-261853,-190904,-163965,-380926,-50752000,-7616000,-24676000
24,Net Income ratio,-Infinity,-17.4159,-5.8614,-21.2038,-909.8352,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3700,-0.1787,-0.4593
25,EPS,-0.00,-0.03,-0.02,-0.08,-0.04,-0.02,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00,-0.01,-1.62,-0.22,-0.35
26,EPS Diluted,-0.00,-0.03,-0.02,-0.08,-0.04,-0.02,-0.03,-0.02,-0.02,-0.01,-0.01,-0.01,-0.00,-0.01,-1.62,-0.22,-0.12
27,Weighted Average Shares Outstanding,5000000,6423531,6827000,2852508,1925000,1925000,25740582,40069467,49448766,48979100,48979100,48979100,48979100,53810040,31379000,33940000,33940000
28,Weighted Average Shares Outstanding Diluted,5000000,6423531,6827000,2852508,1925000,1925000,25740582,40069467,49448766,48979100,48979100,48979100,48979100,53810040,31379000,33940000,33940000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1838128/000165495422004328/0001654954-22-004328-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,411090,640957,705392,290750,264067,190684,646264,1378944,516817,61177,51148,45368,50313,4334,1344000,25751000,7887000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,411090,640957,705392,290750,264067,190684,646264,1378944,516817,61177,51148,45368,50313,4334,1344000,25751000,7887000
34,Net Receivables,- -,- -,- -,- -,- -,- -,75936,16072,27805,15004,8036,9077,12161,8993,6890000,4529000,8222000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11092000,24901000,13343000
36,Other Current Assets,- -,340,3068,13767,22207,84050,0,- -,- -,-0,- -,-0,-0,-0,2729000,6392000,1976000
37,Total Current Assets,411090,641297,708460,304518,286274,274734,722201,1395016,544622,76181,59183,54445,62474,13327,22055000,61573000,31428000
38,PP&E,- -,- -,- -,- -,- -,- -,224929,901841,958548,747641,639678,600731,567287,- -,42972000,49243000,64779000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,357000,357000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1153000,736000,40756000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1510000,1093000,40756000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,397000,202000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,36163,- -,- -,- -,- -,- -,488530,- -,- -,- -,- -,- -,- -,- -,2274000,274000,416000
45,Total Non-Current Assets,36163,- -,- -,- -,- -,- -,713458,901841,958548,747641,639678,600731,567287,- -,47153000,50812000,105951000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,447253,641297,708460,304518,286274,274734,1435659,2296857,1503170,823823,698861,655175,629761,13327,69208000,112384000,137379000
48,Accounts Payable,- -,6616,94152,- -,- -,- -,87416,113853,62873,109602,85902,139201,212324,72233,7127000,2137000,3102000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29408,2460000,3514000,221000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5780000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,26636,- -,- -,8119,14817,22108,- -,65017,207357,41391,76614,66947,32422,69749,2464000,10072000,6800000
53,Total Current Liabilities,26636,6616,94152,8119,14817,22108,87416,178870,270230,150992,162516,206148,244746,171390,12051000,15723000,10123000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140406,251360,354132,- -,32797000,50537000,14012000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42937000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140406,251360,354132,- -,32797000,50537000,56949000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,708264,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33805000,38834000,- -
61,Total Liabilities,26636,6616,94152,8119,14817,22108,87416,178870,270230,150992,302922,457508,598878,171390,44848000,66260000,67072000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2788651,96160000,125540000,- -
64,Retained Earnings,-9898,-180868,-345607,-500811,-661142,-723743,-1228658,-1971581,-2547514,-2858445,-2653060,-2930004,-3295750,-3423741,-71800000,-79416000,-119061000
65,Other Comprehensive Income/Loss,- -,21600,25424,- -,- -,- -,- -,613614,589644,604584,600701,599974,624860,477027,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,- -,- -,189368000
67,Total Stockholders Equity,420617,634681,614308,296399,271457,252626,1348243,2117987,1232940,672830,395939,197668,30883,-158063,24360000,46124000,70307000
68,Total Liabilities And Stockholders Equity,447253,641297,708460,304518,286274,274734,1435659,2296857,1503170,823823,698861,655175,629761,13327,69208000,112384000,137379000
69,Minority Interest,-0,-0,-0,- -,- -,-0,- -,-0,-0,-0,0,- -,-0,0,- -,- -,- -
70,Total Liabilities & Equity,447253,641297,708460,304518,286274,274734,1435659,2296857,1503170,823823,698861,655175,629761,13327,69208000,112384000,137379000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1838128/000165495422004328/0001654954-22-004328-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-9898,-171006,-132722,-219583,-79071,-31572,-770880,-710602,-705438,-521800,-261853,-190904,-163965,-380926,-50752000,-7616000,-24676000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,5139,7712,51158,39452,33782,23990,3914000,3912000,4236000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,6037,- -,- -,- -,- -,- -,- -,- -,- -,- -,3385000,2200000,1355000
77,Change in Working Capital,-9527,250227,-20373,-317909,-24941,-18832,382159,581362,-941755,-349203,-28522,-48370,-30569,24209,10162063,-11736000,-24545000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,28903,5658,-1308,-951,2234,-6230000,966000,-4222000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3538000,-4237000,-108000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6329000
81,Other Working Capital,384454,634681,614308,296399,271457,252626,634785,1216146,274392,-74811,-103333,-151703,-182272,-158063,10004000,- -,21305000
82,Other Non-Cash Items,- -,-121325,104070,238143,24116,-35373,-398220,-430346,1076385,513821,109972,86821,61013,-45876,-6032063,5489000,17582000
83,Cash Provided by Operating Activities,-19425,-42104,-49026,-299348,-73859,-85776,-786940,-559586,-565669,-349469,-129244,-113001,-99739,-378603,-39323000,-7751000,-26048000
84,CAPEX,- -,- -,- -,- -,- -,- -,-269629,-186599,-122478,-70151,-10251,- -,- -,- -,-9991000,-6850000,-3593000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,-6156000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1525000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,21447,5709,7371,- -,- -,232982,1455000,743000,1978000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-269629,-186599,-101031,-64442,-2880,- -,- -,232982,-10061000,-5607000,-7771000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1261000,-7218000,-2338000
91,Common Stock Issued,430515,273453,- -,16105,- -,- -,- -,1507795,- -,- -,- -,- -,- -,- -,43395000,26930000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-94706,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,52508,-40523,- -,- -,129765,105863,101773,102719,-1716000,18053000,18293000
95,Cash Used/Provided by Financing Activities,430515,273453,- -,16105,- -,- -,52508,1467273,-94706,- -,129765,105863,101773,102719,40418000,37765000,15955000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,90883,-5409,-10145,1051,2329,-301,-212,783,- -,- -,- -
97,Net Change In Cash,430515,231349,-49026,-283243,-73859,-85776,-913177,715679,-771551,-412860,-30,-7438,1821,-42118,-8966000,24407000,-17864000
98,Cash at the End of Period,411090,640957,705392,290750,264067,190684,646264,1378944,516817,61177,51148,45368,50313,4334,1344000,25751000,7887000
99,Cash at the Beginning of Period,- -,409609,754418,573993,337927,276461,1559442,663265,1288367,474037,51177,52806,48492,46452,10310000,1344000,25751000
100,Free Cash Flow,-19425,-42104,-49026,-299348,-73859,-85776,-1056569,-746185,-688147,-419620,-139495,-113001,-99739,-378603,-49314000,-14601000,-29641000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1838128/000165495422004328/0001654954-22-004328-index.htm
102,false,,,,,,,,,,,,,,,,,
