,https://roic.ai/company/GBOX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,1043883,217542,78815,564128,492899,1720929,2790057,2119332,1715522,2134268,- -,10002857,8525015,26304502
2,COGS,5765,- -,- -,- -,261852,653800,1847265,1157757,817297,1070800,- -,11091140,4825587,22631296
3,Gross Profit,1038118,217542,78815,564128,231047,1067129,942792,961575,898225,1063468,- -,-1088283,3699428,3673206
4,Gross Profit Ratio,0.9945,1.0000,1.0000,1.0000,0.4688,0.6201,0.3379,0.4537,0.5236,0.4983,- -,-0.1088,0.4339,0.1396
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1255296,1363757,3870050
6,General and Administrative Exp.,839884,397994,503874,292633,75946,452327,499951,608102,784778,867722,- -,3205770,7323387,12246898
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45928,93868,134166
8,"Selling, General and Administrative Exp.",839884,397994,503874,292633,75946,452327,499951,608102,784778,867722,- -,3251698,7417255,12381064
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16216,22742,21425655
10,Operating Expenses,839884,397994,503874,292633,75946,452327,499951,608102,784778,867722,- -,4523210,8803754,37676769
11,COGS and Expenses,845649,397994,503874,292633,337798,1106127,2347216,1765859,1602075,1938522,- -,15614350,13629341,60308065
12,Interest Income ,- -,3912,- -,- -,- -,- -,- -,- -,- -,- -,6275,-604504,-359493,- -
13,Interest Expense (Gain),140522,101268,123741,104419,100320,70472,29193,21243,22128,33578,59573,195201,1149677,1931713
14,Depreciation and Amortization,- -,13960,12886,12886,- -,2861,6088,8038,10474,11086,- -,14019,15876,912677
15,EBITDA,198234,-162284,-412173,284381,155101,617663,230402,361511,127483,212109,6275,-4475354,-3841827,-23604216
16,EBITDA ratio,0.1899,-0.7460,-5.2296,0.5041,0.3147,0.3589,0.0826,0.1706,0.0743,0.0994,Infinity,-0.4474,-0.4507,-0.8973
17,Operating Income,198234,-180452,-425059,271495,155101,614802,442841,353473,113447,195746,- -,-5611493,-5104326,-20784521
18,Operating Income ratio,0.1899,-0.8295,-5.3931,0.4813,0.3147,0.3573,0.1587,0.1668,0.0661,0.0917,- -,-0.5610,-0.5987,-0.7902
19,Total Other Income Expenses (Gains),-140522,-97060,-123741,-104419,-100320,-70472,-247720,-21243,-18566,-28301,- -,926919,96946,-5664085
20,Income Before Tax,57712,-277512,-548800,167076,54781,544330,195121,332230,94881,167445,-53298,-4684574,-5007380,-26448606
21,Income Before Tax Ratio,0.0553,-1.2757,-6.9631,0.2962,0.1111,0.3163,0.0699,0.1568,0.0553,0.0785,-Infinity,-0.4683,-0.5874,-1.0055
22,Income Tax expense (Gain),- -,2498,800,- -,- -,- -,158763,71750,37023,77974,- -,- -,- -,4906
23,Net Income,57712,-280010,-549600,167076,54781,544330,36358,260480,57858,89471,-34186,-4684574,-5007380,-26453512
24,Net Income ratio,0.0553,-1.2872,-6.9733,0.2962,0.1111,0.3163,0.0130,0.1229,0.0337,0.0419,-Infinity,-0.4683,-0.5874,-1.0057
25,EPS,0.06,-0.19,-0.36,0.12,0.06,0.30,0.02,0.12,0.02,0.06,-0.00,-0.18,-0.17,-0.89
26,EPS Diluted,0.06,-0.19,-0.36,0.12,0.06,0.12,0.02,0.12,0.02,0.06,-0.00,-0.18,-0.17,-0.89
27,Weighted Average Shares Outstanding,1450781,1450781,1450781,1450781,1450781,1859392,2407565,2407565,2407565,2407565,19990493,27969757,29868955,29868955
28,Weighted Average Shares Outstanding Diluted,1450781,1450781,1450781,1450781,1450781,4641581,2407565,2407565,2407565,2407565,19990493,27969757,29868955,29868955
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419275/000118518520000682/0001185185-20-000682-index.htm,https://www.sec.gov/Archives/edgar/data/1419275/000118518521000423/0001185185-21-000423-index.htm,https://www.sec.gov/Archives/edgar/data/1419275/000118518522000378/0001185185-22-000378-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12312,5785,10026,5280,8752,205967,41420,46672,32761,90282,- -,- -,0,89559695
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12312,5785,10026,5280,8752,205967,41420,46672,32761,90282,- -,- -,0,89559695
34,Net Receivables,- -,- -,509,509,50787,9527,19859,117303,29608,20881,749775,5920127,4721898,481668
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286360
36,Other Current Assets,126704,10572,6294,175800,800,800,800,- -,- -,- -,- -,6158833,7284146,25362457
37,Total Current Assets,139016,16357,16829,181589,60339,216294,62079,163975,62369,111163,749775,12078960,12006044,115690180
38,PP&E,64431,50471,37585,- -,- -,21665,30422,49925,60675,78763,- -,296130,175059,3165043
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6048034
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7578935
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13626969
42,Investments,- -,203912,195854,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81636,190636
45,Total Non-Current Assets,64431,256583,233439,- -,- -,21665,30422,49925,60675,78763,- -,296130,256695,16982648
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,203447,272940,250268,181589,60339,237959,92501,213900,123044,189926,749775,12375090,12262739,132672828
48,Accounts Payable,- -,- -,12623,101718,- -,262192,417819,471811,69957,342924,- -,14526397,10410050,871037
49,Short-Term Debt,13151,13823,14468,- -,- -,4905,4905,4905,4905,216143,644150,1662688,1249415,-58328276
50,Tax Payable,- -,- -,- -,- -,- -,- -,116158,54455,36334,84684,- -,- -,- -,- -
51,Deferred Revenue,6215,500000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,78466,146065,110102,- -,203563,245740,180312,74455,36334,126684,15192,1433234,68138,84283671
53,Total Current Liabilities,97832,659888,637193,101718,203563,512837,603036,551171,111196,685751,659342,17622319,11727603,26826432
54,Long-Term Debt,1190291,991560,1554473,- -,1599418,676505,389804,327085,610952,28560,- -,- -,149900,60340973
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,50213,36391,23101,1877294,- -,17169,31855,7358,14752,- -,259717,120110,- -,- -
58,Total Non-Current Liabilities,1240504,1027951,1577574,1877294,1599418,693674,421659,334443,625704,28560,259717,120110,149900,60340973
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,63364,50214,37569,- -,- -,22074,16760,12263,19657,32563,- -,234045,120110,- -
61,Total Liabilities,1338336,1687839,2214767,1979012,1802981,1206511,1024695,885614,736900,714311,919059,17742429,11877503,87167405
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8705,8705,8705,8705,8705,14445,14445,14445,14445,14445,166390,169863,30711,42831
64,Retained Earnings,-17302,-297312,-846912,-679836,-1751347,-80725,-44367,216113,273971,363442,329256,-6717169,-11724549,-38178061
65,Other Comprehensive Income/Loss,- -,-13960,-26846,- -,- -,-2861,-8949,-16987,-27461,-19743,- -,-27114,- -,- -
66,Other Total Stockholders Equity,-1126292,-1112332,-1099446,-1126292,- -,-899411,-893323,-885285,-874811,-882529,-664930,1207081,12079074,83640653
67,Total Stockholders Equity,-1134889,-1414899,-1964499,-1797423,-1742642,-968552,-932194,-671714,-613856,-524385,-169284,-5367339,385236,45505423
68,Total Liabilities And Stockholders Equity,203447,272940,250268,181589,60339,237959,92501,213900,123044,189926,749775,12375090,12262739,132672828
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,203447,272940,250268,181589,60339,237959,92501,213900,123044,189926,749775,12375090,12262739,132672828
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419275/000118518520000682/0001185185-20-000682-index.htm,https://www.sec.gov/Archives/edgar/data/1419275/000118518521000423/0001185185-21-000423-index.htm,https://www.sec.gov/Archives/edgar/data/1419275/000118518522000378/0001185185-22-000378-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,57712,-280010,-549600,167076,54781,544330,36358,260480,57858,89471,-34186,-4684574,-5007380,-26453512
74,Depreciation and Amortization,- -,13960,12886,12886,- -,2861,6088,8038,10474,11086,- -,14019,15876,912677
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86500,3036009,3704008
77,Change in Working Capital,-236488,-684715,23167,700235,-223095,-153319,-244414,153761,338369,-525761,665021,-5633792,5821800,88585307
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7816404,1183152,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161859
80,Accounts Payable,- -,- -,- -,- -,101845,58628,55627,53992,-107986,272967,- -,377476,-295181,443263
81,Other Working Capital,41184,-643531,-620364,79871,-143224,-296543,-540957,-387196,-48827,-574588,90433,-5543359,278441,88863748
82,Other Non-Cash Items,- -,1266386,118547,-1084792,499940,241707,536199,-160672,-464476,892528,-538371,10052291,-8026983,-93914365
83,Cash Provided by Operating Activities,-178776,315621,-395000,-204595,331626,635579,334231,261607,-57775,467324,92464,-165556,-4160678,-27165885
84,CAPEX,- -,- -,- -,- -,- -,- -,-14844,-27542,-3655,-7239,- -,-49795,-6649,-158858
85,Acquisitions Net,277072,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,42773,-10332,-97444,87695,- -,-813492,- -,- -,-2500000
89,Cash Used for Investing Activites,277072,-200000,- -,- -,- -,42773,-25176,-124986,84040,-7239,-813492,-49795,-6649,-2658858
90,Debt Repayment,-1197369,-1007222,-229337,-15707,-799524,-1034936,-825030,-327690,-235176,-778862,-3000,-930804,-3291038,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2860000,7537385
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4934531
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1084550,885074,628578,215556,471370,553799,351428,196321,195000,376298,724028,1615475,5667990,113457781
95,Cash Used/Provided by Financing Activities,-112819,-122148,399241,199849,-328154,-481137,-473602,-131369,-40176,-402564,721028,684671,5236952,116060635
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-14523,-6527,4241,-4746,3472,197215,-164547,5252,-13911,57521,- -,478132,1069625,87726960
98,Cash at the End of Period,12312,5785,10026,5280,8752,205967,41420,46672,32761,90282,- -,763110,1832735,89559695
99,Cash at the Beginning of Period,26835,12312,5785,10026,5280,8752,205967,41420,46672,32761,- -,284978,763110,1832735
100,Free Cash Flow,-178776,315621,-395000,-204595,331626,635579,319387,234065,-61430,460085,92464,-215351,-4167327,-27324743
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419275/000118518520000682/0001185185-20-000682-index.htm,https://www.sec.gov/Archives/edgar/data/1419275/000118518521000423/0001185185-21-000423-index.htm,https://www.sec.gov/Archives/edgar/data/1419275/000118518522000378/0001185185-22-000378-index.htm
102,false,,,,,,,,,,,,,,
