,https://roic.ai/company/GMTX,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,- -
2,COGS,- -,- -
3,Gross Profit,- -,- -
4,Gross Profit Ratio,- -,- -
5,Research and Development Exp.,- -,48717000
6,General and Administrative Exp.,716705,20285000
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",716705,20285000
9,Other Expenses,-1533733,- -
10,Operating Expenses,-817028,69002000
11,COGS and Expenses,-817028,69002000
12,Interest Income ,- -,15000
13,Interest Expense (Gain),- -,2158000
14,Depreciation and Amortization,322000,231000
15,EBITDA,- -,-69467000
16,EBITDA ratio,- -,-Infinity
17,Operating Income,-34040000,-69002000
18,Operating Income ratio,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),33227505,-2867000
20,Income Before Tax,-812495,-71869000
21,Income Before Tax Ratio,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -
23,Net Income,-812495,-71869000
24,Net Income ratio,-Infinity,-Infinity
25,EPS,-2.70,-1.67
26,EPS Diluted,-2.70,-1.67
27,Weighted Average Shares Outstanding,15115129,43112701
28,Weighted Average Shares Outstanding Diluted,15115129,43112701
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1816736/000121390021018272/0001213900-21-018272-index.htm,https://www.sec.gov/Archives/edgar/data/1816736/000095017022003288/0000950170-22-003288-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1212084,136627000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,1212084,136627000
34,Net Receivables,- -,- -
35,Inventory,- -,- -
36,Other Current Assets,125948,3473000
37,Total Current Assets,1338032,140100000
38,PP&E,- -,- -
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,120754533,337000
45,Total Non-Current Assets,120754533,337000
46,Other Assets,- -,- -
47,Total Assets,122092565,140437000
48,Accounts Payable,4653,2950000
49,Short-Term Debt,- -,5000000
50,Tax Payable,100324,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,592912,6884000
53,Total Current Liabilities,597565,14834000
54,Long-Term Debt,- -,404000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,4226250,358000
58,Total Non-Current Liabilities,4226250,762000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,4823815,15596000
62,Preferred Stock,- -,- -
63,Common Stock,112269171,4000
64,Retained Earnings,-812495,-184690000
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,5812074,309527000
67,Total Stockholders Equity,117268750,124841000
68,Total Liabilities And Stockholders Equity,122092565,140437000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,122092565,140437000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1816736/000121390021018272/0001213900-21-018272-index.htm,https://www.sec.gov/Archives/edgar/data/1816736/000095017022003288/0000950170-22-003288-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-812495,-71869000
74,Depreciation and Amortization,322000,231000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,983000,7787000
77,Change in Working Capital,337000,1860000
78,Accounts Receivable,- -,- -
79,Inventory,- -,- -
80,Accounts Payable,-2408000,1562000
81,Other Working Capital,-1341000,1341000
82,Other Non-Cash Items,-33537505,2291000
83,Cash Provided by Operating Activities,-32708000,-59700000
84,CAPEX,-22000,-71000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,415000
89,Cash Used for Investing Activites,-22000,344000
90,Debt Repayment,- -,-4583000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,34247000,196063000
95,Cash Used/Provided by Financing Activities,34247000,191480000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,1517000,132124000
98,Cash at the End of Period,4826000,136950000
99,Cash at the Beginning of Period,3309000,4826000
100,Free Cash Flow,-32730000,-59771000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1816736/000121390021018272/0001213900-21-018272-index.htm,https://www.sec.gov/Archives/edgar/data/1816736/000095017022003288/0000950170-22-003288-index.htm
102,false,,
