,https://roic.ai/company/RETA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,51200000,51954000,50319000,49856000,48058000,53589000,26517000,9019000,11490000
2,COGS,- -,- -,- -,- -,- -,- -,124398000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,-97881000,9019000,11490000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-3.6913,1.0000,1.0000
5,Research and Development Exp.,45252000,34305000,35141000,39453000,71273000,97288000,128109000,159080000,155993000
6,General and Administrative Exp.,13403000,11512000,13693000,16603000,23260000,32748000,58298000,75128000,99002000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13403000,11512000,13693000,16603000,23260000,32748000,58298000,75128000,99002000
9,Other Expenses,- -,2512000,1819000,682000,437000,431000,932000,1136000,1203000
10,Operating Expenses,58655000,48329000,50653000,56738000,94970000,130467000,187339000,235344000,256198000
11,COGS and Expenses,61582000,48329000,50653000,56738000,94970000,130467000,311737000,235344000,256198000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,177000
13,Interest Expense (Gain),- -,- -,- -,- -,1454000,6176000,11197000,36779000,53251000
14,Depreciation and Amortization,2927000,2512000,1819000,682000,437000,431000,932000,1136000,1203000
15,EBITDA,-7419000,6180000,1517000,-5986000,-45777000,-73913000,-278033000,-232324000,-243382000
16,EBITDA ratio,-0.1449,0.1190,0.0301,-0.1201,-0.9525,-1.3793,-10.4851,-25.7594,-21.1821
17,Operating Income,-10382000,3625000,-334000,-6882000,-46912000,-76878000,-285220000,-226325000,-297836000
18,Operating Income ratio,-0.2028,0.0698,-0.0066,-0.1380,-0.9762,-1.4346,-10.7561,-25.0942,-25.9213
19,Total Other Income Expenses (Gains),36000,43000,32000,214000,-756000,-3642000,-4942000,-43914000,- -
20,Income Before Tax,-10346000,3668000,-302000,-6668000,-47668000,-80520000,-290162000,-270239000,-297836000
21,Income Before Tax Ratio,-0.2021,0.0706,-0.0060,-0.1337,-0.9919,-1.5025,-10.9425,-29.9633,-25.9213
22,Income Tax expense (Gain),24759000,2979000,1148000,-441000,3000,26000,8000,-22487000,-450000
23,Net Income,-35105000,689000,-1450000,-6227000,-47671000,-80546000,-290170000,-247752000,-297386000
24,Net Income ratio,-0.6856,0.0133,-0.0288,-0.1249,-0.9919,-1.5030,-10.9428,-27.4700,-25.8822
25,EPS,-6.47,0.13,-0.26,-0.31,-1.99,-2.91,-9.54,-7.35,-8.19
26,EPS Diluted,-6.47,0.03,-0.26,-0.31,-1.99,-2.91,-9.54,-7.35,-8.19
27,Weighted Average Shares Outstanding,5500000,5500000,5500000,19816635,23933309,27701783,30414203,33709480,36321351
28,Weighted Average Shares Outstanding Diluted,19998106,19998106,5500000,19816635,23933309,27701783,30414203,33709480,36321351
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1358762/000156459017003245/0001564590-17-003245-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459018004193/0001564590-18-004193-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459019005161/0001564590-19-005161-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459020005272/0001564590-20-005272-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459021009624/0001564590-21-009624-index.htm,https://www.sec.gov/Archives/edgar/data/1358762/000156459022007338/0001564590-22-007338-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,176527000,87758000,42008000,84732000,129780000,337790000,664324000,818150000,590258000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,176527000,87758000,42008000,84732000,129780000,337790000,664324000,818150000,590258000
34,Net Receivables,10905000,15243000,31926000,- -,- -,- -,- -,22228000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4868000,3700000,3325000,2551000,3329000,4483000,4952000,6960000,6217000
37,Total Current Assets,192300000,106701000,77259000,87283000,133109000,342273000,669276000,847338000,596475000
38,PP&E,4956000,2516000,1142000,819000,718000,1445000,2996000,4912000,138381000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,31872000,15515000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,340000,872000,553000,991000,1510000,1490000,10148000,5348000,160000
