,https://roic.ai/company/EVOP,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,419221000,504750000,564754000,485778000,439101000,496645000
2,COGS,140659000,164480000,189375000,96365000,84336000,75765000
3,Gross Profit,278562000,340270000,375379000,389413000,354765000,420880000
4,Gross Profit Ratio,0.6645,0.6741,0.6647,0.8016,0.8079,0.8474
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,311353000,267926000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,311353000,267926000,- -,266117000
9,Other Expenses,238210000,295107000,87184000,92059000,336600000,83389000
10,Operating Expenses,238210000,295107000,398537000,359985000,336600000,349506000
11,COGS and Expenses,378869000,459587000,587912000,456350000,420936000,425271000
12,Interest Income ,1096000,1489000,2219000,2872000,1172000,1651000
13,Interest Expense (Gain),40658000,62876000,59759000,44011000,30160000,23161000
14,Depreciation and Amortization,64012000,74136000,87184000,92059000,85924000,83389000
15,EBITDA,169408000,113358000,142675000,130513000,127530000,137240000
16,EBITDA ratio,0.4041,0.2246,0.2526,0.2687,0.2904,0.2763
17,Operating Income,40352000,45163000,-37785000,16327000,17363000,71374000
18,Operating Income ratio,0.0963,0.0895,-0.0669,0.0336,0.0395,0.1437
19,Total Other Income Expenses (Gains),34132000,-60923000,-50621000,-35145000,-8407000,-31648000
20,Income Before Tax,74484000,-15760000,-88406000,-18818000,8956000,39726000
21,Income Before Tax Ratio,0.1777,-0.0312,-0.1565,-0.0387,0.0204,0.0800
22,Income Tax expense (Gain),17033000,16588000,10444000,4548000,13122000,22037000
23,Net Income,47705000,-40242000,-14712000,-10105000,-1676000,8653000
24,Net Income ratio,0.1138,-0.0797,-0.0261,-0.0208,-0.0038,0.0174
25,EPS,3.15,-0.39,-0.70,-0.31,-0.20,0.10
26,EPS Diluted,0.61,-0.39,-0.70,-0.31,-0.20,0.10
27,Weighted Average Shares Outstanding,15142000,15142000,21081447,32720370,41980163,90965902
28,Weighted Average Shares Outstanding Diluted,77922000,77922000,21081447,32720370,41980163,90965902
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1704596/000155837019002408/0001558370-19-002408-index.html,https://www.sec.gov/Archives/edgar/data/1704596/000155837020001658/0001558370-20-001658-index.html,https://www.sec.gov/Archives/edgar/data/1704596/000155837021001824/0001558370-21-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1704596/000155837022001757/0001558370-22-001757-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,203324000,205142000,350697000,304089000,418439000,410368000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,203324000,205142000,350697000,304089000,418439000,410368000
34,Net Receivables,67174000,73851000,71637000,41444000,37805000,34152000
35,Inventory,7713000,11210000,8867000,9128000,5221000,4210000
36,Other Current Assets,313079000,460210000,260147000,341504000,300364000,332195000
37,Total Current Assets,591290000,750413000,691348000,696165000,761829000,780925000
38,PP&E,72584000,96587000,103046000,140128000,118730000,103210000
39,Goodwill,184484000,311678000,353011000,378838000,383108000,385651000
40,Intangible Assets,231284000,313483000,290139000,257560000,217077000,200726000
41,Intangible Assets,415768000,625161000,643150000,636398000,600185000,586377000
42,Investments,4106000,1379000,1753000,2078000,26365000,25398000
43,Tax Assets,19666000,9057000,72296000,210275000,234749000,238261000
44,Other Non-Current Assets,155828000,25701000,22794000,21360000,15863000,19214000
45,Total Non-Current Assets,667952000,757885000,843039000,1010239000,995892000,972460000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,1259242000,1508298000,1534387000,1706404000,1757721000,1753385000
48,Accounts Payable,54368000,61149000,48935000,13584000,9482000,6889000
49,Short-Term Debt,73461000,103571000,49010000,48934000,24960000,29067000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,479900000,586600000,545433000,566706000,564595000,549169000
53,Total Current Liabilities,607729000,751320000,643378000,629224000,599037000,585125000
54,Long-Term Debt,735102000,760946000,676865000,693169000,610130000,597580000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9987000,11011000,13519000,17260000,13957000,22207000
57,Other Non-Current Liabilities,104187000,151552000,1063307000,1249398000,1239697000,188034000
58,Total Non-Current Liabilities,849276000,923509000,1753691000,1959827000,1863784000,807821000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,48790000,37582000,36070000
