,https://roic.ai/company/CZNI,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,651978,597478,433981,377059,230120,1519354,12000,- -,- -,10930,- -,- -,- -,- -,- -,- -
2,COGS,196921,224677,154201,135069,88984,383805,- -,- -,- -,125616,- -,- -,- -,- -,- -,- -
3,Gross Profit,455057,372801,279780,241990,141136,1135549,12000,- -,- -,-114686,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.6980,0.6240,0.6447,0.6418,0.6133,0.7474,1.0000,- -,- -,-10.4928,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,10152,69465,178419,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,402791,413227,328562,356920,238964,1054611,1623605,3251620,4134267,1128072,508187,259808,80396,890610,391185,497324
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,157795,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",402791,413227,328562,356920,238964,1212406,1623605,3251620,4134267,1128072,508187,259808,80396,890610,391185,665649
9,Other Expenses,1580,- -,- -,- -,- -,534408,690,8444,10649,9410,5580,2252,- -,- -,- -,- -
10,Operating Expenses,404371,413227,328562,356920,238964,1756966,1693760,3438483,4144916,1137482,513767,262060,80396,890610,391185,665649
11,COGS and Expenses,601292,637904,482763,491989,327948,2140771,1693760,3438483,4144916,1263098,513767,262060,80396,890610,391185,665649
12,Interest Income ,- -,- -,- -,- -,- -,194,49,71,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),32364,31428,29585,19253,13072,4254,276107,3472010,346660,1666381,1011790,817841,325471,599876,1024755,611789
14,Depreciation and Amortization,18129,16548,16548,16548,16548,16198,690,8444,306145,1510333,5580,2252,- -,- -,- -,131143
15,EBITDA,68815,-3878,-32234,-72882,-81280,-3670980,-1120394,-3430039,-4134267,-14731343,-508187,-259808,-330545,-2852807,-631983,-534506
16,EBITDA ratio,0.1055,-0.0065,-0.0743,-0.1933,-0.3532,-2.4161,-93.3662,-Infinity,-Infinity,-1347.7898,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,50686,-40426,-48782,- -,-97828,-3422086,-1681760,-3438483,-4144916,-1252168,-513767,-262060,-80396,-890610,-391185,-665649
18,Operating Income ratio,0.0777,-0.0677,-0.1124,- -,-0.4251,-2.2523,-140.1467,-Infinity,-Infinity,-114.5625,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,20000,- -,6247,-13072,-269346,284569,-3371342,-27962224,-16655889,15580239,13763987,-620087,-1853410,-1196345,-1518380
20,Income Before Tax,- -,- -,- -,-108683,-110900,-3691432,-1397191,-6809825,-32107140,-17908057,15066472,13501927,-700483,-2744020,-1587530,-2184029
21,Income Before Tax Ratio,- -,- -,- -,-0.2882,-0.4819,-2.4296,-116.4326,-Infinity,-Infinity,-1638.4316,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-1392993,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,18322,-51854,-78367,-108683,-110900,-2298439,-1397191,-6809825,-32107140,-17908057,15066472,13501927,-700483,-2744020,-1587530,-2184029
24,Net Income ratio,0.0281,-0.0868,-0.1806,-0.2882,-0.4819,-1.5128,-116.4326,-Infinity,-Infinity,-1638.4316,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,1.05,-0.86,-0.86,-6.00,-6.00,-61.26,-35.40,-4.40,-8.40,-4.60,4.00,2.20,-0.04,-0.05,-0.01,-0.01
26,EPS Diluted,1.05,-0.86,-0.86,-6.00,-6.00,-61.26,-35.40,-4.40,-8.40,-4.60,1.60,1.20,-0.04,-0.05,-0.01,-0.01
27,Weighted Average Shares Outstanding,17353,17353,19103,19103,19103,37521,39475,1579285,3786450,3886400,3779050,6111746,16061302,52398546,197963314,488903229
28,Weighted Average Shares Outstanding Diluted,17353,17353,19103,19103,19103,37521,39475,1579285,3786450,3886400,9019100,11891792,16061302,52398546,197963314,488903229
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381871/000107878209000494/0001078782-09-000494-index.html,https://www.sec.gov/Archives/edgar/data/1381871/000101489710000048/0001014897-10-000048-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381871/000129460614000096/0001294606-14-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793215004386/0001477932-15-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793216009801/0001477932-16-009801-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793218000790/0001477932-18-000790-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793218000790/0001477932-18-000790-index.html,https://www.sec.gov/Archives/edgar/data/1381871/000121390019006479/0001213900-19-006479-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000121390020020636/0001213900-20-020636-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000121390021030737/0001213900-21-030737-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8748,5926,4798,8337,32696,11963,65544,10498,43044,14035,13563,260,3066,1579,- -,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8748,5926,4798,8337,32696,11963,65544,10498,43044,14035,13563,260,3066,1579,- -,- -
34,Net Receivables,110448,106658,56028,59243,41292,169896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,1032414,- -,- -,99826,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1500,4846,2733,- -,18536,50450,7119,58520,245748,243029,- -,75000,425205,- -,- -
37,Total Current Assets,119196,114084,65672,70313,73988,1232809,115994,17617,201390,259783,256592,260,78066,426784,- -,- -
38,PP&E,- -,- -,- -,- -,- -,626918,6023,30850,24555,10288,4708,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,143820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,138427,121879,105331,88783,72235,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,138427,121879,105331,88783,72235,143820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,2086,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1384607,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1650,1650,1650,1500,1500,- -,1809,11756,11491,11478,4664,- -,- -,- -,- -,- -
45,Total Non-Current Assets,140077,123529,106981,90283,73735,2157431,7832,42606,36046,21766,9372,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,259273,237613,172653,160596,147723,3390240,123826,60223,237436,281549,265964,260,78066,426784,- -,- -
48,Accounts Payable,30131,44298,41935,1626,- -,459666,222118,402903,393617,499586,626883,283879,350465,407768,316400,326400
49,Short-Term Debt,23545,7579,8086,8629,9027,19000,302136,280233,467329,651133,419333,1008150,1249753,1816970,1948348,1645932
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,124813,163727,71850,216871,181513,66183,712461,1123936,29688957,46721999,17527516,942725,1114935,1281955,1838201,3582979
53,Total Current Liabilities,178489,215604,121871,227126,190540,544849,1236715,1807072,30549903,47872718,18573732,2234754,2715153,3506693,4102949,5555311
54,Long-Term Debt,- -,- -,- -,- -,131660,18047,- -,- -,- -,607000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,164719,157583,149496,140867,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,- -
58,Total Non-Current Liabilities,164719,157583,149496,140867,131660,18047,- -,- -,- -,607000,- -,- -,- -,- -,2,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,343208,373187,271367,367993,322200,562896,1236715,1807072,30549903,48479718,18573732,2234754,2715153,3506693,4102951,5555311
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33865,33865,33865,136877,285193,285193
63,Common Stock,- -,14875,16375,16375,16375,225132,8687,672743,777276,777276,581627,3156612,3454502,734,2970,13390
64,Retained Earnings,-83935,-135789,-214156,-322839,-433739,-2251340,-46287004,-53096829,-85203969,-103112026,-88045554,-74543629,-75244112,-77988132,-79575663,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-21366,- -,-9133,-19783,-25155,-30735,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,-14660,99067,99067,242887,4874918,45165428,50686370,54134009,54161736,69153029,69118658,69118658,74770612,75184549,-5853894
67,Total Stockholders Equity,-83935,-135574,-98714,-207397,-174477,2827344,-1112889,-1746849,-30312467,-48198169,-18307768,-2234494,-2637087,-3079909,-4102951,-5555311
68,Total Liabilities And Stockholders Equity,259273,237613,172653,160596,147723,3390240,123826,60223,237436,281549,265964,260,78066,426784,- -,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,259273,237613,172653,160596,147723,3390240,123826,60223,237436,281549,265964,260,78066,426784,- -,- -
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381871/000107878209000494/0001078782-09-000494-index.html,https://www.sec.gov/Archives/edgar/data/1381871/000101489710000048/0001014897-10-000048-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381871/000129460614000096/0001294606-14-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793215004386/0001477932-15-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793216009801/0001477932-16-009801-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793218000790/0001477932-18-000790-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793218000790/0001477932-18-000790-index.html,https://www.sec.gov/Archives/edgar/data/1381871/000121390019006479/0001213900-19-006479-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000121390020020636/0001213900-20-020636-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000121390021030737/0001213900-21-030737-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,18322,-51854,-78367,-108683,-110900,-2298439,-1397191,-6809825,-32107140,-17908057,15066472,13501927,-700483,-2744020,-1587530,-2184029
74,Depreciation and Amortization,18129,16548,16548,16548,16548,16198,690,8444,306145,1510333,5580,2252,- -,- -,- -,131143
75,Deferred Income Tax,- -,- -,- -,- -,- -,-1392993,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,24471490,688000,14167,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,6938,-42227,45321,-100614,40261,804512,-1808681,-668734,-28559058,-17264422,29295795,16082646,-402593,-442822,-1023040,-1452362
78,Accounts Receivable,- -,- -,- -,-3215,17951,-53253,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,2743905,- -,- -,-99826,-25790,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,195569,- -,- -,- -,- -,- -,- -,431192,178540,815264,10000
81,Other Working Capital,-59293,-101520,-56199,-156813,-116552,687960,-1120721,-1789455,-30348513,-47612935,-18317140,-2234494,-2637087,-3079909,-4102949,-5555311
82,Other Non-Cash Items,- -,59376,-400,83416,-28003,-22345872,1539015,5449173,59283453,32897217,-44769036,-30080628,1055882,2196855,2492991,3467648
83,Cash Provided by Operating Activities,43389,-18157,-16898,-109333,-82094,-745104,-978167,-2006775,-1076600,-764929,-401189,-493803,-47194,-989987,-117579,-37600
84,CAPEX,- -,- -,- -,- -,- -,-284194,-6713,-33271,-4354,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,5920,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-284194,-6713,-33271,-4354,-144080,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-8629,-45704,-7660,-70939,-10000,-2000,-37300,-21700,- -,- -,-15000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,656155,- -,275000,228500,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-34641,15335,15770,121501,143820,- -,1109400,1720000,887000,917300,422417,480500,50000,1003500,116000,37600
95,Cash Used/Provided by Financing Activities,-34641,15335,15770,112872,98116,648495,1038461,1985000,1113500,880000,400717,480500,50000,988500,116000,37600
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-34641,-2822,-1128,3539,16022,-380803,53581,-55046,32546,-29009,-472,-13303,2806,-1487,116000,37600
98,Cash at the End of Period,8748,5926,4798,8337,24359,11963,65544,10498,43044,14035,13563,260,3066,1579,- -,- -
99,Cash at the Beginning of Period,- -,8748,5926,4798,8337,392766,11963,65544,10498,43044,14035,13563,260,3066,1579,- -
100,Free Cash Flow,43389,-18157,-16898,-109333,-82094,-1029298,-984880,-2040046,-1080954,-764929,-401189,-493803,-47194,-989987,-117579,-37600
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381871/000107878209000494/0001078782-09-000494-index.html,https://www.sec.gov/Archives/edgar/data/1381871/000101489710000048/0001014897-10-000048-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1381871/000129460614000096/0001294606-14-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793215004386/0001477932-15-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793216009801/0001477932-16-009801-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793218000790/0001477932-18-000790-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000147793218000790/0001477932-18-000790-index.html,https://www.sec.gov/Archives/edgar/data/1381871/000121390019006479/0001213900-19-006479-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000121390020020636/0001213900-20-020636-index.htm,https://www.sec.gov/Archives/edgar/data/1381871/000121390021030737/0001213900-21-030737-index.htm
102,false,,,,,,,,,,,,,,,,
