,https://roic.ai/company/OGEN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,196210,- -,66176,133088,233539,641285,1308910,1444447,1331764,1032233,939926,1175841,- -,- -,- -,- -,- -,86987
2,COGS,- -,- -,- -,- -,- -,14864,221198,911793,713627,878461,343354,369597,481743,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,196210,- -,66176,133088,218675,420087,397117,730820,453303,688879,570329,694098,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,1.0000,1.0000,0.9364,0.6551,0.3034,0.5060,0.3404,0.6674,0.6068,0.5903,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,929355,1990979,2097223,2023896,1569551,1955488,1833746,2014784,2449178,7860987,9358957,3065053,8803033,4754650,3539656,5971833,12120318,22107563,10586144
6,General and Administrative Exp.,738596,1329983,1166854,1004099,902655,4312246,4917844,6285004,5628005,5024616,7540152,3321771,3543184,3787855,3178662,4022307,3757251,4533893,5271861
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",738596,1329983,1166854,1004099,902655,4312246,4917844,6285004,5628005,5024616,7540152,3321771,3543184,3787855,3178662,4022307,3757251,4533893,5271861
9,Other Expenses,- -,- -,- -,- -,70,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1188,1601,2400,- -
10,Operating Expenses,1667951,3320962,3264077,3027995,2472276,6267734,6751590,8299788,8077183,12885603,16899109,6386824,12346217,8542505,6718318,9995328,15879170,26643856,15858005
11,COGS and Expenses,1667951,3320962,3264077,3027995,2472276,6282598,6972788,9211581,8790810,13764064,17242463,6756421,12827960,8542505,6718318,9995328,15879170,26643856,- -
12,Interest Income ,7874,47306,41875,24931,29385,32511,922,3657,1044,15164,23546,36998,21378,40090,10221,86527,320011,89294,75847
13,Interest Expense (Gain),12877,442,29176,855,- -,10054,44292,33859,332349,655557,17538,4030,76668,4116,216328,5786,7300,10685,-15756
14,Depreciation and Amortization,12545,41987,260636,280901,273230,253857,239760,42735,79516,75190,76487,27667,71152,75044,65803,30110,62622,51705,41237
15,EBITDA,-1655406,-3035459,-3003441,-2653963,-2038482,-5757831,-5235296,-8462008,-7267003,-12359699,-15974729,-5757822,-11563513,-8467461,-6652515,-9965218,-15816548,-26592151,-15686133
16,EBITDA ratio,-Infinity,-15.4705,-Infinity,-40.1046,-15.3168,-24.6547,-8.1638,-6.4649,-5.0310,-9.2807,-15.4759,-6.1258,-9.8342,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-180.3273
17,Operating Income,-1667951,-3124752,-3264077,-2961819,-2339188,-6049059,-6331503,-7902671,-7346363,-12432300,-16210230,-5816495,-11652119,-8542505,-6718318,-9994140,-15877569,-26641456,-15771018
18,Operating Income ratio,-Infinity,-15.9255,-Infinity,-44.7567,-17.5763,-25.9017,-9.8732,-6.0376,-5.0859,-9.3352,-15.7040,-6.1882,-9.9096,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-181.3032
19,Total Other Income Expenses (Gains),- -,- -,12699,26100,27476,27317,812155,-635931,-332505,-658146,141476,26976,-59214,45189,-13207,79999,311566,210757,59404
20,Income Before Tax,- -,- -,-3251378,-2935719,-2311712,-6021742,-5519348,-8538602,-7678868,-13090446,-16068754,-5789519,-11711333,-8497316,-6731525,-9914141,-15566003,-26430699,-15711614
21,Income Before Tax Ratio,- -,- -,-Infinity,-44.3623,-17.3698,-25.7847,-8.6067,-6.5234,-5.3161,-9.8294,-15.5670,-6.1595,-9.9600,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-180.6203
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-733437,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1672954,-3077888,-3251378,-2935719,-2311712,-6021742,-5519348,-7805165,-7678868,-13090446,-16068754,-5789519,-11711333,-7013304,-6731525,-9914141,-15566003,-26430699,-15711614
24,Net Income ratio,-Infinity,-15.6867,-Infinity,-44.3623,-17.3698,-25.7847,-8.6067,-5.9631,-5.3161,-9.8294,-15.5670,-6.1595,-9.9600,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-180.6203
25,EPS,-30.00,-44.00,-44.00,-30.00,-18.00,-34.00,-18.00,-14.20,-13.40,-7.40,-5.60,-1.60,-3.20,-1.60,-1.37,-0.87,-0.37,-0.47,-0.14
26,EPS Diluted,-30.00,-44.00,-44.00,-30.00,-18.00,-34.00,-18.00,-14.20,-13.40,-7.40,-5.60,-1.60,-3.20,-1.60,-1.37,-0.87,-0.37,-0.47,-0.14
27,Weighted Average Shares Outstanding,54070,70590,75410,100190,125460,175346,324418,551145,571753,1773575,2877922,3615358,3665625,4460019,4926275,13039123,42283947,56531246,112919688
28,Weighted Average Shares Outstanding Diluted,54070,70590,75410,100190,125460,175346,324418,551145,571753,1773575,2877922,3615358,3665625,4460019,4926275,13039123,42283947,56531246,112919688
