,https://roic.ai/company/EPM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,500000,1220023,744221,254199,1,1,- -,- -,- -,1635187,2861414,1866878,4256128,6095183,5021901,7530875,17962038,21349920,17673508,27841265,26349502,34484896,41281212,43229621,29599296,32702354
2,COGS,- -,399144,346743,99773,- -,- -,- -,- -,- -,874876,1725760,1370226,1255787,1440783,1665079,80677,1708235,3080945,2422258,12971350,14298231,16555214,18205500,20519867,19267000,21543495
3,Gross Profit,- -,820879,397478,154426,- -,- -,- -,- -,- -,760311,1135654,496652,3000341,4654400,3356822,7450198,16253803,18268975,15251250,14869915,12051271,17929682,23075712,22709754,10332296,11158859
4,Gross Profit Ratio,- -,0.6728,0.5341,0.6075,- -,- -,- -,- -,- -,0.4650,0.3969,0.2660,0.7049,0.7636,0.6684,0.9893,0.9049,0.8557,0.8629,0.5341,0.4574,0.5199,0.5590,0.5253,0.3491,0.3412
5,Research and Development Exp.,- -,1351658,545192,103456,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6400000,1766764,1190250,712966,52413,294705,420509,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7495309,8388291,6256783,5274885,4857973,6773781,5072931,5259659,6754532
7,Selling and Marketing Exp.,- -,1112846,493908,- -,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6400000,2879610,1684158,712966,52413,294705,435509,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7495309,8388291,6256783,5274885,4857973,6773781,5072931,5259659,6754532
9,Other Expenses,100000,- -,- -,30000,- -,1,- -,50954,- -,2549290,3320114,4845176,6490703,8357528,6910353,7197138,7424529,72312,41626,34866,49054,59664,90290,- -,- -,210182
10,Operating Expenses,6500000,4231268,2229350,846422,52413,294706,435509,50954,- -,2549290,3320114,4845176,6490703,8357528,6910353,7197138,7424529,7567621,8429917,6291649,5323939,4917637,6864071,5072931,5259659,6964714
11,COGS and Expenses,6500000,4630412,2576093,946195,52413,294706,435509,50954,- -,3424166,5045874,6215402,7746490,9798311,8575432,7277815,9132764,10648566,10852175,19262999,19622170,21472851,25069571,25592798,24526659,28508209
