,https://roic.ai/company/LYSCF,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,8200000,25331712,25634000,- -,- -,- -,13867916,8047627,25000,- -,- -,69821,10,- -,- -,- -,- -,- -,950000,64570000,144596000,190956000,256976000,374105000,363541000,314088000,506005000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6621018,3964112,- -,- -,- -,- -,- -,- -,- -,- -,- -,8545000,950000,77679000,168345000,211401000,242239000,253001000,233651000,205802000,239419000
3,Gross Profit,- -,- -,- -,- -,- -,- -,8200000,25331712,25634000,- -,- -,- -,7246898,4083515,25000,- -,- -,69821,10,- -,- -,- -,- -,-8545000,- -,-13109000,-23749000,-20445000,14737000,121104000,129890000,108286000,266586000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,0.5226,0.5074,1.0000,- -,- -,1.0000,1.0000,- -,- -,- -,- -,-Infinity,- -,-0.2030,-0.1642,-0.1071,0.0573,0.3237,0.3573,0.3448,0.5268
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95212,2510686,3629147,2917994,3218195,2179252,3113019,11539000,17476000,18076000,30363000,74124000,125124000,125102000,28385000,13990000,21278000,27327000,28707000,43504000,24193000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278805,1494311,119091,1005709,2531000,4268000,3821000,662000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95212,2510686,3629147,3196799,4712506,2298343,4118728,14070000,21744000,21897000,31025000,74124000,125124000,125102000,28385000,13990000,21278000,27327000,28707000,43504000,24193000
9,Other Expenses,1113000,125000,179000,55000,6000,36000,917000,2779640,7769450,- -,- -,- -,12347352,353738,1471113,1493118,799480,2475649,2231056,3173000,11959000,32611000,26881000,9863000,18635000,37030000,39111000,50606000,48158000,47804000,44305000,66143000,65784000
10,Operating Expenses,1113000,125000,179000,55000,6000,36000,917000,2779640,7769450,- -,- -,- -,12442564,2864424,5100260,4689917,5511986,4773992,6349784,17243000,33703000,54508000,57906000,83987000,143759000,162132000,67496000,64596000,69436000,75131000,73012000,109647000,89977000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19063582,6828536,- -,- -,- -,- -,- -,- -,- -,- -,- -,92532000,144709000,239811000,235841000,275997000,311675000,328132000,306663000,315449000,329396000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,275000,172909,7090,15387,274291,288343,17259,235,233878,467399,340418,507773,2208298,5011000,6876000,- -,775000,10667000,17370000,29377000,37790000,37615000,44257000,49660000,21958000,15341000,14940000
14,Depreciation and Amortization,7000,5000,9000,6000,6000,23000,913000,2584480,7175506,- -,- -,- -,2872107,353738,192136,127629,122565,105037,150012,294000,639000,1158000,1220000,7250000,18635000,37030000,39111000,41806000,48158000,47804000,44305000,66018000,65784000
15,EBITDA,-1415000,-297000,-347000,-131000,-163000,151000,2863000,7276504,-3943981,-9601749,-2749835,2957608,-4319062,-1939321,-9747662,-3827742,-4774251,-3889251,-3842349,-15462000,-20607000,-53350000,-55293000,-75192000,-105009000,-279024000,-41658000,-14696000,56773000,150868000,146488000,62203000,238211000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,0.3491,0.2872,-0.1539,-Infinity,-Infinity,Infinity,-0.3114,-0.2410,-389.9065,-Infinity,-Infinity,-55.7032,-384234.9000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-110.5358,-4.3213,-0.2881,-0.0770,0.2209,0.4033,0.4029,0.1980,0.4708
17,Operating Income,-1113000,-125000,-179000,-55000,-6000,-36000,7283000,22552072,25634000,- -,- -,- -,-5195666,1219091,-5075260,-4689917,-5511986,-4704171,-6349774,-17243000,-33703000,-54508000,-57906000,-92532000,-143759000,-175241000,-91245000,-85041000,-54699000,45973000,56878000,-1361000,176609000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.8882,0.8903,1.0000,- -,- -,- -,-0.3747,0.1515,-203.0104,-Infinity,-Infinity,-67.3747,-634977.4000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-151.3253,-2.7140,-0.6310,-0.4453,-0.2129,0.1229,0.1565,-0.0043,0.3490
19,Total Other Income Expenses (Gains),-302000,-172000,-168000,-76000,-157000,187000,-6229000,-19896264,-32299948,- -,- -,- -,1591452,-2365738,-11578,267147,-8634514,202110,149115,-4238000,4421000,11467000,618000,-5347000,2745000,-170190000,-27314000,-9076000,19057000,7431000,23347000,-17795000,-19122000
20,Income Before Tax,-1415000,-297000,-347000,-131000,-163000,151000,1054000,2655808,-6665948,-9617136,-3024126,2669265,-3604214,-1146647,-5086838,-4422770,-14146500,-4502061,-6200659,-21481000,-29282000,-43041000,-57288000,-97879000,-141014000,-345431000,-118559000,-94117000,-35642000,53404000,80225000,-19156000,157487000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,0.1285,0.1048,-0.2600,-Infinity,-Infinity,Infinity,-0.2599,-0.1425,-203.4735,-Infinity,-Infinity,-64.4800,-620065.9000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-148.4358,-5.3497,-0.8199,-0.4929,-0.1387,0.1428,0.2207,-0.0610,0.3112
22,Income Tax expense (Gain),-1415000,-297000,-347000,-131000,-163000,151000,1054000,2655808,-6665948,-9617136,-3024126,2669265,-3604214,-1146647,-5086838,-4422770,-14146500,- -,- -,- -,- -,- -,1798000,-10109000,2541000,57000,126000,-35000,-20766000,285000,195000,239000,404000
23,Net Income,-1415000,-297000,-347000,-131000,-163000,151000,621000,1863307,-4460629,-10596838,-3024126,2669265,-3604214,-1146647,-5086838,-4422770,-14146500,-4502061,-6200659,-21481000,-29282000,-43041000,-59086000,-87770000,-143555000,-345488000,-118685000,-94082000,-14876000,53119000,80030000,-19395000,157083000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,0.0757,0.0736,-0.1740,-Infinity,-Infinity,Infinity,-0.2599,-0.1425,-203.4735,-Infinity,-Infinity,-64.4800,-620065.9000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-151.1105,-5.3506,-0.8208,-0.4927,-0.0579,0.1420,0.2201,-0.0618,0.3104
25,EPS,-0.23,-0.05,-0.06,-0.02,-0.03,1.17,3.42,10.26,-0.26,-0.61,-0.34,0.27,-0.28,-0.08,-0.25,-0.13,-0.35,-0.10,-0.08,-0.20,-0.25,-0.32,-0.35,-0.51,-0.76,-1.71,-0.38,-0.27,-0.04,0.09,0.12,-0.03,0.22
26,EPS Diluted,-0.23,-0.05,-0.06,-0.02,-0.03,1.17,3.42,10.26,-0.26,-0.61,-0.34,0.10,-0.28,-0.08,-0.25,-0.13,-0.35,-0.10,-0.08,-0.20,-0.25,-0.32,-0.35,-0.51,-0.76,-1.71,-0.38,-0.27,-0.04,0.08,0.11,-0.03,0.22
27,Weighted Average Shares Outstanding,6157420,6157420,6157420,6157420,6264595,129245,181673,181673,17487905,17487905,8866609,10060528,12711997,14864297,20072368,33555848,40597177,42301338,74128983,104737300,116124164,135102322,169209961,173781877,188684630,202029515,314971200,353006763,356711642,609003136,674004538,703691830,703691830
28,Weighted Average Shares Outstanding Diluted,6157420,6157420,6157420,6157420,6264595,129245,181673,181673,17487905,17487905,8866609,10060528,17498531,14864297,20072368,33555848,40597177,42301338,74128983,104737300,116124164,135102322,169209961,173781877,188684630,202029515,314971200,353006763,356711642,649628710,707390543,703691830,703691830
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
