,https://roic.ai/company/TGLS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,130324000,183294000,197452000,238833000,305016000,314456000,370984000,430912000,374923000,496785000
2,COGS,- -,- -,95451000,127875000,136021000,153252000,192369000,215274000,250767000,295103000,235669000,294201000
3,Gross Profit,- -,- -,34873000,55419000,61431000,85581000,112647000,99182000,120217000,135809000,139254000,202584000
4,Gross Profit Ratio,- -,- -,0.2676,0.3024,0.3111,0.3583,0.3693,0.3154,0.3240,0.3152,0.3714,0.4078
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,12138000,10862000,16327000,15087000,21875000,24092000,26825000,28423000,28323000,35831000
7,Selling and Marketing Exp.,- -,- -,11756000,17287000,17872000,27579000,32267000,30656000,39390000,41925000,38962000,49768000
8,"Selling, General and Administrative Exp.",- -,- -,23894000,28149000,34199000,42666000,54142000,54748000,66215000,70348000,67285000,85599000
9,Other Expenses,- -,- -,- -,- -,- -,3833000,7776000,8427000,5732000,5470000,4825000,- -
10,Operating Expenses,- -,- -,23894000,28149000,34199000,46499000,61918000,63175000,71947000,75818000,72110000,85599000
11,COGS and Expenses,- -,- -,119345000,156024000,170220000,199751000,254287000,278449000,322714000,370921000,307779000,379800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,5513000,7886000,8900000,9274000,16814000,19872000,21187000,22806000,21671000,10699000
14,Depreciation and Amortization,- -,- -,7668000,7238000,8542000,11869000,15522000,20969000,23157000,22735000,20590000,20923000
15,EBITDA,- -,- -,22296000,46132000,46298000,29069000,71588000,52083000,59351000,83004000,79472000,128258000
16,EBITDA ratio,- -,- -,0.1711,0.2517,0.2345,0.1217,0.2347,0.1656,0.1600,0.1926,0.2120,0.2582
17,Operating Income,- -,- -,10979000,27270000,27232000,39082000,47848000,34364000,47195000,58815000,66120000,116985000
18,Operating Income ratio,- -,- -,0.0842,0.1488,0.1379,0.1636,0.1569,0.1093,0.1272,0.1365,0.1764,0.2355
19,Total Other Income Expenses (Gains),- -,- -,-1864000,3738000,1624000,-31156000,-8596000,-22846000,-32733000,-21618000,-28934000,-20072000
20,Income Before Tax,- -,- -,9115000,31008000,28856000,7926000,39252000,11518000,14462000,37197000,37186000,96913000
