,https://roic.ai/company/SPLK,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,35000000,66245000,120960000,198944000,302623000,450875000,668435000,949955000,1270788000,1803010000,2358926000,2229385000,2673664000
2,COGS,- -,- -,- -,3290000,6656000,11605000,21424000,35825000,68378000,114122000,191053000,256409000,344676000,429788000,547345000,733969000
3,Gross Profit,- -,- -,- -,31710000,59589000,109355000,177520000,266798000,382497000,554313000,758902000,1014379000,1458334000,1929138000,1682040000,1939695000
4,Gross Profit Ratio,- -,- -,- -,0.9060,0.8995,0.9041,0.8923,0.8816,0.8483,0.8293,0.7989,0.7982,0.8088,0.8178,0.7545,0.7255
5,Research and Development Exp.,- -,- -,- -,8479000,14025000,23561000,41853000,75895000,150790000,215309000,295850000,301114000,441969000,619800000,791026000,1029574000
6,General and Administrative Exp.,- -,- -,- -,6462000,8949000,19698000,32602000,53875000,103046000,121579000,153359000,159143000,237588000,332602000,335144000,522350000
7,Selling and Marketing Exp.,- -,- -,- -,24072000,39909000,74782000,125098000,215335000,344471000,505348000,653524000,808417000,1029950000,1263873000,1336056000,1534600000
8,"Selling, General and Administrative Exp.",- -,- -,- -,30534000,48858000,94480000,157700000,269210000,447517000,626927000,806883000,967560000,1267538000,1596475000,1671200000,2056950000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,39013000,62883000,118041000,199553000,345105000,598307000,842236000,1102733000,1268674000,1709507000,2216275000,2462226000,3086524000
11,COGS and Expenses,- -,- -,- -,42303000,69539000,129646000,220977000,380930000,666685000,956358000,1293786000,1525083000,2054183000,2646063000,3009571000,3820493000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31458000,54142000,13850000,2583000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41963000,96249000,123076000,-174598000
14,Depreciation and Amortization,- -,- -,- -,938000,958000,2120000,4674000,6692000,12494000,19491000,34852000,40941000,52430000,67661000,93666000,99145000
15,EBITDA,- -,- -,- -,-6434000,-2723000,-8694000,-31294000,-72310000,-202346000,-267153000,-314830000,-216805000,-168798000,-167741000,-684306000,-1396236000
16,EBITDA ratio,- -,- -,- -,-0.1838,-0.0411,-0.0719,-0.1573,-0.2389,-0.4488,-0.3997,-0.3314,-0.1706,-0.0936,-0.0711,-0.3069,-0.5222
17,Operating Income,- -,- -,- -,-7303000,-3294000,-8686000,-22033000,-78307000,-215810000,-287923000,-343831000,-254295000,-251173000,-287137000,-780186000,-1146829000
18,Operating Income ratio,- -,- -,- -,-0.2087,-0.0497,-0.0718,-0.1107,-0.2588,-0.4786,-0.4307,-0.3619,-0.2001,-0.1393,-0.1217,-0.3500,-0.4289
19,Total Other Income Expenses (Gains),- -,- -,- -,-69000,-387000,-2128000,-13935000,-695000,970000,1279000,-5851000,-3451000,-12018000,-44514000,-120862000,-173954000
20,Income Before Tax,- -,- -,- -,-7372000,-3681000,-10814000,-35968000,-79002000,-214840000,-286644000,-349682000,-257746000,-263191000,-331651000,-901048000,-1320783000
21,Income Before Tax Ratio,- -,- -,- -,-0.2106,-0.0556,-0.0894,-0.1808,-0.2611,-0.4765,-0.4288,-0.3681,-0.2028,-0.1460,-0.1406,-0.4042,-0.4940
22,Income Tax expense (Gain),- -,- -,- -,79000,125000,178000,713000,6000,2276000,-7872000,5507000,1357000,12386000,5017000,6932000,18314000
23,Net Income,- -,- -,- -,-7451000,-3806000,-10992000,-36681000,-79008000,-217116000,-278772000,-355189000,-259103000,-275577000,-336668000,-907980000,-1339097000
24,Net Income ratio,- -,- -,- -,-0.2129,-0.0575,-0.0909,-0.1844,-0.2611,-0.4815,-0.4171,-0.3739,-0.2039,-0.1528,-0.1427,-0.4073,-0.5008
25,EPS,- -,- -,- -,-0.36,-0.18,-0.53,-0.46,-0.75,-1.81,-2.20,-2.65,-1.85,-1.89,-2.22,-5.68,-8.29
26,EPS Diluted,- -,- -,- -,-0.36,-0.18,-0.53,-0.46,-0.75,-1.81,-2.20,-2.65,-1.85,-1.89,-2.22,-5.68,-8.29
27,Weighted Average Shares Outstanding,- -,- -,- -,20646000,20646000,20646000,80246000,105067000,119775000,126746000,133910000,142835123,145707000,151949000,159744000,161628000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,20646000,20646000,20646000,80246000,105067000,119775000,126746000,133910000,142835123,145707000,151949000,159744000,161628000
