,https://roic.ai/company/QLYS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,57425000,65432000,76212000,91420000,107962000,133579000,164284000,197925000,230828000,278889000,321607000,362963000,411172000
2,COGS,10692000,11204000,13247000,18404000,24660000,28963000,33885000,42473000,51580000,66185000,69517000,79226000,89439000
3,Gross Profit,46733000,54228000,62965000,73016000,83302000,104616000,130399000,155452000,179248000,212704000,252090000,283737000,321733000
4,Gross Profit Ratio,0.8138,0.8288,0.8262,0.7987,0.7716,0.7832,0.7937,0.7854,0.7765,0.7627,0.7838,0.7817,0.7825
5,Research and Development Exp.,13377000,15780000,19633000,20195000,21678000,26320000,29451000,35267000,42816000,53255000,68239000,72548000,81289000
6,General and Administrative Exp.,7455000,8183000,8900000,12079000,16792000,21000000,26573000,32108000,35334000,39049000,40765000,46570000,76274000
7,Selling and Marketing Exp.,24782000,29056000,31526000,37738000,42523000,48049000,49569000,57970000,63855000,70039000,70833000,67965000,76487000
8,"Selling, General and Administrative Exp.",32237000,37239000,40426000,49817000,59315000,69049000,76142000,90078000,99189000,109088000,111598000,114535000,152761000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,45614000,53019000,60059000,70012000,80993000,95369000,105593000,125345000,142005000,162343000,179837000,187083000,234050000
11,COGS and Expenses,56306000,64223000,73306000,88416000,105653000,124332000,139478000,167818000,193585000,228528000,249354000,266309000,323489000
12,Interest Income ,10000,3000,14000,14000,375000,452000,570000,1320000,2674000,6080000,8443000,5385000,2287000
13,Interest Expense (Gain),180000,186000,204000,192000,43000,9000,6000,26000,3000,172000,106000,9000,- -
14,Depreciation and Amortization,3923000,4569000,5373000,7341000,9612000,11897000,14360000,16994000,20636000,28904000,31201000,32845000,35897000
15,EBITDA,5182000,5398000,7947000,10171000,11779000,20519000,38886000,47449000,60017000,84544000,111290000,134891000,125294000
16,EBITDA ratio,0.0902,0.0825,0.1043,0.1113,0.1091,0.1536,0.2367,0.2397,0.2600,0.3031,0.3460,0.3716,0.3047
17,Operating Income,1119000,1209000,2906000,3004000,2309000,9247000,24806000,30107000,37243000,50361000,72253000,96654000,87683000
18,Operating Income ratio,0.0195,0.0185,0.0381,0.0329,0.0214,0.0692,0.1510,0.1521,0.1613,0.1806,0.2247,0.2663,0.2133
19,Total Other Income Expenses (Gains),-40000,-566000,-536000,-366000,-185000,-634000,-286000,322000,2135000,5107000,7730000,5383000,1714000
20,Income Before Tax,1079000,643000,2370000,2638000,2124000,8613000,24520000,30429000,39378000,55468000,79983000,102037000,89397000
21,Income Before Tax Ratio,0.0188,0.0098,0.0311,0.0289,0.0197,0.0645,0.1493,0.1537,0.1706,0.1989,0.2487,0.2811,0.2174
22,Income Tax expense (Gain),220000,-204000,416000,358000,500000,-21631000,8655000,11205000,-1062000,-1836000,10647000,10465000,18437000
23,Net Income,859000,847000,1954000,2280000,1624000,30244000,15865000,19224000,40440000,57304000,69336000,91572000,70960000
24,Net Income ratio,0.0150,0.0129,0.0256,0.0249,0.0150,0.2264,0.0966,0.0971,0.1752,0.2055,0.2156,0.2523,0.1726
25,EPS,0.04,0.03,0.09,0.09,0.05,0.92,0.47,0.55,1.08,1.47,1.77,2.34,1.82
26,EPS Diluted,0.04,0.03,0.08,0.08,0.05,0.81,0.42,0.50,1.01,1.37,1.68,2.24,1.78
27,Weighted Average Shares Outstanding,22643000,5392000,22643000,11891000,31914000,32979000,34050000,35247000,37443000,38876000,39075000,39167000,38925000
28,Weighted Average Shares Outstanding Diluted,24194000,5392000,24194000,28352000,35973000,37170000,38184000,38369000,40071000,41897000,41345000,40823000,39938000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1107843/000110784313000003/0001107843-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784314000004/0001107843-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784315000003/0001107843-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784316000022/0001107843-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784317000003/0001107843-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000110784318000003/0001107843-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000162828019002099/0001628280-19-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000162828020001963/0001628280-20-001963-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000143774921003648/0001437749-21-003648-index.htm,https://www.sec.gov/Archives/edgar/data/1107843/000143774922004075/0001437749-22-004075-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15010000,24548000,34885000,42369000,76504000,91698000,86737000,86591000,41026000,87559000,74132000,137328000
32,Short-Term Investments,- -,- -,- -,83547000,54827000,50714000,87268000,157119000,201823000,248140000,211331000,281892000,267960000
33,Cash and Short-Term Investments,- -,15010000,24548000,118432000,97196000,127218000,178966000,243856000,288414000,289166000,298890000,356024000,405288000
34,Net Receivables,- -,14292000,20750000,24545000,28581000,32993000,42325000,47024000,64412000,75825000,78034000,100179000,108998000
