,https://roic.ai/company/AIKI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6700000,8000000,10500000,13600000,15300000,15900000,15100000,16700000,13600000,16000000,13700000,13800000,13600000,16000000,12700000,17034694,19937461,15131855,18086711,22348418,23045657,24838174,154698,1025961,1359110,1432452,820925,19922,27000,10000,33000,877000,1236000,28000,9000,- -,- -
2,COGS,5200000,5900000,7700000,11100000,12900000,13300000,12400000,13200000,10400000,12900000,9900000,9600000,9900000,12500000,9600000,11087899,13639601,11551010,12602832,17362430,17928018,20794538,54292,397645,449293,517677,388065,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,1500000,2100000,2800000,2500000,2400000,2600000,2700000,3500000,3200000,3100000,3800000,4200000,3700000,3500000,3100000,5946795,6297860,3580845,5483879,4985988,5117639,4043636,100406,628316,909817,914775,432860,- -,24000,10000,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.2239,0.2625,0.2667,0.1838,0.1569,0.1635,0.1788,0.2096,0.2353,0.1938,0.2774,0.3043,0.2721,0.2188,0.2441,0.3491,0.3159,0.2366,0.3032,0.2231,0.2221,0.1628,0.6490,0.6124,0.6694,0.6386,0.5273,- -,0.8889,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,600000,600000,400000,300000,281084,390156,475997,423173,196364,288112,883608,5865426,4004565,6830957,4846111,1645939,727091,10000,- -,- -,- -,- -,- -,2522000,2489000,559000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15070000,20790000,5126000,4580000,3685000,3056000,- -,4057000,7734000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1100000,1200000,1300000,1600000,2300000,2300000,2100000,1900000,2000000,2700000,2300000,2500000,2800000,3800000,3700000,3939702,4029222,4514509,5832349,5357435,5141173,5639847,3872041,3135310,3265137,4080123,3133792,2764836,15070000,20790000,5126000,4580000,3685000,3056000,3172000,4057000,7734000
9,Other Expenses,200000,300000,400000,500000,500000,600000,600000,600000,500000,400000,500000,700000,600000,1300000,1700000,1314962,1424714,1593380,1503003,2277682,2574247,- -,- -,- -,- -,- -,- -,- -,291000,9831000,6317000,2135000,1373000,1443000,- -,- -,1148000
10,Operating Expenses,1300000,1500000,1700000,2100000,2800000,2900000,2700000,2500000,2500000,3100000,3300000,3800000,4000000,5500000,5700000,5535748,5844092,6583886,7758525,7831481,8003532,6523455,9737467,7139875,10096094,8926234,4779731,3491927,15371000,30621000,11443000,6715000,5058000,4499000,5694000,6546000,9441000
11,COGS and Expenses,6500000,7400000,9400000,13200000,15700000,16200000,15100000,15700000,12900000,16000000,13200000,13400000,13900000,18000000,15300000,16623647,19483693,18134896,20361357,25193911,25931550,27317993,9791759,7537520,10545387,9443911,5167796,3491927,15374000,30621000,11443000,6715000,5058000,4499000,5694000,6546000,- -
