,https://roic.ai/company/GLGI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,110787,289394,92958,1280945,6964943,9305534,15956386,12454293,21081114,16690708,16230555,20501824,24157590,24085184,23449936,22293922,26340405,40044110,48609075,71077116,76204608,64925059
2,COGS,- -,- -,- -,2438342,6768426,9573029,15030690,11588057,17233175,13125041,13145667,18357836,19227739,18828452,18107627,18269192,21591039,32573570,41570319,62837214,64721749,53468239
3,Gross Profit,- -,- -,92958,-1157397,196517,-267495,925696,866236,3847939,3565667,3084888,2143988,4929851,5256732,5342309,4024730,4749366,7470540,7038756,8239902,11482859,11456820
4,Gross Profit Ratio,- -,- -,1.0000,-0.9035,0.0282,-0.0287,0.0580,0.0696,0.1825,0.2136,0.1901,0.1046,0.2041,0.2183,0.2278,0.1805,0.1803,0.1866,0.1448,0.1159,0.1507,0.1765
5,Research and Development Exp.,- -,95000,67000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2409115,2168762,2555249,3015960,3034027,3922284,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1949987,1491130,1895794,1312824,1527968,3449422,2248719,1828395,1815469,1852126,2058302,1920649,1992679,2189125,2409115,2168762,2555249,3015960,3034027,3922284,4623618,5202231
9,Other Expenses,290704,986982,157364,310875,441949,6074658,- -,- -,-470,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2240691,2573112,2120158,1623699,1969917,9524080,2248719,1828395,1814999,1852126,2058302,1920649,1992679,2189125,2409115,2168762,2555249,3015960,3034027,3922284,4623618,5202231
11,COGS and Expenses,2240691,2573112,2120158,4062041,8738343,19097109,17279409,13416452,19048174,14977167,15203969,20278485,21220418,21017577,20516742,20437954,24146288,35589530,44604346,66759498,69345367,58670470
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,231618,- -,- -,- -,- -,1185541,- -,988845,828059,1085700,897113,828897,846568,818136,862428,1212857,1373392,1836294,1705351,1177799
14,Depreciation and Amortization,315509,1001348,157364,230794,413008,1296601,768439,806725,846828,975577,1017690,1015561,1165795,1387987,1309573,1431823,1555283,2772465,3686121,4533757,5281032,5801517
15,EBITDA,-2779933,-477373,100276,-2984058,-2047919,-9125224,-1566714,-607710,1775248,2806662,2267605,1331166,3823368,4260542,4047204,3290291,3749400,7244220,7702994,8862935,11895804,11813290
16,EBITDA ratio,-25.0926,-1.6496,1.0787,-2.3296,-0.2940,-0.9806,-0.0982,-0.0488,0.0842,0.1682,0.1397,0.0649,0.1583,0.1769,0.1726,0.1476,0.1423,0.1809,0.1585,0.1247,0.1561,0.1820
17,Operating Income,-3148044,-2283718,-2027200,-2781096,-1773400,-9791575,-1323023,-962159,2032470,1713541,1026586,223339,2937172,3067607,2933194,1855968,2194117,4454580,4004729,4317618,6859241,6254589
18,Operating Income ratio,-28.4153,-7.8914,-21.8077,-2.1711,-0.2546,-1.0522,-0.0829,-0.0773,0.0964,0.1027,0.0633,0.0109,0.1216,0.1274,0.1251,0.0832,0.0833,0.1112,0.0824,0.0607,0.0900,0.0963
19,Total Other Income Expenses (Gains),52602,1368357,- -,-310875,-429815,-6012567,1700,-452276,30876,187705,304793,15157,-1030522,-822397,-841568,-815636,-862428,-1195682,-1361248,-1824734,-1687671,-1148473
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1906650,2245210,2091626,1040332,1331689,3258898,2643481,2492884,5171570,5106116
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0789,0.0932,0.0892,0.0467,0.0506,0.0814,0.0544,0.0351,0.0679,0.0786
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-585000,-548000,-1040000,430763,495555,1011990,772380,435677,209000,1480590
23,Net Income,-3095442,-1478721,-288706,-3214852,-2460927,-10421825,-2335153,-2599976,928420,842240,421856,-770095,2345460,2591658,2931063,609569,836134,2246908,1871101,2057207,4700421,3353384
24,Net Income ratio,-27.9405,-5.1097,-3.1058,-2.5098,-0.3533,-1.1200,-0.1463,-0.2088,0.0440,0.0505,0.0260,-0.0376,0.0971,0.1076,0.1250,0.0273,0.0317,0.0561,0.0385,0.0289,0.0617,0.0517
25,EPS,-1.00,-0.50,-28.50,-0.79,-0.28,-0.60,-0.12,-0.13,0.02,0.02,0.02,-0.03,0.07,0.09,0.10,0.00,0.01,0.06,0.04,0.05,0.15,0.11
26,EPS Diluted,-1.00,-0.50,-28.50,-0.79,-0.28,-0.60,-0.12,-0.13,0.02,0.02,0.02,-0.03,0.07,0.08,0.09,0.00,0.01,0.06,0.04,0.05,0.15,0.10
27,Weighted Average Shares Outstanding,4152160,3965860,93240,5201000,11026000,17950000,24061000,24728000,26065000,26111000,26111000,26111201,26111201,26111201,26198701,26975312,27701911,28322160,28361201,28361201,28361201,28361201
