,https://roic.ai/company/GP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,11043,10696,- -,3516156,6082561,13500403,11884578
2,COGS,- -,- -,- -,- -,- -,- -,- -,2267765,4224419,9447578,8304438
3,Gross Profit,- -,- -,- -,- -,11043,- -,- -,1248391,1858142,4052825,3580140
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,- -,0.3550,0.3055,0.3002,0.3012
5,Research and Development Exp.,- -,- -,- -,- -,- -,257660,312278,251826,437208,973146,939949
6,General and Administrative Exp.,10195,105018,33495,179585,2078035,1139878,1986867,2877035,3605057,5132359,7633243
7,Selling and Marketing Exp.,- -,- -,- -,- -,85024,232453,234395,404610,417111,549750,234445
8,"Selling, General and Administrative Exp.",10195,105018,33495,179585,2163060,1372331,2221262,3281645,4022168,5682109,7867688
9,Other Expenses,- -,- -,- -,- -,46834,- -,- -,525228,516208,625002,771192
10,Operating Expenses,- -,- -,- -,- -,2209894,1629991,2533540,4058699,4975584,7280257,9578829
11,COGS and Expenses,10195,105018,33495,179585,2209894,1731468,2711038,6326464,9200003,16727835,17883267
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,6534,11916,24908,95629,563411,1400923,2133824,1598588
14,Depreciation and Amortization,- -,- -,- -,- -,46834,101477,177498,525228,516208,578555,437263
15,EBITDA,-10195,-105018,-8212,-184226,-2702933,-1613481,-2533540,-2295501,-2627020,-2433587,-5800903
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-244.7699,-150.8490,-Infinity,-0.6528,-0.4319,-0.1803,-0.4881
17,Operating Income,-10195,-105018,-58779,-1254544,-2198851,-1720772,-2711038,-3355323,-4465920,-5145966,-7836754
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-199.1216,-160.8800,-Infinity,-0.9543,-0.7342,-0.3812,-0.6594
19,Total Other Income Expenses (Gains),- -,- -,- -,1079600,-562832,-19094,-102179,-28817,-78231,- -,- -
20,Income Before Tax,- -,- -,-58779,-174944,-2761682,-1739866,-2813217,-3384140,-4544151,-5145966,-7836754
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-250.0901,-162.6651,-Infinity,-0.9625,-0.7471,-0.3812,-0.6594
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-610000,- -,- -,- -
23,Net Income,-10195,-105018,-58779,-174944,-2761682,-1739866,-2813217,-2774140,-4544151,-5145966,-7836754
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-250.0901,-162.6651,-Infinity,-0.7890,-0.7471,-0.3812,-0.6594
25,EPS,-0.07,-0.28,-0.14,-0.19,-0.33,-0.14,-0.21,-0.21,-0.35,-0.35,-0.43
26,EPS Diluted,-0.07,-0.28,-0.14,-0.19,-0.33,-0.14,-0.21,-0.21,-0.35,-0.35,-0.43
27,Weighted Average Shares Outstanding,150149,401404,485713,7335788,9031819,11305214,12443851,13180301,13356652,15220288,18116129
28,Weighted Average Shares Outstanding Diluted,150149,401404,485713,7335788,9031819,11305214,12443851,13180301,13356652,15220288,18116129
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,95656,340356,263724,109174,1165126,1046609,56995,1007329,198920,299696,15096200
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,95656,340356,263724,109174,1165126,1046609,56995,1007329,198920,299696,15096200
34,Net Receivables,- -,10009,16082,210539,48813,15171,20490,261903,1514966,1059706,4847877
35,Inventory,- -,- -,- -,- -,545166,2242254,1209786,3246088,5157918,6590600,12461967
36,Other Current Assets,- -,0,- -,17121,28386,24175,32435,68462,59503,173992,534894
37,Total Current Assets,95656,350365,279806,336834,1787491,3328209,1319706,4583782,6931307,8123994,32940938
38,PP&E,- -,- -,- -,621078,584658,620036,3152849,2328540,2391701,2359720,2501754
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1174956,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,37298,26034,46927,- -,- -,- -,47042,578144,2587291,2723965,4176663
45,Total Non-Current Assets,37298,26034,46927,621078,584658,620036,3199891,2906684,4978992,5083685,6678417
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,132954,376399,326733,957913,2372149,3948245,4519597,7490466,11910299,13207679,39619355
48,Accounts Payable,- -,- -,- -,- -,255305,776625,868639,451893,- -,950041,- -
49,Short-Term Debt,- -,- -,- -,191850,- -,- -,54675,1369508,5446649,5811024,612208
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,50082,- -,224177,224177,582197,823904,619798,125005
52,Other Current Liabilities,- -,7299,27055,-167440,462359,425354,172326,- -,815930,- -,1395350
53,Total Current Liabilities,- -,7299,27055,74492,717664,1426156,1319817,2403598,7086483,7380863,2132563
54,Long-Term Debt,- -,- -,- -,- -,- -,472927,1022553,2796058,4134129,6041919,485887
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,123065,775323,- -,848457
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,472927,1022553,2919123,4909452,6041919,1334344
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13043691,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,718288,659118,386651
61,Total Liabilities,- -,7299,27055,74492,717664,1899083,2342370,5322721,11995935,14382635,3466907
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,12686476,12984796,16892725,61189736
64,Retained Earnings,-10195,-115047,-170508,-331827,-5700174,-8492782,-11305999,-14080139,-18706668,-23852634,-31625388
65,Other Comprehensive Income/Loss,- -,- -,57276,- -,769480,1308126,1271512,3167558,5253142,5405447,6588100
66,Other Total Stockholders Equity,143149,484147,470186,1215248,7409394,10704190,13822049,393850,383094,379506,- -
67,Total Stockholders Equity,132954,369100,299678,229373,1654485,2049162,2177227,2167745,-85636,-1174956,36152448
68,Total Liabilities And Stockholders Equity,- -,376399,326733,303864,2372149,3948245,4519597,7490466,11910299,13207679,39619355
69,Minority Interest,132954,- -,- -,654048,0,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,132954,376399,326733,957913,2372149,3948245,4519597,7490466,11910299,13207679,39619355
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-10195,-105018,-58779,-174944,-2761682,-1739866,-2813217,-2774140,-4544151,-5145966,-7836754
74,Depreciation and Amortization,- -,- -,- -,- -,46834,101477,177498,525228,516208,578555,437263
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-610000,- -,- -,- -
