,https://roic.ai/company/MGP,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,467548000,765695000,1002444000,881078000,792597000,782063000
2,COGS,48346000,48122000,65120000,88254000,207584000,23681000,23681000,23648000
3,Gross Profit,-48346000,-48122000,402428000,677441000,794860000,857397000,768916000,758415000
4,Gross Profit Ratio,-Infinity,-Infinity,0.8607,0.8847,0.7929,0.9731,0.9701,0.9698
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11634000,10351000,12839000,12189000,16178000,16516000,16076000,18055000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11634000,10351000,12839000,12189000,16178000,16516000,16076000,18055000
9,Other Expenses,186262000,196816000,220667000,260455000,273031000,294705000,236853000,235485000
10,Operating Expenses,197896000,207167000,233506000,272644000,289209000,311221000,252929000,253540000
11,COGS and Expenses,246242000,255289000,298626000,360898000,496793000,334902000,276610000,277188000
12,Interest Income ,- -,- -,774000,3907000,2501000,3219000,4345000,593000
13,Interest Expense (Gain),- -,- -,116212000,184175000,215532000,249944000,228786000,265942000
14,Depreciation and Amortization,186262000,196816000,220667000,260455000,273031000,294705000,236853000,235485000
15,EBITDA,-59980000,-51808000,374489000,491311000,566463000,642507000,551502000,716258000
16,EBITDA ratio,-Infinity,-Infinity,0.8010,0.6417,0.5651,0.7292,0.6958,0.9159
17,Operating Income,-246242000,-255289000,153774000,352785000,475759000,546176000,515987000,368568000
18,Operating Income ratio,-Infinity,-Infinity,0.3289,0.4607,0.4746,0.6199,0.6510,0.4713
19,Total Other Income Expenses (Gains),- -,-6665000,-116164000,-181889000,-220222000,-279229000,-345882000,- -
20,Income Before Tax,-246242000,-261954000,37610000,170896000,255537000,266947000,170105000,368568000
21,Income Before Tax Ratio,-Infinity,-Infinity,0.0804,0.2232,0.2549,0.3030,0.2146,0.4713
22,Income Tax expense (Gain),- -,- -,2264000,4906000,10835000,7598000,9734000,9328000
23,Net Income,-246242000,-261954000,35346000,41775000,67065000,90260000,76129000,205503000
