,https://roic.ai/company/GLMD,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,467000,1085000,2038000,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,2443000,7207000,6664000,7629000,14271000,9650000,8313000,18180000,26082000
6,General and Administrative Exp.,694000,7355000,2478000,3246000,3078000,3799000,4440000,4196000,4128000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",694000,7355000,2478000,3246000,3078000,3799000,4440000,4196000,4128000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3137000,14562000,9142000,10875000,17349000,13449000,12753000,22376000,30210000
11,COGS and Expenses,3137000,14562000,9142000,10875000,17349000,13449000,12753000,22376000,30210000
12,Interest Income ,-6000,-2912000,40000,253000,35000,65000,959000,1953000,1192000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5000,4000,9000,50000,169000,239000,387000,35000,39000
15,EBITDA,-3132000,-14558000,9111000,10672000,-16678000,-12060000,-9394000,-22341000,-30449000
16,EBITDA ratio,-Infinity,-Infinity,Infinity,Infinity,-35.7131,-11.1152,-4.6094,-Infinity,-Infinity
17,Operating Income,-3137000,-14572000,-9142000,-10875000,-16882000,-12364000,-10715000,-22376000,-30210000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-36.1499,-11.3954,-5.2576,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-6000,-2912000,18244000,21497000,35000,65000,934000,1915000,1439000
20,Income Before Tax,-3143000,-17484000,9102000,10622000,-16847000,-12299000,-9781000,-20461000,-28771000
21,Income Before Tax Ratio,-Infinity,-Infinity,Infinity,Infinity,-36.0749,-11.3355,-4.7993,-Infinity,-Infinity
22,Income Tax expense (Gain),6000,1000,- -,- -,106000,- -,75000,- -,- -
23,Net Income,-3149000,-17485000,9103000,10622000,-16953000,-12299000,-9856000,-20461000,-28771000
24,Net Income ratio,-Infinity,-Infinity,Infinity,Infinity,-36.3019,-11.3355,-4.8361,-Infinity,-Infinity
25,EPS,-0.62,-3.45,-0.88,-0.96,-1.49,-0.98,-0.54,-0.97,-1.35
26,EPS Diluted,-0.62,-3.45,-0.88,-0.96,-1.49,-0.98,-0.54,-0.97,-1.35
27,Weighted Average Shares Outstanding,5069466,5069466,10323686,11100453,11374653,12487653,18137689,21114399,21280787
28,Weighted Average Shares Outstanding Diluted,5069466,5069466,10323686,11100453,11374653,12487653,18137689,21114399,21280787
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1595353/000114420415019665/0001144204-15-019665-index.htm,https://www.sec.gov/Archives/edgar/data/1595353/000114420416089349/0001144204-16-089349-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420417016148/0001144204-17-016148-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420418014234/0001144204-18-014234-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000114420419013601/0001144204-19-013601-index.html,https://www.sec.gov/Archives/edgar/data/1595353/000110465920032166/0001104659-20-032166-index.html,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,718000,137000,23736000,4156000,3097000,13021000,24159000,15931000,6947000
32,Short-Term Investments,- -,- -,8250000,18845000,12351000,5976000,66029000,59560000,43939000
33,Cash and Short-Term Investments,718000,137000,31986000,23001000,15448000,18997000,90188000,75491000,50886000
34,Net Receivables,10000,11000,64000,109000,30000,55000,51000,226000,66000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4000,5000,101000,270000,254000,100000,167000,713000,859000
37,Total Current Assets,732000,153000,32151000,23380000,15732000,19152000,90406000,76430000,51811000
38,PP&E,30000,13000,774000,883000,718000,491000,194000,709000,570000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
