,https://roic.ai/company/CXDO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,100000,27424759,43000533,37350850,53225083,81027517,39075000,185089000,151617000,128048000,- -,65793000,48024000,17167000,10328000,7594000,7823000,9119000,10377000,11908000,14436000,16387000,28092000
2,COGS,- -,-400000,8671964,8425575,6525800,10902370,18746270,29276000,30966000,46997000,38155000,- -,21774000,17729000,5092000,4091000,3582000,3577000,3625000,3457000,3819000,4351000,4947000,10660000
3,Gross Profit,- -,500000,18752795,34574958,30825050,42322713,62281247,9799000,154123000,104620000,89893000,- -,44019000,30295000,12075000,6237000,4012000,4246000,5494000,6920000,8089000,10085000,11440000,17432000
4,Gross Profit Ratio,- -,5.0000,0.6838,0.8041,0.8253,0.7952,0.7686,0.2508,0.8327,0.6900,0.7020,- -,0.6691,0.6308,0.7034,0.6039,0.5283,0.5428,0.6025,0.6669,0.6793,0.6986,0.6981,0.6205
5,Research and Development Exp.,- -,- -,6462999,1804986,51805,- -,358391,788000,916000,1243000,2113000,- -,3090000,3262000,1985000,1692000,1604000,779000,826000,750000,801000,853000,1189000,1396000
6,General and Administrative Exp.,- -,11000000,44152471,31508676,26387243,- -,- -,- -,- -,- -,- -,- -,14597000,12215000,12228000,6970000,6727000,5862000,4900000,4071000,4091000,4235000,5107000,10586000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32906000,20709000,3977000,3055000,2280000,2444000,2531000,2924000,3403000,3862000,4153000,8260000
8,"Selling, General and Administrative Exp.",- -,11000000,44152471,31508676,26387243,- -,- -,- -,- -,- -,- -,- -,47503000,32924000,16205000,10025000,9007000,8306000,7431000,6995000,7494000,8097000,9260000,18846000
9,Other Expenses,- -,700000,6478041,1296519,668730,38073524,53964960,41634000,53941000,83947000,91033000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10660000
