,https://roic.ai/company/AXAS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,500000,1500000,3400000,7500000,11300000,13800000,26653000,70931000,60084000,66770000,76600000,77243000,22307000,39019000,33854000,48625000,51723000,48302000,100310000,52750000,59030000,64622000,68573000,94331000,133776000,67030000,56555000,86264000,149167000,129146000,43043000,78858000
2,COGS,700000,600000,1400000,400000,100000,100000,6289000,21029000,79836000,20303000,717000,702000,567000,609000,671000,11850000,12595000,12055000,27491000,758000,6713000,5766000,31419000,60503000,37337000,29753000,24323000,22425000,36323000,39562000,- -,- -
3,Gross Profit,-200000,900000,2000000,7100000,11200000,13700000,20364000,49902000,-19752000,46467000,75883000,76541000,21740000,38410000,33183000,36775000,39128000,36247000,72819000,51992000,52317000,58856000,37154000,33828000,96439000,37277000,32232000,63839000,112844000,89584000,43043000,- -
4,Gross Profit Ratio,-0.4000,0.6000,0.5882,0.9467,0.9912,0.9928,0.7640,0.7035,-0.3287,0.6959,0.9906,0.9909,0.9746,0.9844,0.9802,0.7563,0.7565,0.7504,0.7259,0.9856,0.8863,0.9108,0.5418,0.3586,0.7209,0.5561,0.5699,0.7400,0.7565,0.6937,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1100000,700000,1200000,500000,800000,1000000,1933000,4171000,5522000,5269000,9660000,3678000,- -,- -,- -,- -,- -,- -,7127000,7705000,8869000,- -,10712000,12876000,13378000,11788000,13562000,16276000,12041000,11304000,8783000,8116000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1100000,700000,1200000,500000,800000,1000000,1933000,4171000,5522000,5269000,9660000,3678000,5082000,6466000,6431000,5757000,5160000,6438000,7127000,7705000,8869000,9433000,10712000,12876000,13378000,11788000,13562000,16276000,12041000,11304000,8783000,8116000
9,Other Expenses,600000,400000,1000000,5300000,8000000,9900000,9605000,30581000,31226000,54085000,54640000,51100000,17564000,89335000,28341000,8914000,14393000,12193000,23343000,44110000,35854000,37775000,23016000,- -,43139000,38721000,24431000,26226000,43275000,52703000,233678000,40258000
