,https://roic.ai/company/VRME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11803,126299,62121,108187,209158,120000,300000,60000,20000,50000,10000,20000,- -,124600,217270,37060,- -,74880,244750,343000,867000
2,COGS,- -,- -,- -,- -,- -,20000,200000,20000,- -,- -,- -,- -,- -,113020,65720,24360,- -,28800,45060,62000,268000
3,Gross Profit,11803,126299,62121,108187,209158,100000,100000,40000,20000,50000,10000,10000,- -,11580,151550,12700,- -,46080,199690,281000,599000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,0.8333,0.3333,0.6667,1.0000,1.0000,1.0000,0.5000,- -,0.0929,0.6975,0.3427,- -,0.6154,0.8159,0.8192,0.6909
5,Research and Development Exp.,173412,141748,93977,310615,148552,30000,20000,20000,20000,10000,10000,10000,660000,10590270,2412830,250180,128040,187660,5120,19000,51000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,1170000,660000,460000,450000,480000,460000,810000,10510000,2641740,2522400,3082820,2460940,2037460,2380890,2151000,4216000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,651000,1163000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,1170000,660000,460000,450000,480000,460000,810000,10510000,2641740,2522400,3082820,2460940,2037460,2380890,2802000,5379000
9,Other Expenses,1221175,1037082,1052161,1210000,1327418,224753,126810,90000,60000,36695,66339,270743,471599,344899,458805,414030,246524,416763,246252,1028000,- -
10,Operating Expenses,1394587,1178830,1146138,1520615,1475970,1424753,806810,570000,530000,526695,536339,1090743,11641599,13576909,5394035,3747030,2835504,2641883,2632262,3849000,5430000
11,COGS and Expenses,1394587,1178830,1146138,1520615,1475970,1430000,1010000,590000,530000,530000,350000,940000,12870000,13771930,5127240,3771390,2835500,2235010,2677320,3911000,5698000
12,Interest Income ,20485,1778,1445,5922,5376,3604,1027,- -,- -,17,59,1,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,29270,- -,- -,308360,258926,-410000,-190000,248077,321586,277371,127825,199364,61438,12871,218316,- -,- -,2053000,- -
14,Depreciation and Amortization,33988,278988,119700,9469,13105,264535,157263,- -,- -,13614,10904,13471,81929,82362,94123,30199,43095,20963,34294,98000,117000
15,EBITDA,-1328311,-771765,-958150,-1397037,-1253706,-1037105,-553811,-1340000,-880000,-458309,-337510,-909158,-12780000,-7636774,-2146329,-1603190,-2792400,-2911497,-2473506,-3751000,3729000
16,EBITDA ratio,-112.5401,-6.1106,-15.4239,-12.9132,-5.9941,-8.6425,-1.8460,-22.3333,-44.0000,-9.1662,-33.7510,-45.4579,-Infinity,-61.2903,-9.8786,-43.2593,-Infinity,-38.8822,-10.1063,-10.9359,4.3010
17,Operating Income,-1382784,-1052531,-1084017,-1412428,-1266812,-1301649,-707263,-520000,-510000,-473781,-527828,-1077797,-11641169,-13565335,-5242490,-3734338,-2835504,-2595801,-2432573,- -,- -
18,Operating Income ratio,-117.1553,-8.3336,-17.4501,-13.0554,-6.0567,-10.8471,-2.3575,-8.6667,-25.5000,-9.4756,-52.7828,-53.8899,-Infinity,-108.8711,-24.1289,-100.7647,-Infinity,-34.6661,-9.9390,- -,- -
19,Total Other Income Expenses (Gains),20485,1778,-23103,5922,1,-308351,-262737,-410000,-180000,-246219,-142172,-122203,-4748831,5646835,2940600,2088078,-549836,-336659,-75227,-2334000,8175000
