,https://roic.ai/company/PRKR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1000000,1200000,3900000,9300000,10800000,9900000,10500000,15964587,9315445,11911913,6738069,440811,995991,- -,283675,- -,64412,63735,- -,- -,- -,- -,10780,4064187,100000,135000,74000,- -,144000
2,COGS,200000,300000,2000000,5500000,5500000,5000000,5000000,6769494,6053804,7209285,4665673,525857,786228,- -,251314,- -,54440,46401,- -,- -,- -,- -,12219,341979,200000,1237000,79000,- -,5000
3,Gross Profit,800000,900000,1900000,3800000,5300000,4900000,5500000,9195093,3261641,4702628,2072396,-85046,209763,- -,32361,- -,9972,17334,- -,- -,- -,- -,-1439,3722208,-100000,-1102000,-5000,- -,139000
4,Gross Profit Ratio,0.8000,0.7500,0.4872,0.4086,0.4907,0.4949,0.5238,0.5760,0.3501,0.3948,0.3076,-0.1929,0.2106,- -,0.1141,- -,0.1548,0.2720,- -,- -,- -,- -,-0.1335,0.9159,-1.0000,-8.1630,-0.0676,- -,0.9653
5,Research and Development Exp.,- -,- -,1200000,1500000,3300000,3800000,6200000,12601496,12796442,13939480,15025747,11422701,10284305,9521194,10700181,14618903,13504799,8882730,8423683,8447639,10406362,8497914,5456037,3343327,4344000,2875000,334000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,4000000,5300000,6400000,8800000,9840708,8808613,8888765,9453442,8528650,9178983,7350479,8404163,8813198,5962309,4616105,4802503,10297238,15787599,12302298,10147863,16317724,14061000,10427000,7602000,10664000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2092148,1646779,1449501,1638156,1755130,2866766,1458791,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2700000,4300000,3700000,4000000,5300000,6400000,8800000,9840708,8808613,8888765,9453442,8528650,9178983,7350479,8404163,8813198,8054457,6262884,6252004,11935394,17542729,15169064,11606654,16317724,14061000,10427000,7602000,10664000,8088000
9,Other Expenses,300000,300000,400000,500000,600000,900000,1500000,1720383,-12024,51643,84007,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3000000,4600000,5300000,6000000,9200000,11100000,16500000,24162587,21593031,22879888,24563196,19951351,19463288,16871673,19104344,23432101,21559256,15145614,14675687,20383033,27949091,23666978,17062691,19661051,18405000,13302000,7936000,10664000,8088000
11,COGS and Expenses,3200000,4900000,7300000,11500000,14700000,16100000,21500000,30932081,27646835,30089173,29228869,20477208,20249516,16871673,19355658,23432101,21613696,15192015,14675687,20383033,27949091,23666978,17074910,20003030,18605000,14539000,8015000,10664000,8093000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1948610,1720923,905438,476002,217382,303729,1050824,876421,358204,36085,109187,108050,70064,83892,104943,10862,17834,26000,2000,3000,- -,- -
13,Interest Expense (Gain),200000,300000,300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16412,8426,5716,8843,7094,6920,21739,67904,69000,116000,421000,547000,251000
14,Depreciation and Amortization,300000,300000,400000,500000,600000,900000,1500000,1720383,2850856,3232236,3108323,3143821,2487761,1692058,1649014,1620550,1741199,1689218,1327794,1238044,1252142,1389115,1308511,1374577,1301000,1209000,835000,632000,368000
15,EBITDA,-1900000,-3100000,-3100000,-1100000,-2300000,-3800000,-8200000,-11301390,-13759611,-14039586,-18906475,-11670722,-20611687,-15179615,-16564408,-21811551,-19772000,-13329875,-13347893,-19144989,-26696949,-22277863,-15744757,-19406789,-17889000,-19544000,-8197000,-18946000,-11711000
16,EBITDA ratio,-1.9000,-2.5833,-0.7949,-0.1183,-0.2130,-0.3838,-0.7810,-0.7079,-1.4771,-1.1786,-2.8059,-26.4756,-20.6947,-Infinity,-58.3922,-Infinity,-306.9614,-209.1453,-Infinity,-Infinity,-Infinity,-Infinity,-1460.5526,-4.7751,-178.8900,-144.7704,-110.7703,-Infinity,-81.3264
17,Operating Income,2200000,3700000,3400000,2200000,-3900000,6200000,-11000000,14967494,18331390,18177260,22490800,22805251,21504111,16871673,19071983,23432101,21549284,15128280,-14675687,20383033,27949091,23666978,17064130,15938843,-18505000,-14404000,-7941000,-19578000,-7949000
18,Operating Income ratio,2.2000,3.0833,0.8718,0.2366,-0.3611,0.6263,-1.0476,0.9375,1.9678,1.5260,3.3379,51.7348,21.5907,Infinity,67.2318,Infinity,334.5539,237.3622,-Infinity,Infinity,Infinity,Infinity,1582.9434,3.9218,-185.0500,-106.6963,-107.3108,-Infinity,-55.2014
19,Total Other Income Expenses (Gains),- -,300000,-200000,600000,1000000,1500000,-100000,-2889,12024,-51643,-84007,-2768854,-4149652,5191,-17860,- -,- -,- -,- -,-40704845,-55821384,-47235933,-34139137,-36788113,-754000,-6465000,-1512000,- -,-4381000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20321812,-27872293,-23568955,-17075007,-20849270,-19259000,-20869000,-9453000,-19578000,-12330000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-1583.9524,-5.1300,-192.5900,-154.5852,-127.7432,-Infinity,-85.6250
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000,- -,- -,- -,- -,- -
23,Net Income,-2400000,-3700000,-3800000,-1700000,-2900000,-4700000,-9700000,-13021773,-16610467,-17271822,-22014798,-14814543,-23099448,-15815658,-18213422,-23073897,-21529611,-15027519,-14573353,-20321812,-27872293,-23568955,-17075007,-21509270,-19259000,-20869000,-9453000,-19578000,-12330000
24,Net Income ratio,-2.4000,-3.0833,-0.9744,-0.1828,-0.2685,-0.4747,-0.9238,-0.8157,-1.7831,-1.4500,-3.2672,-33.6075,-23.1924,-Infinity,-64.2052,-Infinity,-334.2484,-235.7813,-Infinity,-Infinity,-Infinity,-Infinity,-1583.9524,-5.2924,-192.5900,-154.5852,-127.7432,-Infinity,-85.6250
25,EPS,-4.60,-4.20,-4.30,-1.70,-2.80,-4.10,-8.30,-10.30,-12.00,-12.40,-14.30,-8.20,-11.40,-6.80,-7.40,-8.80,-6.50,-3.50,-2.40,-2.70,-3.10,-2.40,-1.74,-1.76,-1.09,-0.85,-0.30,-0.42,-0.39
26,EPS Diluted,-4.60,-4.20,-4.30,-1.70,-2.80,-4.10,-8.30,-10.30,-12.00,-12.40,-14.30,-8.20,-11.40,-6.80,-7.40,-8.80,-6.50,-3.50,-2.40,-2.70,-3.10,-2.40,-1.74,-1.76,-1.09,-0.85,-0.30,-0.42,-0.39
27,Weighted Average Shares Outstanding,500000,880952,883721,1000000,1035714,1146341,1168675,1264250,1384206,1392889,1539496,1806652,2026267,2325832,2461273,2634121,3296381,4296022,6003885,7599927,8896804,9622595,9842334,12244254,17688000,24429000,31461000,47019000,31461000
