,https://roic.ai/company/GSKY,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,173457000,263865000,325887000,414673000,529646000,525649000,518074000
2,COGS,36506000,79145000,89708000,160439000,248580000,307948000,198904000
3,Gross Profit,136951000,184720000,236179000,254234000,281066000,217701000,319170000
4,Gross Profit Ratio,0.7895,0.7001,0.7247,0.6131,0.5307,0.4142,0.6161
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,39092000,58438000,79588000,90973000,125609000,147141000,- -
7,Selling and Marketing Exp.,861000,1085000,2198000,3781000,4089000,- -,- -
8,"Selling, General and Administrative Exp.",39953000,59523000,81786000,94754000,129698000,147141000,37507000
9,Other Expenses,3892000,5386000,8794000,6690000,30415000,18020000,- -
10,Operating Expenses,43845000,64909000,90580000,101444000,160113000,165161000,37507000
11,COGS and Expenses,80351000,144054000,180288000,261883000,408693000,473109000,356872000
12,Interest Income ,1912000,7302000,5180000,6111000,6057000,1167000,- -
13,Interest Expense (Gain),- -,- -,7536000,23584000,23860000,25024000,-26269000
14,Depreciation and Amortization,2356000,3708000,3983000,4478000,7304000,11330000,- -
15,EBITDA,96175000,128172000,150187000,57852000,56019000,47916000,105425000
16,EBITDA ratio,0.5545,0.4857,0.4609,0.1395,0.1058,0.0912,0.2035
17,Operating Income,93106000,119811000,145599000,152790000,120953000,52540000,161202000
18,Operating Income ratio,0.5368,0.4541,0.4468,0.3685,0.2284,0.1000,0.3112
19,Total Other Income Expenses (Gains),713000,4653000,-6931000,-19276000,-32105000,-22281000,-29508000
20,Income Before Tax,93819000,124464000,138668000,133514000,88848000,30259000,131694000
21,Income Before Tax Ratio,0.5409,0.4717,0.4255,0.3220,0.1677,0.0576,0.2542
22,Income Tax expense (Gain),- -,- -,- -,5534000,-7125000,1597000,13880000
23,Net Income,93819000,124464000,138668000,24256000,31980000,9965000,117814000
24,Net Income ratio,0.5409,0.4717,0.4255,0.0585,0.0604,0.0190,0.2274
25,EPS,0.92,2.40,0.46,0.43,0.52,0.15,1.56
26,EPS Diluted,0.25,0.66,0.45,0.41,0.49,0.14,1.14
27,Weighted Average Shares Outstanding,51836157,51836157,51836157,56409302,61500000,66433333,75670931
28,Weighted Average Shares Outstanding Diluted,189508399,189508399,189508399,59160976,179448045,71178571,103045444
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1712923/000171292319000008/0001712923-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1712923/000171292320000010/0001712923-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1712923/000171292321000017/0001712923-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1712923/000171292322000012/0001712923-22-000012-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,185243000,224614000,303390000,195760000,147775000,296406000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,185243000,224614000,303390000,195760000,147775000,296406000
34,Net Receivables,- -,59465000,92182000,18418000,71575000,593373000,5320000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,42871000,129224000,155109000,250081000,319879000,- -
37,Total Current Assets,- -,287579000,446020000,476917000,517416000,1061027000,301726000
38,PP&E,- -,7018000,7848000,10232000,29577000,21452000,23387000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,306979000,364841000,387951000,488386000
44,Other Non-Current Assets,- -,7608000,9021000,8777000,39214000,52643000,- -
45,Total Non-Current Assets,- -,14626000,16869000,325988000,433632000,462046000,511773000
46,Other Assets,- -,- -,- -,- -,- -,- -,1398807000
47,Total Assets,- -,302205000,462889000,802905000,951048000,1523073000,1188760000
48,Accounts Payable,- -,2680000,6845000,5357000,11912000,15418000,11748000
49,Short-Term Debt,- -,- -,- -,- -,- -,502830000,- -
50,Tax Payable,- -,- -,- -,4412000,873000,691000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7837000,20670000,287955000,331207000,-173126000,- -
53,Total Current Liabilities,- -,10517000,27515000,293312000,343119000,345122000,11748000
54,Long-Term Debt,- -,- -,338263000,386822000,384497000,452806000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,415198000,553498000,157536000,278375000,900621000,1205162000
58,Total Non-Current Liabilities,- -,415198000,891761000,544358000,662872000,1353427000,1205162000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,13884000,502830000,- -
61,Total Liabilities,- -,425715000,919276000,837670000,1005991000,1698549000,1216910000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,-283529000,-554906000,720000,914000,1019000,1374000
64,Retained Earnings,- -,160019000,98519000,24218000,56109000,33751000,75819000
65,Other Comprehensive Income/Loss,- -,-5504000,-6338000,-8019000,-756000,-4340000,- -
66,Other Total Stockholders Equity,- -,5504000,6338000,8665000,-30452000,-36422000,- -
67,Total Stockholders Equity,- -,-123510000,-456387000,25584000,25815000,-5992000,-28150000
68,Total Liabilities And Stockholders Equity,- -,302205000,462889000,863254000,1031806000,1692557000,1188760000
69,Minority Interest,- -,- -,- -,-60349000,-80758000,-169484000,- -
70,Total Liabilities & Equity,- -,302205000,462889000,802905000,951048000,1523073000,1188760000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1712923/000171292319000008/0001712923-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1712923/000171292320000010/0001712923-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1712923/000171292321000017/0001712923-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1712923/000171292322000012/0001712923-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,93819000,124464000,138668000,24256000,31980000,9965000,117814000
74,Depreciation and Amortization,2356000,3708000,3983000,4478000,7304000,11330000,- -
75,Deferred Income Tax,- -,- -,- -,5525000,2665000,2983000,- -
76,Stock Based Compensation,1094000,2288000,4252000,6054000,13769000,14923000,- -
77,Change in Working Capital,20634000,272395000,141443000,-234900000,-9308000,541608000,-425927000
78,Accounts Receivable,-1597000,-3778000,-2412000,2958000,-4049000,-2465000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-687000,440000,3222000,-1488000,6860000,3506000,- -
81,Other Working Capital,4667000,277062000,418505000,183605000,174297000,715905000,289978000
82,Other Non-Cash Items,270000,-280912000,-127952000,451013000,106917000,-1048910000,939014000
83,Cash Provided by Operating Activities,118173000,121943000,160394000,256426000,153327000,-468101000,630901000
84,CAPEX,-3251000,-4666000,-4135000,-6581000,-15381000,-14567000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-15602000
89,Cash Used for Investing Activites,-3251000,-4666000,-4135000,-6581000,-15381000,-14567000,-15602000
90,Debt Repayment,- -,- -,-866000,-352094000,-3958000,-353548000,- -
91,Common Stock Issued,10000000,- -,200000000,954974000,- -,- -,- -
92,Common Stock Repurchased,-10970000,-539000,-447000,-997188000,-104272000,- -,- -
93,Dividends Paid,-39485000,-46905000,-561935000,-141518000,-23468000,-51041000,- -
94,Other Financing Activites,-32000,48169000,332713000,390642000,-18906000,909070000,-537066000
