,https://roic.ai/company/HMTV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,60797000,71367000,86005000,111989000,129790000,138525000,124464000,147079000,149387000,151184000,195650000
2,COGS,28985000,32409000,33950000,36450000,41189000,41293000,39965000,42174000,43138000,48309000,59555000
3,Gross Profit,31812000,38958000,52055000,75539000,88601000,97232000,84499000,104905000,106249000,102875000,136095000
4,Gross Profit Ratio,0.5232,0.5459,0.6053,0.6745,0.6826,0.7019,0.6789,0.7133,0.7112,0.6805,0.6956
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,29678000,31608000,36037000,38333000,39437000,44499000,44761000,44646000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,29678000,31608000,36037000,38333000,39437000,44499000,44761000,44646000,93813000
9,Other Expenses,16449000,18093000,14456000,17834000,17664000,18870000,19729000,17554000,13984000,14698000,91380000
10,Operating Expenses,16449000,18093000,44134000,49442000,53701000,57203000,59166000,62053000,58745000,59344000,185193000
11,COGS and Expenses,45434000,50502000,78084000,85892000,94890000,98496000,99131000,104227000,101883000,107653000,244748000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3627000,3551000,7177000,11925000,12086000,11651000,10905000,12132000,11953000,10376000,-11983000
14,Depreciation and Amortization,9406000,11094000,18084000,26922000,28921000,28790000,28034000,28590000,26667000,28867000,- -
15,EBITDA,24621000,31960000,24094000,51833000,63788000,68813000,44209000,40087000,47339000,47000000,4042000
16,EBITDA ratio,0.4050,0.4478,0.2801,0.4628,0.4915,0.4968,0.3552,0.2726,0.3169,0.3109,0.0207
17,Operating Income,15402000,20866000,7722000,26027000,34867000,40023000,25356000,44732000,49243000,41700000,10457000
18,Operating Income ratio,0.2533,0.2924,0.0898,0.2324,0.2686,0.2889,0.2037,0.3041,0.3296,0.2758,0.0534
19,Total Other Income Expenses (Gains),-3814000,-3551000,-8889000,-13041000,-12086000,-11651000,-20086000,-45258000,-40628000,-34846000,5568000
20,Income Before Tax,11588000,17315000,-1167000,12986000,22781000,28372000,5270000,-526000,8615000,6854000,16025000
21,Income Before Tax Ratio,0.1906,0.2426,-0.0136,0.1160,0.1755,0.2048,0.0423,-0.0036,0.0577,0.0453,0.0819
22,Income Tax expense (Gain),3984000,6285000,3130000,2429000,9042000,10372000,18706000,10271000,12086000,8992000,4994000
23,Net Income,7604000,11030000,-4297000,10557000,13739000,18000000,-13436000,-10906000,-3367000,-1235000,11031000
24,Net Income ratio,0.1251,0.1546,-0.0500,0.0943,0.1059,0.1299,-0.1080,-0.0742,-0.0225,-0.0082,0.0564
25,EPS,0.17,0.24,-0.14,0.25,0.32,0.43,-0.33,-0.28,-0.09,-0.03,0.28
26,EPS Diluted,0.17,0.24,-0.14,0.25,0.31,0.43,-0.33,-0.28,-0.09,-0.03,0.28
27,Weighted Average Shares Outstanding,45041100,45041100,31143000,42321000,42840000,41666000,40164000,38986000,39158000,39434000,39713000
28,Weighted Average Shares Outstanding Diluted,45041100,45041100,31143000,42622000,43802000,42274000,40164000,38986000,39158000,39434000,39713000
