,https://roic.ai/company/PLSE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,1418000
2,COGS,- -,- -,- -,- -,- -,- -,- -,1968000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-550000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.3879
5,Research and Development Exp.,- -,2578341,5988000,9646000,17253000,24961000,26444000,28640000
6,General and Administrative Exp.,- -,1224215,2933000,15503000,20045000,22327000,22856000,19073000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,14751000
8,"Selling, General and Administrative Exp.",- -,1224215,2933000,15503000,20045000,22327000,22856000,33824000
9,Other Expenses,- -,- -,665000,665000,665000,666000,665000,- -
10,Operating Expenses,- -,3802556,9586000,25814000,37963000,47954000,49965000,62464000
11,COGS and Expenses,- -,4467949,9586000,25814000,37963000,47954000,49965000,64432000
12,Interest Income ,- -,- -,68000,247000,446000,983000,114000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,646000
14,Depreciation and Amortization,- -,716984,759000,1001000,1310000,1160000,1095000,1146000
15,EBITDA,- -,-3750965,-8921000,-25149000,-37298000,-47288000,-49300000,-61868000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-43.6305
17,Operating Income,- -,-4467949,-9586000,-25814000,-37963000,-47954000,-49965000,-63014000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-44.4386
19,Total Other Income Expenses (Gains),- -,- -,68000,247000,418000,983000,114000,-646000
20,Income Before Tax,- -,-4467949,-9518000,-25567000,-37545000,-46971000,-49851000,-63660000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-44.8942
22,Income Tax expense (Gain),- -,-1656666,- -,- -,- -,- -,- -,- -
