,https://roic.ai/company/WMG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,3290000000,3376000000,1769000000,3502000000,3516000000,3385000000,3491000000,3176000000,2984000000,554000000,2780000000,2871000000,3027000000,2966000000,3246000000,3576000000,4005000000,4475000000,4463000000,5301000000
2,COGS,- -,1873000000,- -,944000000,1853000000,1825000000,1824000000,1832000000,1698000000,1572000000,286000000,1459000000,1499000000,1570000000,1511000000,1707000000,1931000000,2171000000,2401000000,2333000000,2742000000
3,Gross Profit,- -,1417000000,- -,825000000,1649000000,1691000000,1561000000,1659000000,1478000000,1412000000,268000000,1321000000,1372000000,1457000000,1455000000,1539000000,1645000000,1834000000,2074000000,2130000000,2559000000
4,Gross Profit Ratio,- -,0.4307,- -,0.4664,0.4709,0.4809,0.4612,0.4752,0.4654,0.4732,0.4838,0.4752,0.4779,0.4813,0.4906,0.4741,0.4600,0.4579,0.4635,0.4773,0.4827
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186000000,- -,- -,- -,- -,584000000,- -,814000000,764000000,1434000000,870000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,735000000,851000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-186000000,- -,- -,- -,- -,584000000,- -,814000000,764000000,2169000000,1721000000
9,Other Expenses,- -,2959000000,- -,781000000,1561000000,1411000000,1297000000,1452000000,1343000000,1322000000,- -,1212000000,1297000000,1438000000,1328000000,741000000,1423000000,803000000,954000000,190000000,229000000
10,Operating Expenses,- -,2959000000,- -,781000000,1561000000,1411000000,1297000000,1452000000,1343000000,1322000000,-186000000,1212000000,1297000000,1438000000,1328000000,1325000000,1423000000,1617000000,1718000000,2359000000,1950000000
11,COGS and Expenses,- -,4832000000,- -,1725000000,3418000000,3233000000,3170000000,3284000000,3041000000,2894000000,520000000,2671000000,2796000000,3008000000,2839000000,3050000000,3389000000,3819000000,4126000000,4692000000,4692000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,195000000,- -,- -,- -,- -,- -,- -,- -,- -,138000000,142000000,127000000,122000000
14,Depreciation and Amortization,- -,- -,- -,140000000,- -,- -,246000000,268000000,- -,- -,- -,244000000,258000000,321000000,309000000,293000000,251000000,261000000,269000000,261000000,306000000
