,https://roic.ai/company/MITC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,97149,356258,395691,245721,- -,- -,314320,318463,410289,49121,- -,- -,- -
2,COGS,- -,173443,2560605,2684183,950229,- -,- -,112459,225394,70779,70363,- -,- -,- -
3,Gross Profit,- -,-76294,-2204347,-2288492,-704508,- -,- -,201862,93069,339510,-21242,- -,- -,- -
4,Gross Profit Ratio,- -,-0.7853,-6.1875,-5.7835,-2.8671,- -,- -,0.6422,0.2922,0.8275,-0.4324,- -,- -,- -
5,Research and Development Exp.,3874098,3482850,3974081,4045192,766340,- -,- -,- -,- -,- -,- -,- -,2491000,7594000
6,General and Administrative Exp.,804791,1468589,3203222,3346295,1993608,474659,115564,286142,361358,741455,665127,433464,15532000,8662000
7,Selling and Marketing Exp.,- -,184267,834839,902522,156052,- -,- -,1537,1300,20716,531,- -,96000,525000
8,"Selling, General and Administrative Exp.",804791,1652855,4038061,4248818,2149660,474659,115564,287679,362658,762171,665658,816103,15628000,9187000
9,Other Expenses,843908,-188490,-244364,-150552,48181,- -,- -,39450,76431,87467,37438,- -,- -,451000
10,Operating Expenses,5522797,4947215,7767778,8143458,2964180,- -,- -,327129,439089,849637,703096,- -,18119000,17232000
11,COGS and Expenses,5522797,5120658,10328383,10827641,3914410,474659,115564,439587,664483,920417,773459,875592,18324000,17232000
12,Interest Income ,273550,64150,80891,1839,16328,574,- -,- -,- -,- -,- -,4332,- -,- -
13,Interest Expense (Gain),340153,124868,643181,405150,30782,124049,9245,21518,25477,61284,26817,866,8000,20000
14,Depreciation and Amortization,207475,103485,186585,312664,249469,2872,2054,7685,15858,28197,11683,21000,213000,680000
15,EBITDA,-7416501,-4638344,-11212546,-11053337,-3512637,-470065,-115564,-490821,796028,-901715,-1418671,-2313157,-18111000,-16552000
16,EBITDA ratio,-Infinity,-47.7446,-31.4731,-27.9343,-14.2952,-Infinity,-Infinity,-1.5615,2.4996,-2.1978,-28.8811,-Infinity,-Infinity,-Infinity
17,Operating Income,-5522797,-5023509,-9972125,-12397005,-3523076,-41062,-115564,-125267,-346020,-510128,-724338,-875592,-18541000,-17232000
18,Operating Income ratio,-Infinity,-51.7092,-27.9913,-31.3300,-14.3377,-Infinity,-Infinity,-0.3985,-1.0865,-1.2433,-14.7459,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),2101179,64414,-2400796,-1905938,-269812,-26131,-9245,-394758,1100712,-481068,-732834,-2482962,17000,-790000
20,Income Before Tax,- -,- -,- -,- -,-3792887,-67193,-124810,-520025,754692,-991196,-1457172,-3358554,-18524000,-18022000
21,Income Before Tax Ratio,- -,- -,- -,- -,-15.4357,-Infinity,-Infinity,-1.6544,2.3698,-2.4158,-29.6649,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-30047,106567,134144,109621,129574,-229294,- -,- -
23,Net Income,-2653564,-4866697,-12042311,-11771151,-3792887,-67193,-124810,-626591,620548,-1100817,-1586745,-3129260,-18524000,-18022000
24,Net Income ratio,-Infinity,-50.0951,-33.8022,-29.7483,-15.4357,-Infinity,-Infinity,-1.9935,1.9486,-2.6830,-32.3027,-Infinity,-Infinity,-Infinity
25,EPS,-63.70,-102.69,-182.92,-150.29,-32.12,-0.46,-0.46,-0.49,0.52,-0.86,-1.17,-1.65,-3.08,-0.23
26,EPS Diluted,-63.70,-102.69,-182.92,-150.29,-32.12,-0.46,-0.46,-0.49,0.52,-0.86,-1.17,-1.65,-3.08,-0.23
27,Weighted Average Shares Outstanding,41740,47420,65820,78270,114800,150800,271500,1287368,1193500,1275333,1358182,1901900,6011220,79867332
28,Weighted Average Shares Outstanding Diluted,41740,47420,65820,78270,114800,150800,271500,1287368,1193500,1275333,1358182,1901900,6011220,79867332
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
