,https://roic.ai/company/ZDGE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,6529000,9052000,11113000,10031000,10833000,8816000,9470000,19569000
2,COGS,909000,1082000,1299000,1567000,1518000,1379000,1195000,1194000
3,Gross Profit,5620000,7970000,9814000,8464000,9315000,7437000,8275000,18375000
4,Gross Profit Ratio,0.8608,0.8805,0.8831,0.8438,0.8599,0.8436,0.8738,0.9390
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,7755000,8468000,9581000,8897000,7110000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,7755000,8468000,9581000,8897000,7110000,- -
9,Other Expenses,5646000,6347000,605000,643000,1033000,1427000,1568000,10572000
10,Operating Expenses,5646000,6347000,8360000,9111000,10614000,10324000,8678000,10572000
11,COGS and Expenses,6555000,7429000,9659000,10678000,12132000,11703000,9873000,11766000
12,Interest Income ,6000,5000,2000,19000,29000,-199000,11000,245000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,199000,- -,- -
14,Depreciation and Amortization,578000,624000,605000,643000,1033000,1427000,1568000,1261000
15,EBITDA,570000,2423000,1731000,16000,-300000,-1702000,1024000,9307000
16,EBITDA ratio,0.0873,0.2677,0.1558,0.0016,-0.0277,-0.1931,0.1081,0.4756
17,Operating Income,-26000,1623000,1173000,-683000,-1299000,-2887000,-403000,7803000
18,Operating Income ratio,-0.0040,0.1793,0.1056,-0.0681,-0.1199,-0.3275,-0.0426,0.3987
19,Total Other Income Expenses (Gains),18000,176000,-47000,56000,-34000,-441000,-141000,243000
20,Income Before Tax,-8000,1799000,1126000,-627000,-1333000,-3328000,-544000,8046000
21,Income Before Tax Ratio,-0.0012,0.1987,0.1013,-0.0625,-0.1230,-0.3775,-0.0574,0.4112
22,Income Tax expense (Gain),138000,212000,143000,-16000,230000,16000,15000,-202000
23,Net Income,-146000,1587000,983000,-611000,-1563000,-3344000,-559000,8248000
24,Net Income ratio,-0.0224,0.1753,0.0885,-0.0609,-0.1443,-0.3793,-0.0590,0.4215
25,EPS,-0.02,0.20,0.12,-0.06,-0.16,-0.33,-0.05,0.63
26,EPS Diluted,-0.02,0.18,0.11,-0.06,-0.16,-0.33,-0.05,0.59
27,Weighted Average Shares Outstanding,8048728,8048728,8346000,9467000,9803000,10083000,11086000,13156000
28,Weighted Average Shares Outstanding Diluted,8933806,8933806,9279000,9467000,9803000,10083000,11086000,14038000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1667313/000121390016017726/0001213900-16-017726-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390017011082/0001213900-17-011082-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390018014592/0001213900-18-014592-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390019021279/0001213900-19-021279-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390020033714/0001213900-20-033714-index.htm,https://www.sec.gov/Archives/edgar/data/1667313/000121390021057733/0001213900-21-057733-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,765000,2170000,5978000,4580000,3408000,1609000,5111000,24908000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,765000,2170000,5978000,4580000,3408000,1609000,5111000,24908000
34,Net Receivables,1288000,1622000,1668000,1712000,1777000,1133000,1407000,2545000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,170000,283000,317000,742000,618000,483000,236000,160000
37,Total Current Assets,2223000,4075000,7963000,7034000,5803000,3225000,6754000,27613000
38,PP&E,1449000,1724000,1843000,2678000,3344000,3396000,2584000,1980000
39,Goodwill,3182000,2438000,2361000,2518000,2447000,2266000,2196000,2262000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,3182000,2438000,2361000,2518000,2447000,2266000,2196000,2262000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,477000
44,Other Non-Current Assets,107000,115000,266000,301000,125000,120000,471000,5145000
45,Total Non-Current Assets,4738000,4277000,4470000,5497000,5916000,5782000,5251000,9864000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6961000,8352000,12433000,12531000,11719000,9007000,12005000,37477000
48,Accounts Payable,31000,116000,36000,33000,280000,217000,290000,585000
49,Short-Term Debt,- -,- -,- -,- -,- -,141000,232000,86000
50,Tax Payable,234000,252000,329000,313000,238000,183000,274000,555000
51,Deferred Revenue,6000,4000,15000,- -,- -,517000,1338000,1821000
52,Other Current Liabilities,1322000,1688000,1786000,1876000,1429000,1172000,978000,1685000
53,Total Current Liabilities,1359000,1808000,1837000,1909000,1709000,2047000,2838000,4177000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,218000,145000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,100000,- -,- -,- -,- -,64000,- -
58,Total Non-Current Liabilities,100000,100000,- -,- -,- -,- -,282000,145000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,296000,231000
61,Total Liabilities,1459000,1908000,1837000,1909000,1709000,2047000,3120000,4322000
62,Preferred Stock,10000,10000,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,93000,96000,103000,104000,123000,144000
64,Retained Earnings,-12295000,-10708000,-9725000,-10336000,-11899000,-15243000,-15802000,-7554000
65,Other Comprehensive Income/Loss,78000,-655000,-817000,-584000,-702000,-985000,-1085000,-997000
66,Other Total Stockholders Equity,17706000,17794000,21045000,21446000,22508000,23084000,25649000,41562000
67,Total Stockholders Equity,5502000,6444000,10596000,10622000,10010000,6960000,8885000,33155000
68,Total Liabilities And Stockholders Equity,6961000,8352000,12433000,12531000,11719000,9007000,12005000,37477000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6961000,8352000,12433000,12531000,11719000,9007000,12005000,37477000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1667313/000121390016017726/0001213900-16-017726-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390017011082/0001213900-17-011082-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390018014592/0001213900-18-014592-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390019021279/0001213900-19-021279-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390020033714/0001213900-20-033714-index.htm,https://www.sec.gov/Archives/edgar/data/1667313/000121390021057733/0001213900-21-057733-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-146000,1587000,983000,-611000,-1563000,-3344000,-559000,8248000
74,Depreciation and Amortization,578000,624000,605000,643000,1033000,1427000,1568000,1261000
75,Deferred Income Tax,-70000,-16000,-26000,-28000,172000,- -,- -,-477000
76,Stock Based Compensation,222000,79000,166000,275000,595000,619000,492000,652000
77,Change in Working Capital,265000,1403000,3859000,-1001000,-1031000,-2916000,2738000,19520000
78,Accounts Receivable,-144000,-334000,-46000,-45000,-65000,644000,-274000,-1138000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,252000,743000,39000,400000,-174000,-311000,- -,830000
81,Other Working Capital,864000,2267000,6126000,5125000,4094000,1178000,3916000,23436000
82,Other Non-Cash Items,-23000,-1393000,-3745000,625000,1126000,4290000,-2117000,-19074000
83,Cash Provided by Operating Activities,826000,2284000,1842000,-97000,332000,76000,2122000,10130000
84,CAPEX,-814000,-899000,-1006000,-1506000,-1702000,-1490000,-759000,-653000
85,Acquisitions Net,- -,- -,- -,- -,- -,-250000,- -,-50000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-1006000,-1506000,-1702000,-1490000,-759000,-5429000
89,Cash Used for Investing Activites,-814000,-899000,-1006000,-1506000,-1702000,-1740000,-759000,-5479000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-141000,-181000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,2250000,15000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-47000,-29000,-26000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,9000,3009000,166000,232000,5000,89000,308000
95,Cash Used/Provided by Financing Activities,- -,9000,3009000,166000,232000,-42000,2169000,15101000
96,Effect of Forex Changes on Cash,7000,11000,-37000,39000,-34000,-93000,-30000,45000
97,Net Change In Cash,19000,1405000,3808000,-1398000,-1172000,-1799000,3502000,19797000
98,Cash at the End of Period,765000,2170000,5978000,4580000,3408000,1609000,5111000,24908000
99,Cash at the Beginning of Period,746000,765000,2170000,5978000,4580000,3408000,1609000,5111000
100,Free Cash Flow,12000,1385000,836000,-1603000,-1370000,-1414000,1363000,9477000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1667313/000121390016017726/0001213900-16-017726-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390017011082/0001213900-17-011082-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390018014592/0001213900-18-014592-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390019021279/0001213900-19-021279-index.html,https://www.sec.gov/Archives/edgar/data/1667313/000121390020033714/0001213900-20-033714-index.htm,https://www.sec.gov/Archives/edgar/data/1667313/000121390021057733/0001213900-21-057733-index.htm
102,false,,,,,,,,
