,https://roic.ai/company/HSII,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,125000000,415800000,594394000,455534000,350712000,317934000,398176000,432850000,501994000,648266000,644860000,414718000,513236000,553980000,465081000,480993000,513239000,548311000,600906000,640056000,735655000,725614000,629370000,1008474000
2,COGS,-4600000,-10600000,-19064000,- -,- -,- -,- -,20553000,352185000,447564000,28956000,19067000,20145000,26187000,309502000,319499000,337448000,369385000,400070000,434219000,506349000,501791000,450424000,770196000
3,Gross Profit,129600000,426400000,613458000,- -,- -,- -,- -,412297000,149809000,200702000,615904000,395651000,493091000,527793000,155579000,161494000,175791000,178926000,200836000,205837000,229306000,223823000,178946000,238278000
4,Gross Profit Ratio,1.0368,1.0255,1.0321,- -,- -,- -,- -,0.9525,0.2984,0.3096,0.9551,0.9540,0.9607,0.9527,0.3345,0.3358,0.3425,0.3263,0.3342,0.3216,0.3117,0.3085,0.2843,0.2363
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,560367000,397303000,475018000,495998000,135130000,145929000,149138000,144864000,165603000,165972000,160449000,156182000,129133000,136222000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,560367000,397303000,475018000,495998000,135130000,145929000,149138000,144864000,165603000,165972000,160449000,156182000,129133000,136222000
9,Other Expenses,145200000,392300000,584386000,513426000,349243000,310787000,368966000,368318000,99352000,121198000,- -,-1661000,-1072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,145200000,392300000,584386000,513426000,349243000,310787000,368966000,368318000,99352000,121198000,560367000,395642000,473946000,495998000,135130000,145929000,149138000,144864000,165603000,165972000,160449000,156182000,129133000,136222000
11,COGS and Expenses,140600000,381700000,565322000,513426000,349243000,310787000,368966000,388871000,451537000,568762000,589323000,414709000,494091000,522185000,444632000,465428000,486586000,514249000,565673000,600191000,666798000,657973000,579557000,906418000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4600000,10600000,19064000,22156000,15262000,14073000,13185000,11245000,10382000,11279000,10544000,11265000,11584000,10263000,10801000,16275000,15312000,13696000,16433000,14774000,12522000,10371000,26656000,19560000
15,EBITDA,-17300000,31500000,64227000,-44865000,-36391000,-7751000,100284000,39727000,65648000,98414000,72797000,-18434000,28532000,-4512000,31063000,29663000,39499000,45250000,54199000,-14644000,83014000,79660000,-4742000,125589000
16,EBITDA ratio,-0.1384,0.0758,0.1081,-0.0985,-0.1038,-0.0244,0.2519,0.0918,0.1308,0.1518,0.1129,-0.0444,0.0556,-0.0081,0.0668,0.0617,0.0770,0.0825,0.0902,-0.0229,0.1128,0.1098,-0.0075,0.1245
17,Operating Income,-15600000,34100000,29072000,-57892000,1469000,7147000,29210000,43979000,50457000,79504000,55537000,-26711000,19145000,-10915000,19639000,15565000,26653000,34062000,35233000,-26523000,68857000,63511000,-35529000,98264000
18,Operating Income ratio,-0.1248,0.0820,0.0489,-0.1271,0.0042,0.0225,0.0734,0.1016,0.1005,0.1226,0.0861,-0.0644,0.0373,-0.0197,0.0422,0.0324,0.0519,0.0621,0.0586,-0.0414,0.0936,0.0875,-0.0565,0.0974
19,Total Other Income Expenses (Gains),-6300000,-13200000,16091000,-13623000,-53122000,-28971000,57889000,-15497000,4809000,7631000,6716000,-2988000,-2197000,-3860000,623000,-2177000,-2466000,-2508000,2533000,-2895000,1635000,5778000,4131000,7765000
20,Income Before Tax,-21900000,20900000,45163000,-71515000,-51653000,-21824000,87099000,28482000,55266000,87135000,62253000,-29699000,16948000,-14775000,20262000,13388000,24187000,31554000,37766000,-29418000,70492000,69289000,-31398000,106029000
21,Income Before Tax Ratio,-0.1752,0.0503,0.0760,-0.1570,-0.1473,-0.0686,0.2187,0.0658,0.1101,0.1344,0.0965,-0.0716,0.0330,-0.0267,0.0436,0.0278,0.0471,0.0575,0.0628,-0.0460,0.0958,0.0955,-0.0499,0.1051
22,Income Tax expense (Gain),-4500000,15100000,25746000,-24094000,-11491000,58844000,4791000,-10736000,21023000,30672000,23179000,-8791000,9455000,18947000,14022000,7041000,17390000,14422000,22353000,19217000,21197000,22420000,6309000,33457000
23,Net Income,-17400000,5800000,19417000,-42927000,-40162000,-80668000,82308000,39218000,34243000,56463000,39074000,-20908000,7493000,-33722000,6240000,6347000,6797000,17132000,15413000,-48635000,49295000,46869000,-37707000,72572000
24,Net Income ratio,-0.1392,0.0139,0.0327,-0.0942,-0.1145,-0.2537,0.2067,0.0906,0.0682,0.0871,0.0606,-0.0504,0.0146,-0.0609,0.0134,0.0132,0.0132,0.0312,0.0256,-0.0760,0.0670,0.0646,-0.0599,0.0720
25,EPS,-5.96,0.42,1.02,-2.28,-2.22,-4.43,4.35,2.08,1.91,3.16,2.33,-1.24,0.43,-1.90,0.35,0.35,0.37,0.93,0.83,-2.60,2.61,2.45,-1.95,3.71
26,EPS Diluted,-5.96,0.42,0.95,-2.28,-2.22,-4.43,4.11,1.98,1.81,2.97,2.20,-1.24,0.42,-1.90,0.34,0.35,0.37,0.92,0.81,-2.60,2.52,2.40,-1.95,3.59
27,Weighted Average Shares Outstanding,2919463,13642000,18979000,18839000,18107000,18217000,18941000,18898000,17925000,17854000,16747000,16901000,17437000,17780000,17971000,18077000,18210000,18334000,18540000,18735000,18917000,19103000,19301000,19569000
28,Weighted Average Shares Outstanding Diluted,2919463,13889000,20389000,18839000,18107000,18217000,20012000,19761000,18916000,18984000,17727000,16901000,17869000,17780000,18120000,18232000,18432000,18715000,19038000,18735000,19532000,19551000,19301000,20240000
