,https://roic.ai/company/POR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,959409000,983582000,1111816000,1416000000,1176000000,1378000000,2253000000,3047000000,1855000000,1752000000,1454000000,1446000000,1520000000,1743000000,1745000000,1804000000,1783000000,1813000000,1805000000,1772000000,1858000000,1863000000,1886000000,1965000000,1940000000,2051000000,2145000000,2396000000
2,COGS,61891000,63841000,81968000,132000000,134000000,135000000,126000000,128000000,118000000,117000000,127000000,671000000,763000000,879000000,878000000,1122000000,1003000000,961000000,726000000,757000000,713000000,661000000,617000000,592000000,571000000,614000000,708000000,822000000
3,Gross Profit,897518000,919741000,1029848000,1284000000,1042000000,1243000000,2127000000,2919000000,1737000000,1635000000,1327000000,775000000,757000000,864000000,867000000,682000000,780000000,852000000,1079000000,1015000000,1145000000,1202000000,1269000000,1373000000,1369000000,1437000000,1437000000,1574000000
4,Gross Profit Ratio,0.9355,0.9351,0.9263,0.9068,0.8861,0.9020,0.9441,0.9580,0.9364,0.9332,0.9127,0.5360,0.4980,0.4957,0.4968,0.3780,0.4375,0.4699,0.5978,0.5728,0.6163,0.6452,0.6729,0.6987,0.7057,0.7006,0.6699,0.6569
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,137000000,151000000,147000000,148000000,148000000,168000000,164000000,184000000,190000000,179000000,186000000,218000000,216000000,219000000,227000000,241000000,247000000,264000000,271000000,613000000,576000000,646000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000000,225000000,257000000,266000000,286000000,309000000,292000000,- -,- -,- -
8,"Selling, General and Administrative Exp.",100596000,108067000,115881000,107000000,114000000,115000000,137000000,151000000,147000000,148000000,148000000,168000000,164000000,184000000,190000000,179000000,186000000,218000000,427000000,444000000,484000000,507000000,533000000,573000000,563000000,613000000,576000000,646000000
9,Other Expenses,570748000,527034000,579420000,969000000,728000000,938000000,1784000000,2634000000,1455000000,1363000000,1029000000,435000000,434000000,411000000,460000000,295000000,327000000,325000000,350000000,365000000,368000000,386000000,403000000,424000000,460000000,471000000,592000000,550000000
10,Operating Expenses,671344000,635101000,695301000,1076000000,842000000,1053000000,1921000000,2785000000,1602000000,1511000000,1177000000,603000000,598000000,595000000,650000000,474000000,513000000,543000000,777000000,809000000,852000000,893000000,936000000,997000000,1023000000,1084000000,1168000000,1196000000
11,COGS and Expenses,733235000,698942000,777269000,1208000000,976000000,1188000000,2047000000,2913000000,1720000000,1628000000,1304000000,1274000000,1361000000,1474000000,1528000000,1596000000,1516000000,1504000000,1503000000,1566000000,1565000000,1554000000,1553000000,1589000000,1594000000,1698000000,1876000000,2018000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
