,https://roic.ai/company/CFMS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,34597000,48186000,66887000,79899000,78115000,89789000,77429000,68761000,99860000
2,COGS,27283000,30638000,42415000,53192000,49301000,41304000,40692000,35046000,34179000
3,Gross Profit,7314000,17548000,24472000,26707000,28814000,48485000,36737000,33715000,65681000
4,Gross Profit Ratio,0.2114,0.3642,0.3659,0.3343,0.3689,0.5400,0.4745,0.4903,0.6577
5,Research and Development Exp.,13779000,15107000,16997000,16608000,17136000,16869000,12457000,11939000,14791000
6,General and Administrative Exp.,14693000,16763000,23191000,25157000,28737000,24622000,20895000,24244000,28994000
7,Selling and Marketing Exp.,26149000,31103000,40245000,41086000,38788000,38955000,28514000,22646000,24904000
8,"Selling, General and Administrative Exp.",40842000,47866000,63436000,66243000,67525000,63577000,49409000,46890000,53898000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,54621000,62973000,80433000,82851000,84661000,80446000,61866000,58829000,68689000
11,COGS and Expenses,81904000,93611000,122848000,136043000,133962000,121750000,102558000,93875000,102868000
12,Interest Income ,89000,104000,138000,487000,491000,659000,330000,76000,97000
13,Interest Expense (Gain),642000,360000,1385000,138000,2119000,3356000,2942000,2373000,-3496000
14,Depreciation and Amortization,1882000,2080000,2619000,3153000,3669000,4122000,4237000,4366000,4273000
15,EBITDA,-45336000,-43241000,-53201000,-54234000,-47630000,-35826000,-21254000,-17512000,-1545000
16,EBITDA ratio,-1.3104,-0.8974,-0.7954,-0.6788,-0.6097,-0.3990,-0.2745,-0.2547,-0.0155
17,Operating Income,-47307000,-45425000,-55961000,-56144000,-55847000,-38692000,-25129000,-25114000,-3008000
18,Operating Income ratio,-1.3674,-0.9427,-0.8366,-0.7027,-0.7149,-0.4309,-0.3245,-0.3652,-0.0301
19,Total Other Income Expenses (Gains),-553000,-256000,-1244000,-1381000,2429000,-4612000,-3304000,863000,686000
20,Income Before Tax,-47860000,-45681000,-57205000,-57525000,-53418000,-43304000,-28433000,-24251000,-2322000
21,Income Before Tax Ratio,-1.3834,-0.9480,-0.8552,-0.7200,-0.6838,-0.4823,-0.3672,-0.3527,-0.0233
22,Income Tax expense (Gain),29000,41000,41000,63000,162000,61000,45000,42000,91000
23,Net Income,-47889000,-45722000,-57246000,-57588000,-53580000,-43365000,-28478000,-24293000,-2413000
24,Net Income ratio,-1.3842,-0.9489,-0.8559,-0.7208,-0.6859,-0.4830,-0.3678,-0.3533,-0.0242
25,EPS,-11.09,-1.53,-2.60,-1.39,-1.24,-0.74,-0.44,-0.34,-0.01
26,EPS Diluted,-11.09,-1.53,-2.60,-1.39,-1.24,-0.74,-0.44,-0.34,-0.01
27,Weighted Average Shares Outstanding,4319334,29980446,21993066,41521629,43343459,58886333,64122455,71699615,166713261
28,Weighted Average Shares Outstanding Diluted,4319334,29980446,21993066,41521629,43343459,58886333,64122455,71699615,166713261
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1305773/000162828016013018/0001628280-16-013018-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577317000045/0001305773-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577318000016/0001305773-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577319000028/0001305773-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577320000024/0001305773-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577321000017/0001305773-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577322000018/0001305773-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,54221000,37900000,117185000,37257000,18348000,16380000,26394000,28673000,100556000
32,Short-Term Investments,- -,- -,- -,28242000,26880000,7245000,- -,- -,- -
33,Cash and Short-Term Investments,54221000,37900000,117185000,65499000,45228000,23625000,26394000,28673000,100556000
34,Net Receivables,6196000,9119000,14867000,14675000,13200000,13389000,11231000,9771000,9079000
35,Inventory,6620000,7691000,11520000,11720000,9184000,9534000,12074000,12585000,15204000
36,Other Current Assets,683000,1158000,2451000,3954000,2246000,1408000,2815000,2315000,2044000
37,Total Current Assets,67720000,55868000,146023000,95848000,69858000,47956000,52514000,53344000,126883000
38,PP&E,7957000,8696000,10966000,15084000,16514000,14439000,19209000,17455000,17804000
39,Goodwill,753000,753000,753000,753000,6731000,- -,- -,- -,- -
40,Intangible Assets,1492000,1243000,995000,746000,210000,109000,- -,- -,- -
41,Intangible Assets,2245000,1996000,1748000,1499000,6941000,109000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5969000,4718000,632000,379000,485000,479000,673000,701000,654000
45,Total Non-Current Assets,16171000,15410000,13346000,16962000,23940000,15027000,19882000,18156000,18458000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,83891000,71278000,159369000,112810000,93798000,62983000,72396000,71500000,145341000
48,Accounts Payable,3093000,3618000,4718000,5474000,4891000,3445000,6920000,4918000,6557000
49,Short-Term Debt,2158000,272000,295000,- -,- -,- -,1469000,1620000,3660000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,305000,305000,305000,- -,- -,14000000,- -
52,Other Current Liabilities,8192000,6942000,7811000,8492000,7720000,7930000,9466000,10381000,7746000
53,Total Current Liabilities,13443000,10832000,13129000,14271000,12916000,11375000,17855000,30919000,17963000
54,Long-Term Debt,953000,10348000,183000,- -,29667000,14792000,19623000,29209000,26826000
55,Deferred Revenue,- -,- -,4625000,4320000,4014000,- -,12000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,37000,- -,- -,- -,- -
57,Other Non-Current Liabilities,535000,271000,220000,164000,651000,617000,6572000,1000,- -
58,Total Non-Current Liabilities,1488000,10619000,5028000,4484000,34369000,15409000,38195000,29210000,26826000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,6540000,5826000,- -
61,Total Liabilities,14931000,21451000,18157000,18755000,47285000,26784000,56050000,60129000,44789000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-222374000,-268096000,-325342000,-382930000,-436821000,-475667000,-504145000,-528438000,-530851000
65,Other Comprehensive Income/Loss,116000,-497000,-521000,499000,-3236000,-1470000,-865000,-4000000,-1112000
66,Other Total Stockholders Equity,295676000,323952000,467554000,487287000,486334000,512866000,521491000,- -,632515000
67,Total Stockholders Equity,68960000,49827000,141212000,94055000,46513000,36199000,16346000,11371000,100552000
68,Total Liabilities And Stockholders Equity,83891000,71278000,159369000,112810000,93798000,62983000,72396000,71500000,145341000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,83891000,71278000,159369000,112810000,93798000,62983000,72396000,71500000,145341000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1305773/000162828016013018/0001628280-16-013018-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577317000045/0001305773-17-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577318000016/0001305773-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577319000028/0001305773-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577320000024/0001305773-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577321000017/0001305773-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1305773/000130577322000018/0001305773-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-47889000,-45722000,-57246000,-57588000,-53580000,-43365000,-28478000,-24293000,-2413000
74,Depreciation and Amortization,1882000,2080000,2619000,3153000,3669000,4122000,4237000,4366000,4273000
75,Deferred Income Tax,- -,- -,- -,- -,37000,-37000,- -,- -,- -
76,Stock Based Compensation,2337000,2550000,3607000,5324000,6048000,3886000,2837000,3406000,3815000
77,Change in Working Capital,-3321000,-9241000,87858000,-51317000,-24635000,-20361000,-1922000,-12234000,86495000
78,Accounts Receivable,-2089000,-2929000,-6107000,4000,1490000,28000,2070000,2501000,48000
79,Inventory,-1424000,-1071000,-3829000,-200000,2535000,-350000,-2539000,-512000,-2619000
