,https://roic.ai/company/CINT,2019,2020
0,INCOME STATEMENT, , 
1,Revenue,677133000,956519000
2,COGS,448979000,600866000
3,Gross Profit,228154000,355653000
4,Gross Profit Ratio,0.3369,0.3718
5,Research and Development Exp.,12093000,3462000
6,General and Administrative Exp.,81197000,81161000
7,Selling and Marketing Exp.,44802000,65093000
8,"Selling, General and Administrative Exp.",125999000,146254000
9,Other Expenses,- -,- -
10,Operating Expenses,138092000,149716000
11,COGS and Expenses,587071000,750582000
12,Interest Income ,308000,395000
13,Interest Expense (Gain),9536000,11589000
14,Depreciation and Amortization,25577000,29882000
15,EBITDA,120866000,234262000
16,EBITDA ratio,0.1785,0.2449
17,Operating Income,90062000,205937000
18,Operating Income ratio,0.1330,0.2153
19,Total Other Income Expenses (Gains),-4274000,-13146000
20,Income Before Tax,85788000,192791000
21,Income Before Tax Ratio,0.1267,0.2016
22,Income Tax expense (Gain),29219000,65137000
23,Net Income,56534000,127654000
24,Net Income ratio,0.0835,0.1335
25,EPS,0.43,0.97
26,EPS Diluted,0.43,0.97
27,Weighted Average Shares Outstanding,132197896,132197896
28,Weighted Average Shares Outstanding Diluted,132197896,132197896
29,SEC Link,- -,- -
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,21648000,59640000
32,Short-Term Investments,57852000,103187000
33,Cash and Short-Term Investments,79500000,162827000
34,Net Receivables,167083000,250014000
35,Inventory,- -,- -
36,Other Current Assets,8657000,21711000
37,Total Current Assets,255240000,434552000
38,PP&E,101826000,108536000
39,Goodwill,14570000,14570000
40,Intangible Assets,3975000,3596000
41,Intangible Assets,18545000,18166000
42,Investments,- -,- -
43,Tax Assets,24977000,15152000
44,Other Non-Current Assets,6859000,8676000
45,Total Non-Current Assets,152207000,150530000
46,Other Assets,- -,- -
47,Total Assets,407447000,585082000
48,Accounts Payable,8631000,15312000
49,Short-Term Debt,37187000,89946000
50,Tax Payable,20186000,25890000
51,Deferred Revenue,16162000,9987000
52,Other Current Liabilities,165432000,195747000
53,Total Current Liabilities,227412000,310992000
54,Long-Term Debt,68055000,74512000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,2275000,1118000
58,Total Non-Current Liabilities,70330000,75630000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,77393000,75228000
61,Total Liabilities,297742000,386622000
62,Preferred Stock,- -,- -
63,Common Stock,68968000,68968000
64,Retained Earnings,- -,- -
65,Other Comprehensive Income/Loss,40737000,129492000
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,109705000,198460000
68,Total Liabilities And Stockholders Equity,407447000,585082000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,407447000,585082000
71,SEC Link,- -,- -
72,CASH FLOW STATEMENT, , 
73,Net Income,56534000,127654000
74,Depreciation and Amortization,25577000,29882000
75,Deferred Income Tax,29219000,65137000
76,Stock Based Compensation,3170000,942000
77,Change in Working Capital,-15016000,-73996000
78,Accounts Receivable,-32673000,-47848000
79,Inventory,-361000,-139000
80,Accounts Payable,1697000,6746000
81,Other Working Capital,14789000,-18434000
82,Other Non-Cash Items,-8127000,-48647000
83,Cash Provided by Operating Activities,91357000,100972000
84,CAPEX,-19893000,-21391000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,4838000,- -
88,Other Investing Activites,-1496000,- -
89,Cash Used for Investing Activites,-16551000,-21391000
90,Debt Repayment,-35110000,-103607000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,-40059000,-30977000
94,Other Financing Activites,5503000,139993000
95,Cash Used/Provided by Financing Activities,-69666000,5409000
96,Effect of Forex Changes on Cash,-1464000,-1663000
97,Net Change In Cash,2421000,83327000
98,Cash at the End of Period,79500000,162827000
99,Cash at the Beginning of Period,77079000,79500000
100,Free Cash Flow,71464000,79581000
101,SEC Link,- -,- -
102,Forex Rate,0.2488,0.1925
