,https://roic.ai/company/MYOV,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,- -,- -,- -,59317000
2,COGS,- -,- -,- -,- -,- -,1965000
3,Gross Profit,- -,- -,- -,- -,- -,57352000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.9669
5,Research and Development Exp.,- -,43500000,116832000,222607000,192560000,136713000
6,General and Administrative Exp.,- -,12357000,24231000,42219000,82327000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,12357000,24231000,42219000,82327000,- -
9,Other Expenses,- -,- -,- -,- -,- -,181423000
10,Operating Expenses,- -,55857000,141063000,264826000,274887000,318136000
11,COGS and Expenses,- -,55857000,141063000,264826000,274887000,320101000
12,Interest Income ,- -,- -,- -,881000,2552000,211000
13,Interest Expense (Gain),- -,- -,2046000,8821000,12663000,10401000
14,Depreciation and Amortization,- -,61000,243000,438000,1765000,2479000
15,EBITDA,- -,-55796000,-140820000,-264388000,-273122000,-241918000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-4.0784
17,Operating Income,- -,-55857000,-141063000,-264826000,-274887000,-260784000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-4.3964
19,Total Other Income Expenses (Gains),- -,-27657000,-1979000,-8249000,-13341000,5986000
20,Income Before Tax,- -,-83514000,-143042000,-273075000,-288228000,-254798000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-4.2955
22,Income Tax expense (Gain),- -,-74000,213000,476000,761000,336000
23,Net Income,- -,-83440000,-143255000,-273551000,-288989000,-255134000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-4.3012
25,EPS,- -,-1.70,-2.41,-4.09,-3.37,-2.83
26,EPS Diluted,- -,-1.70,-2.41,-4.09,-3.37,-2.83
27,Weighted Average Shares Outstanding,- -,49184668,59520747,66910060,85839303,90036459
28,Weighted Average Shares Outstanding Diluted,- -,49184668,59520747,66910060,85839303,90036459
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1679082/000167908217000009/0001679082-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1679082/000167908218000016/0001679082-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1679082/000167908219000019/0001679082-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1679082/000167908220000026/0001679082-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1679082/000167908221000017/0001679082-21-000017-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,180838000,108624000,156074000,76644000,674493000
32,Short-Term Investments,- -,- -,- -,- -,2997000,10435000
33,Cash and Short-Term Investments,- -,180838000,108624000,156074000,79641000,684928000
34,Net Receivables,- -,105000,1000000,524000,- -,3570000
35,Inventory,- -,- -,- -,- -,- -,2611000
36,Other Current Assets,- -,3221000,5139000,10194000,8269000,13536000
37,Total Current Assets,- -,184164000,114763000,166792000,87910000,704645000
38,PP&E,- -,- -,- -,- -,- -,12955000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,208000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,906000,4338000,6185000,18016000,7427000
45,Total Non-Current Assets,- -,1114000,4338000,6185000,18016000,20382000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,185278000,119101000,172977000,105926000,725027000
48,Accounts Payable,- -,3329000,4578000,11019000,15334000,17809000
