,https://roic.ai/company/BH-A,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,84800000,89400000,92700000,98900000,105800000,115400000,126000000,132500000,158600000,186700000,224100000,262700000,306900000,360800000,408686418,447950292,460812398,499103555,553692000,606912000,638822000,654142000,610061000,627042000,673781000,709200000,734265000,755822000,793811000,861452000,850076000,839804000,809894000,668838000,433683000,366106000
2,COGS,67800000,69300000,70000000,75000000,79900000,87100000,92600000,96900000,119800000,140700000,160800000,187000000,220200000,269300000,291927461,324856937,327948824,359020210,399515000,435280000,462430000,487241000,151188000,488591000,501570000,523907000,545139000,566853000,626160000,678263000,668284000,687281000,661439000,533658000,296732000,223330000
3,Gross Profit,17000000,20100000,22700000,23900000,25900000,28300000,33400000,35600000,38800000,46000000,63300000,75700000,86700000,91500000,116758957,123093355,132863574,140083345,154177000,171632000,176392000,166901000,458873000,138451000,172211000,185293000,189126000,188969000,167651000,183189000,181792000,152523000,148455000,135180000,136951000,142776000
4,Gross Profit Ratio,0.2005,0.2248,0.2449,0.2417,0.2448,0.2452,0.2651,0.2687,0.2446,0.2464,0.2825,0.2882,0.2825,0.2536,0.2857,0.2748,0.2883,0.2807,0.2785,0.2828,0.2761,0.2551,0.7522,0.2208,0.2556,0.2613,0.2576,0.2500,0.2112,0.2127,0.2139,0.1816,0.1833,0.2021,0.3158,0.3900
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53893839,43589835,48106463,53374000,- -,- -,- -,- -,52600000,58180000,65384000,82354000,95451000,- -,- -,- -,- -,132909000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15439532,16062012,18856484,23106000,- -,- -,- -,- -,33304000,34835000,38476000,42531000,44375000,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10700000,10600000,11500000,11400000,12200000,14000000,16800000,18100000,17900000,21000000,32700000,37800000,43200000,50700000,64444093,69333371,59651847,66962947,76480000,89570000,96234000,102819000,432900000,85904000,93015000,103860000,124885000,139826000,128472000,135132000,127259000,130808000,132909000,100150000,76360000,76018000
9,Other Expenses,4000000,4200000,4500000,4200000,4600000,5100000,5400000,5700000,7500000,9000000,11800000,14200000,15800000,14100000,16415000,17480539,23095399,24169474,24710000,26945000,28967000,32185000,33659000,31369000,28700000,27204000,26424000,26054000,24905000,24780000,22925000,21448000,19318000,29578000,32222000,30050000
