,https://roic.ai/company/HGLD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10182000,35867000,6954,- -,- -,48089000,- -,19849000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,13353000,21934000,1816632,2951360,4419371,22428000,- -,13247000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1050000,-3171000,13933000,-1809678,- -,- -,25661000,- -,6602000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-0.3114,0.3885,-260.2355,- -,- -,0.5336,- -,0.3326
5,Research and Development Exp.,- -,- -,- -,- -,- -,3238573,9653941,6623515,7612826,7226201,16193000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,299707,2233214,4440118,3646156,2245254,2710957,1829045,2189415,3383134,8691000,10362000,8007000,5534000,6106000,4026000,5219000,4868000,6283000,4212000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,299707,2233214,4440118,3646156,2245254,2710957,1829045,2189415,3383134,8691000,10362000,8007000,5534000,6106000,4026000,5219000,4868000,6283000,4212000
9,Other Expenses,169362,-9415,- -,- -,- -,- -,- -,- -,- -,- -,- -,16169000,9193000,11501000,9211000,6081000,8320000,11147000,4826000,3903000
10,Operating Expenses,169362,290292,- -,- -,- -,5483827,12364898,8452561,9802241,10609334,24884000,26531000,17200000,17035000,15317000,10107000,13539000,16015000,11109000,8115000
11,COGS and Expenses,169362,290292,2765000,4438392,3646156,5530848,12273674,8497957,11812170,10689034,32384336,27581000,30553000,38969000,3633264,3271256,4715292,38443000,- -,21362000
12,Interest Income ,26509,26675,130464,103575,146259,101879,95191,98115,43659,115862,226899,20000,119000,1000,1000,61000,104000,122000,191000,125000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,148900,3966,7322,9702,15657,29528,68000,629000,1011000,782000,1976000,2460000,1367000,2131000,2100000
14,Depreciation and Amortization,- -,1569,- -,1492251,1435061,41143,47595,46861,75999,114296,814348,1050000,3503000,5717000,2728000,2587000,4862000,9318000,1944000,3216000
